,Time_h,Replicate,thiosulfate_uM,ID,max_conc,f_R
0,0,a,955.1560472,0_a,955.1560472,1.0
1,70,a,770.588,70_a,955.1560472,0.8067666034874055
2,166,a,650.126,166_a,955.1560472,0.6806489912363715
3,178,a,530.548,178_a,955.1560472,0.5554568822081787
4,190,a,287.442,190_a,955.1560472,0.30093721423072617
5,286,a,154.61,286_a,955.1560472,0.1618688385559959
6,0,b,956.9934793,0_b,956.9934793,1.0
7,70,b,788.696,70_b,956.9934793,0.8241393667351815
8,166,b,688.332,166_b,956.9934793,0.7192650889361185
9,178,b,553.618,178_b,956.9934793,0.5784971496409235
10,190,b,320.33,190_b,956.9934793,0.3347253737134215
11,286,b,167.12,286_b,956.9934793,0.17463023898787813
12,0,c,952.3437041,0_c,952.3437041,1.0
13,70,c,772.934,70_c,952.3437041,0.8116124427267056
14,166,c,645.74,166_c,952.3437041,0.678053519144381
15,178,c,540.628,178_c,952.3437041,0.5676816024220095
16,190,c,333.28,190_c,952.3437041,0.3499576870883626
17,286,c,192.192,286_c,952.3437041,0.2018094929095253
