Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
AGS_2,,,1,24.142,23.039,1.104,1201,5752,0,standard
AGS_2,,,2,24.258,23.149,1.109,1202,5758,0.093,standard
AGS_2,,,3,49.107,46.858,2.249,2103,10090,2.119,standard
AGS_2,,,4,24.067,22.967,1.1,1198,5739,-0.178,standard
AGS_2,,,5,24.258,23.15,1.109,1203,5763,0.008,standard
AGS_26,,,1,24.176,23.071,1.105,1200,5751,0,standard
AGS_26,,,2,24.313,23.202,1.111,1202,5760,0.03,standard
AGS_26,,,3,35.07,33.432,1.638,1508,7386,24.931,standard
AGS_26,,,4,24.037,22.938,1.099,1198,5738,-0.08,standard
AGS_26,,,5,24.21,23.103,1.107,1200,5750,0.03,standard
SUP_05,0,a,1,24.168,23.063,1.104,1200,5744,0,sample
SUP_05,0,a,2,24.244,23.136,1.108,1201,5751,0.031,sample
SUP_05,0,a,3,24.327,23.223,1.104,1042,4948,-8.866,sample
SUP_05,0,a,4,24.011,22.914,1.097,1196,5729,-0.233,sample
SUP_05,0,a,5,24.207,23.101,1.106,1201,5750,-0.111,sample
SUP_05,70,a,1,24.063,22.964,1.1,1195,5723,0,sample
SUP_05,70,a,2,24.142,23.039,1.103,1197,5733,0.067,sample
SUP_05,70,a,3,11.131,10.625,0.505,474,2254,-8.121,sample
SUP_05,70,a,4,23.89,22.798,1.091,1193,5713,-0.223,sample
SUP_05,70,a,5,24.15,23.046,1.103,1197,5734,-0.054,sample
SUP_05,166,a,1,24.142,23.04,1.102,1199,5735,0,sample
SUP_05,166,a,2,24.238,23.132,1.106,1201,5745,-0.084,sample
SUP_05,166,a,3,19.05,18.187,0.863,816,3868,-8.999,sample
SUP_05,166,a,4,23.933,22.84,1.092,1194,5712,-0.173,sample
SUP_05,166,a,5,24.172,23.069,1.103,1198,5731,-0.089,sample
SUP_05,178,a,1,24.136,23.033,1.103,1199,5742,0,sample
SUP_05,178,a,2,24.193,23.087,1.105,1199,5741,-0.011,sample
SUP_05,178,a,3,11.799,11.264,0.535,504,2392,-9.812,sample
SUP_05,178,a,4,23.907,22.815,1.092,1191,5703,-0.24,sample
SUP_05,178,a,5,24.095,22.994,1.101,1195,5720,-0.082,sample
SUP_05,190,a,1,24.004,22.907,1.097,1192,5707,0,sample
SUP_05,190,a,2,24.071,22.971,1.1,1192,5709,0.027,sample
SUP_05,190,a,3,21.61,21.538,0.073,1186,5700,-8.567,sample
SUP_05,190,a,4,23.594,22.516,1.078,1181,5654,-0.172,sample
SUP_05,190,a,5,23.885,22.794,1.091,1187,5684,-0.041,sample
SUP_05,286,a,1,23.891,22.799,1.092,1186,5682,0,sample
SUP_05,286,a,2,23.961,22.865,1.095,1188,5691,0.113,sample
SUP_05,286,a,3,24.631,24.42,0.211,1190,5607,-8.273,sample
SUP_05,286,a,4,23.634,22.554,1.08,1180,5651,-0.235,sample
SUP_05,286,a,5,23.879,22.788,1.092,1185,5676,-0.059,sample
SUP_05,0,b,1,23.862,22.772,1.09,1186,5678,0,sample
SUP_05,0,b,2,23.938,22.844,1.094,1187,5683,0.004,sample
SUP_05,0,b,3,16.274,15.535,0.738,1185,5238,-7.961,sample
SUP_05,0,b,4,23.72,22.636,1.084,1181,5655,-0.25,sample
SUP_05,0,b,5,23.938,22.844,1.094,1186,5679,-0.085,sample
SUP_05,70,b,1,23.89,22.799,1.091,1187,5677,0,sample
