Time_h,Replicate,Cells_ml_avg,Cells_ml_stdev,thiosulfate_uM
0,a,1.00E+04,0.00E+00,955.1560472
0,b,1.00E+04,0.00E+00,956.9934793
0,c,1.00E+04,0.00E+00,952.3437041
70,a,3.73E+04,3.03E+04,770.588
70,b,2.24E+04,3.48E+04,788.696
70,c,2.98E+04,3.01E+04,772.934
166,a,6.93E+05,9.03E+04,650.126
166,b,5.07E+05,1.37E+05,688.332
166,c,6.04E+05,7.62E+04,645.74
178,a,1.10E+06,3.48E+05,530.548
178,b,9.02E+05,1.92E+05,553.618
178,c,9.91E+05,2.70E+05,540.628
190,a,1.88E+06,9.72E+05,287.442
190,b,1.73E+06,8.59E+05,320.33
190,c,1.41E+06,5.95E+05,333.28
286,a,2.46E+07,7.27E+06,154.61
286,b,2.84E+07,8.46E+06,167.12
286,c,2.56E+07,7.58E+06,192.192
