,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Date,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
2,d,0.0,1.0,3,41.827,39.925,1.903,1377,6547,-2.693,sample,20210330,39.61276923076923,-3.1690308499829265,-2.796926387117869,low,-2.6447419703449415
67,d,35.0,1.0,3,27.697,26.438000000000002,1.2590000000000001,859,4078,-6.582999999999999,sample,20210331,25.48276923076923,-7.660993433548786,-7.156214761191023,low,-7.2655876468624845
72,d,35.0,3.0,3,27.718000000000004,26.456999999999997,1.261,882,4191,-6.852,sample,20210331,25.503769230769233,-7.952460317154652,-7.45357258460062,low,-7.580786939676657
77,b_march22,17.5,7.0,3,26.705,25.487,1.217,843,4014,-4.677,sample,20210331,24.490769230769228,-5.62633457721059,-5.117457859771973,low,-5.104505331358291
82,b_march22,17.5,8.0,3,28.676,27.366999999999997,1.308,917,4376,-4.476,sample,20210331,26.461769230769228,-5.337804570577314,-4.847881311637654,low,-4.818754190335913
87,b_march22,17.5,9.0,3,26.49,25.283,1.207,880,4193,-4.553999999999999,sample,20210331,24.275769230769228,-5.50052340159484,-5.001123413405701,low,-4.9811908182100435
92,b_march22,21.25,7.0,3,39.717,37.908,1.8090000000000002,1225,5834,-5.182,sample,20210331,37.50276923076923,-5.831768566202922,-5.420732675069735,low,-5.425976635573919
97,b_march22,21.25,8.0,3,26.026999999999997,24.844,1.183,819,3891,-5.1080000000000005,sample,20210331,23.812769230769227,-6.124440686936899,-5.6094169018769975,low,-5.625981915989617
102,b_march22,21.25,9.0,3,27.369,26.122,1.246,860,4096,-5.563,sample,20210331,25.15476923076923,-6.5652649098268805,-6.060742365286671,low,-6.104386907203872
127,b_march22,22.75,7.0,3,35.385,33.775,1.611,1156,5501,-6.031000000000001,sample,20210331,33.17076923076923,-6.822299180678789,-6.393590470134412,low,-6.457205898342477
132,b_march22,22.75,8.0,3,26.965,25.737,1.228,847,4034,-6.215,sample,20210331,24.75076923076923,-7.291953234374402,-6.784101028205998,low,-6.871147089898358
137,b_march22,22.75,9.0,3,24.055,22.96,1.095,748,3556,-6.872000000000001,sample,20210331,21.84076923076923,-8.159050391618738,-7.625841531512539,low,-7.763392023403291
142,b_march22,24.0,7.0,3,25.340999999999998,24.19,1.151,822,3901,-6.672999999999999,sample,20210331,23.126769230769227,-7.869429055547709,-7.355173653940468,low,-7.476484073176896
147,b_march22,24.0,8.0,3,21.598000000000003,20.62,0.978,696,3294,-7.688,sample,20210331,19.383769230769232,-9.231403790214287,-8.684876283595306,low,-8.885968860611024
152,d,18.25,1.0,3,16.08,15.345,0.7340000000000001,517,2467,-2.188,sample,20210331,13.86576923076923,-3.4673169548268157,-2.874942568865762,low,-2.727439122997708
157,d,18.25,2.0,3,21.956999999999997,20.955,1.002,714,3405,-3.04,sample,20210331,19.742769230769227,-4.034046886464013,-3.492129680560996,low,-3.381657461394656
162,d,18.25,3.0,3,24.987,23.845,1.1420000000000001,804,3842,-3.0439999999999996,sample,20210331,22.772769230769228,-3.906174248908304,-3.3873085465851,low,-3.270547059380206
167,d,25.5,1.0,3,51.481,49.13399999999999,2.347,1575,7504,-4.148,sample,20210331,49.266769230769235,-4.596143978609872,-4.274752823620404,high,-3.77574293656522
172,d,25.5,2.0,3,56.225,53.663000000000004,2.563,1663,7924,-4.492,sample,20210331,54.010769230769235,-4.914884207839331,-4.61603230079457,high,-4.130673592826353
177,d,25.5,3.0,3,75.771,72.32600000000001,3.446,2453,11667,-4.475,sample,20210331,73.55676923076923,-4.785000828969679,-4.68848989779217,high,-4.206029493703857
202,d,31.5,1.0,3,42.231,40.311,1.92,1328,6313,-4.707,sample,20210331,40.016769230769235,-5.289664753415505,-4.905010027490327,low,-4.879310629139747
207,d,31.5,2.0,3,55.042,52.535,2.5069999999999997,1820,8669,-4.524,sample,20210331,52.827769230769235,-4.957695328785862,-4.699055489096998,high,-4.217017708660878
