,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
52,b,52.5,7.0,3.0,32.441,31.328000000000003,1.112,74.0,355.0,-1.3559999999999999,sample,30.20366666666667,-1.872351377500156,-1.728689029711996,low,-1.325975920009116
57,b,61.5,4.0,3.0,19.227999999999998,18.349,1.88,551.0,2635.0,-1.166,sample,16.990666666666666,-2.0588791231787384,-1.9414993884159597,low,-1.5409143823001195
62,b,61.5,5.0,3.0,30.804000000000002,29.389,1.415,949.0,4535.0,-1.123,sample,28.56666666666667,-1.6506921664721894,-1.5552421591393935,low,-1.1507945807307876
67,b,69.0,7.0,3.0,29.659000000000002,28.301,1.357,927.0,4429.0,-1.046,sample,27.42166666666667,-1.589443684029255,-1.492781480707867,low,-1.0877092955149457
72,b,148.5,5.0,3.0,24.879,23.741,1.139,768.0,3671.0,-1.6740000000000002,sample,22.64166666666667,-2.394228644338118,-2.2888055700082695,low,-1.8916936257083523
77,b,163.5,8.0,3.0,55.0,52.486000000000004,2.5140000000000002,1674.0,7999.0,-1.599,sample,52.76266666666667,-1.9048863000774956,-1.8493836605505727,high,-1.4493836605505726
82,b,163.5,9.0,3.0,37.509,35.792,1.7169999999999999,1059.0,5065.0,-1.892,sample,35.27166666666667,-2.368158830663579,-2.278769803273743,low,-1.8815575013064807
87,b,188.0,8.0,3.0,20.581,19.637999999999998,0.9440000000000001,623.0,2978.0,-1.225,sample,18.343666666666667,-2.059217852967721,-1.9458053050766981,low,-1.5452633581274653
92,b,216.0,9.0,3.0,34.68,33.007,1.673,458.0,2194.0,-1.679,sample,32.44266666666667,-2.181990821414872,-2.059486803609409,low,-1.6600816716455031
97,b,244.5,9.0,3.0,39.299,38.873000000000005,1.426,295.0,1409.0,-2.063,sample,37.06166666666667,-2.5264842709598123,-2.3949989828752356,low,-1.998948972703988
102,b,316.5,6.0,3.0,41.001000000000005,40.497,1.504,354.0,1692.0,-2.044,sample,38.76366666666667,-2.486037394696637,-2.3578029958541937,low,-1.9613810258127358
107,b,397.5,4.0,3.0,39.404,37.602,1.8019999999999998,1186.0,5669.0,-2.005,sample,37.16666666666667,-2.4636834319880414,-2.3812920814414413,low,-1.9851050022558558
112,b,397.5,6.0,3.0,22.476999999999997,21.448,1.0290000000000001,710.0,3392.0,-2.17,sample,20.239666666666665,-3.0305326613855077,-2.9219137976311895,low,-2.5311329356075016
117,b,671.0,9.0,3.0,53.169,50.738,2.431,1557.0,7443.0,-1.805,sample,50.931666666666665,-2.1309321487395967,-2.0689828305460707,high,-1.6689828305460708
122,d,76.0,1.0,3.0,28.908,27.586,1.3230000000000002,903.0,4312.0,-1.216,sample,26.67066666666667,-1.78900698228599,-1.6910223833406834,low,-1.2879326071740904
127,d,92.75,1.0,3.0,39.545,38.650999999999996,0.894,582.0,2783.0,-1.262,sample,37.30766666666667,-1.674392329250169,-1.5587206888349519,low,-1.1543078957233015
132,d,92.75,2.0,3.0,39.323,37.523,1.7990000000000002,1212.0,5795.0,-1.202,sample,37.08566666666667,-1.6132412402515495,-1.5322824849641943,low,-1.1276053098138363
137,d,163.5,1.0,3.0,33.991,32.437,1.554,981.0,4690.0,-1.266,sample,31.753666666666668,-1.7508052683329658,-1.6571184551653946,low,-1.2536896397170485
142,d,163.5,2.0,3.0,35.97,34.324,1.646,1062.0,5080.0,-1.344,sample,33.73266666666667,-1.805536499403809,-1.7163127714669628,low,-1.3134758991816324
147,d,188.0,2.0,3.0,40.407,39.93,1.4769999999999999,303.0,1448.0,-1.5730000000000002,sample,38.169666666666664,-1.99430853178935,-1.8632640422460796,low,-1.4618966826685404
152,d,188.0,3.0,3.0,45.96,43.861000000000004,2.1,1355.0,6472.0,-1.492,sample,43.72266666666667,-1.8556553630966903,-1.7825758817351833,high,-1.3825758817351832
157,d,216.0,2.0,3.0,38.306,37.926,1.381,254.0,1216.0,-1.8359999999999999,sample,36.068666666666665,-2.298163601525485,-2.1644192209167143,low,-1.7660634131258814
162,d,244.5,3.0,3.0,37.184,36.855,1.329,230.0,1101.0,-2.023,sample,34.946666666666665,-2.5119738522192545,-2.376907075986565,low,-1.9806761467464309
167,d,316.5,4.0,3.0,18.109,17.28,0.828,546.0,2611.0,-1.6840000000000002,sample,15.871666666666668,-2.712849116174875,-2.59519388232378,low,-2.201145821147018
172,d,316.5,5.0,3.0,51.128,48.791000000000004,2.3369999999999997,1608.0,7685.0,-2.0669999999999997,sample,48.89066666666667,-2.41852821715574,-2.359388989663041,high,-1.959388989663041
177,d,397.5,5.0,3.0,57.163999999999994,54.55,2.613,1656.0,7915.0,-2.322,sample,54.92666666666666,-2.6452850264999794,-2.5887905902551176,high,-2.1887905902551177
182,d,671.0,3.0,3.0,30.368000000000002,28.979,1.39,801.0,3830.0,-1.558,sample,28.13066666666667,-2.12846803804468,-2.0248632576977195,low,-1.6251118902746966
