,Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
22,full,387.5,2.0,16.0,3,141.3,43.78,1453,41.784,1.996,6934,-2.575,sample,20221114,40.572857142857146,-2.954107073694588,-2.812748385137883,high,-2.964620901286504
27,aaa,387.5,1.0,16.0,3,173.0,38.229,1101,36.487,1.742,5253,-2.471,sample,20221114,35.021857142857144,-2.9006720823322576,-2.723378491899882,high,-2.876144706980883
32,a,529.0,1.0,20.0,3,162.1,31.954,977,30.498,1.456,4662,-2.453,sample,20221114,28.746857142857145,-2.974454767726161,-2.7845022914057656,high,-2.936657268491708
57,e,410.5,1.0,17.0,3,154.1,50.112,1598,47.83,2.282,7615,-3.09,sample,20221114,46.904857142857146,-3.4531422575791724,-3.3265862984882975,high,-3.4733204355034144
62,e,511.5,1.0,19.0,3,145.5,32.532,1076,31.051,1.481,5126,-2.999,sample,20221114,29.32485714285714,-3.5698906144957467,-3.3900448293278833,high,-3.5361443810346045
67,e,387.5,2.0,16.0,3,165.5,35.515,1129,33.896,1.619,5388,-2.303,sample,20221114,32.307857142857145,-2.752089341380911,-2.577654209052282,high,-2.7318776669617595
72,e,511.5,2.0,19.0,3,173.7,22.849,599,21.807,1.042,2856,-2.031,sample,20221114,19.641857142857145,-2.725270981068127,-2.4967293203471534,high,-2.651762027143682
77,e,387.5,1.0,16.0,3,111.0,11.122,340,10.615,0.507,1623,-2.702,sample,20221114,7.914857142857143,-4.696826185834958,-4.441843787654329,low,-3.0081203558024776
122,e,0.0,1.0,0.0,3,169.6,40.525,1122,38.677,1.848,5356,-2.455,sample,20221114,37.31785714285714,-2.856861230739783,-2.6817114838852176,high,-2.8348943690463657
127,a,28.0,1.0,3.0,3,128.6,16.438,471,15.687,0.751,2253,0.155,sample,20221114,13.230857142857142,-0.3457957588321671,-0.10418686106549538,low,1.9801851097746803
132,a,43.5,1.0,4.0,3,122.5,17.07,557,16.292,0.778,2659,-2.402,sample,20221114,13.862857142857143,-3.471521331409728,-3.238691983533135,low,-1.6244957810631049
137,a,70.5,1.0,5.0,3,119.3,14.833,475,14.158,0.675,2263,-4.039,sample,20221114,11.625857142857143,-5.765901856698738,-5.524701310089744,low,-4.253406506603206
142,e,28.0,1.0,3.0,3,116.4,13.387,431,12.775,0.612,2061,0.646,sample,20221114,10.179857142857143,0.1497995200606241,0.39549192940407657,low,2.5548157188146883
147,e,70.5,1.0,5.0,3,115.5,11.536,368,11.009,0.527,1760,0.101,sample,20221114,8.328857142857142,-0.7153356317107472,-0.4632116916338651,low,1.5673065546210552
152,e,121.5,1.0,8.0,3,180.0,75.749,2329,72.296,3.453,11114,-2.463,sample,20221114,72.54185714285714,-2.6700839889482526,-2.618154203923045,high,-2.7719726618838147
157,e,170.5,1.0,10.0,3,169.5,47.343,1454,45.186,2.157,6936,-3.227,sample,20221114,44.13585714285715,-3.6228802528556305,-3.481623652088345,high,-3.6268074155674617
162,e,70.5,2.0,5.0,3,108.8,10.664,367,10.176,0.488,1759,1.22,sample,20221114,7.456857142857142,0.7894767998773901,1.0417028277436917,low,3.2979582519052455
187,e,144.5,2.0,8.0,3,180.0,52.215,1403,49.835,2.38,6692,-2.442,sample,20221114,49.00785714285715,-2.7471532553089157,-2.6006901772812347,high,-2.7546832755084227
192,e,170.5,2.0,10.0,3,171.1,41.71,1264,39.81,1.9,6028,-2.802,sample,20221114,38.502857142857145,-3.2203969649747695,-3.0597436842177754,high,-3.209146247375598
197,e,236.5,2.0,13.0,3,136.5,22.666,718,21.634,1.032,3423,-3.221,sample,20221114,19.458857142857145,-4.117931988371068,-3.9015387745910175,high,-4.042523386845107
202,aaa,18.0,1.0,2.0,3,117.4,12.25,401,11.691,0.559,1914,-0.774,sample,20221114,9.042857142857143,-1.8362077409162714,-1.5874526978902335,low,0.27442939742623174
207,aaa,70.5,1.0,5.0,3,100.9,9.541,322,9.106,0.434,1532,-3.473,sample,20221114,6.333857142857143,-6.356151769402531,-6.099331791012351,low,-4.914231559664204
212,full,7.0,1.0,1.0,3,119.3,14.197,429,13.549,0.648,2049,-1.042,sample,20221114,10.989857142857142,-1.9942332280414408,-1.7483366431191492,low,0.08941286041297891
