,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
7,b,61.5,5.0,3,30.804000000000002,29.389,1.415,949,4535,3.123,sample,28.56666666666667,2.9278533644496307,3.023303371782427,low,3.4735364055002513
27,d,76.0,1.0,3,28.908,27.586,1.3230000000000002,903,4312,-1.216,sample,26.67066666666667,-1.78900698228599,-1.6910223833406834,low,-1.2879326071740904
32,b,163.5,8.0,3,55.0,52.486000000000004,2.5140000000000002,1674,7999,-2.399,sample,52.76266666666667,-2.7388092759189995,-2.683306636392077,high,-2.283306636392077
37,b,397.5,6.0,3,22.476999999999997,21.448,1.0290000000000001,710,3392,-1.47,sample,20.239666666666665,-2.2531532579038958,-2.1445343941495776,low,-1.7459797380910733
47,b,69.0,7.0,3,29.659000000000002,28.301,1.357,927,4429,-1.046,sample,27.42166666666667,-1.589443684029255,-1.492781480707867,low,-1.0877092955149457
52,d,188.0,2.0,3,39.323,37.523,1.7990000000000002,1212,5795,-2.102,sample,37.08566666666667,-2.567537149722414,-2.486578394435059,low,-2.0914441783794095
57,d,188.0,3.0,3,33.991,32.437,1.554,981,4690,-2.266,sample,31.753666666666668,-2.8212643229303347,-2.7275775097627633,low,-2.334853284860391
62,b,163.5,9.0,3,37.509,35.792,1.7169999999999999,1059,5065,-1.5919999999999999,sample,35.27166666666667,-2.0491293924931875,-1.9597403651033516,low,-1.5593377687543852
67,b,671.0,9.0,3,53.169,50.738,2.431,1557,7443,-2.505,sample,50.931666666666665,-2.8616818460464457,-2.7997325278529197,high,-2.39973252785292
72,b,76.0,6.0,3,38.71,36.941,1.7690000000000001,1084,5179,-2.775,sample,36.47266666666667,-3.289645146746117,-3.201633614797863,low,-2.813649950945842
77,b,102.5,4.0,3,27.863000000000003,26.59,1.273,821,3917,-2.512,sample,25.62566666666667,-3.221525432400674,-3.119022648406979,low,-2.730212874891049
82,b,217.5,4.0,3,27.612,26.349,1.263,834,3982,-2.326,sample,25.374666666666666,-3.026143905557599,-2.9243574191935267,low,-2.533600993385462
87,b,217.5,5.0,3,24.879,23.741,1.139,768,3671,-1.474,sample,22.64166666666667,-2.1744656704698806,-2.069042596140032,low,-1.6697330221014326
92,b,217.5,6.0,3,41.558,39.658,1.9,1230,5876,-2.537,sample,39.32066666666667,-3.000827221195526,-2.92086026262611,low,-2.530068865252371
97,b,316.5,5.0,3,51.128,48.791000000000004,2.3369999999999997,1608,7685,-3.0669999999999997,sample,48.89066666666667,-3.464290189447656,-3.405150961954957,high,-3.005150961954957
122,b,397.5,4.0,3,39.404,37.602,1.8019999999999998,1186,5669,-2.505,sample,37.16666666666667,-2.9937820866965614,-2.9113907361499614,low,-2.520504643511461
127,b,397.5,5.0,3,57.163999999999994,54.55,2.613,1656,7915,-3.722,sample,54.92666666666666,-4.102311364647813,-4.045816928402951,high,-3.6458169284029514
132,d,92.75,2.0,3,35.97,34.324,1.646,1062,5080,-2.344,sample,33.73266666666667,-2.8718619208548257,-2.7826381929179798,low,-2.39046457484716
137,d,163.5,1.0,3,30.368000000000002,28.979,1.39,801,3830,-1.9580000000000002,sample,28.13066666666667,-2.560281480077101,-2.4566766997301404,low,-2.0612434667274417
142,b,148.5,4.0,3,29.873,28.506,1.3659999999999999,824,3939,-2.705,sample,27.63566666666667,-3.3785450886736537,-3.2762076041329484,low,-2.888969680174278
167,d,92.75,1.0,3,45.96,43.861000000000004,2.1,1355,6472,-3.1919999999999997,sample,43.72266666666667,-3.642646092542896,-3.569566611181389,high,-3.169566611181389
172,d,163.5,2.0,3,19.545,18.651,0.894,582,2783,-1.662,sample,17.30766666666667,-2.602642618235977,-2.48697097782076,low,-2.0918406875989675
177,d,216.0,2.0,3,8.306000000000001,7.926,0.381,254,1216,-0.836,sample,6.068666666666667,-3.214165147021128,-3.0804207664123573,low,-2.691224974076481
