,treatment,d34S_corrected,replicate,time_h,ID,f_R,avg_conc,minus_ln_f_R,d34S_sulfide
0,b_march22,-2.644741970344941,7.0,0,b_march22_0_7.0,1.0,2.1220464898709572,0.0,-2.648245479004063
1,b_march22,-5.104505331358291,7.0,17,b_march22_17_7.0,0.3616947295788137,0.7675330313075467,1.0169547113804158,-5.117577823408983
2,b_march22,-5.425976635573919,7.0,21,b_march22_21_7.0,0.1494131903693268,0.317061736163651,1.901039721229343,-5.440750713568445
3,b_march22,-6.457205898342477,7.0,22,b_march22_22_7.0,0.09731657409543898,0.2065102944654932,2.3297859641582925,-6.478143834728829
4,b_march22,-7.476484073176897,7.0,24,b_march22_24_7.0,0.051062568992454434,0.10835714529423152,2.9747035552254095,-7.504573072440277
5,b_march22,-4.8187541903359135,8.0,17,b_march22_17_8.0,0.3480619701800392,0.738603682078122,1.0553747398311768,-4.830401819414776
6,b_march22,-5.625981915989617,8.0,21,b_march22_21_8.0,0.12506897715722967,0.26540218396825016,2.078889876617155,-5.6418673610845325
7,b_march22,-6.871147089898358,8.0,22,b_march22_22_8.0,0.06859040250516436,0.14555202287492014,2.6796026592104703,-6.89486211645269
8,b_march22,-8.885968860611024,8.0,24,b_march22_24_8.0,0.022336397402179846,0.04739887370365851,3.801537760557413,-8.925684531769146
9,b_march22,-4.981190818210044,9.0,17,b_march22_17_9.0,0.2784375203934415,0.5908573627992756,1.2785615880745727,-4.9936383019255395
10,b_march22,-6.104386907203872,9.0,21,b_march22_21_9.0,0.07832808779000322,0.16621584375308052,2.5468490201312397,-6.123094849494612
11,b_march22,-7.7633920234032905,9.0,22,b_march22_22_9.0,0.02477081872338956,0.0525648289231986,3.6980889830037103,-7.793684032268027
12,c,-2.331153061977408,1.0,0,c_0_1.0,1.0,2.8416788823123826,0.0,-2.3338744293818348
13,c,-2.2233104347186803,1.0,10,c_10_1.0,0.5179421690002194,1.4718253239069945,0.6578916858119009,-2.2257856588382032
14,c,-2.289056092090128,1.0,22,c_22_1.0,0.3929719579837083,1.116700114343253,0.9340170233896965,-2.291679985911385
15,c,-2.0229811257105648,1.0,34,c_34_1.0,0.2834764822900672,0.8055491333558842,1.2606261141404016,-2.0250301158733324
16,c,-2.8427195224567123,1.0,103,c_103_1.0,0.2834764822900672,0.8055491333558842,1.2606261141404016,-2.8467677233517494
17,c,-2.0234735863118427,2.0,10,c_10_2.0,0.5062188846647118,1.438511514379439,0.6807861248409711,-2.0255235748543394
18,c,-2.4921374762044626,2.0,22,c_22_2.0,0.407977761933158,1.1593417905385237,0.8965426111292196,-2.4952480198141846
19,c,-2.8241038020345246,2.0,34,c_34_2.0,0.33599679611314126,0.9547950000393328,1.0906536544419505,-2.8280991070539065
20,c,-2.541596411629384,2.0,103,c_103_2.0,0.2947308352521546,0.8375303905023377,1.2216927620274955,-2.5448317509030134
21,c,-2.4654313392266918,3.0,10,c_10_3.0,0.5470159141522782,1.5544435715353322,0.6032773834691441,-2.4684755195787003
22,c,-2.0911050771358792,3.0,22,c_22_3.0,0.38757924718937475,1.101375761960577,0.947834942222019,-2.0932944900851354
23,c,-2.846721013746808,3.0,34,c_34_3.0,0.3573331736037651,1.0154261333794838,1.029086673023988,-2.8507806302394076
24,c,-2.781488366468659,3.0,103,c_103_3.0,0.2930895754451835,0.8328664571684797,1.2272769984444223,-2.7853638933919695
25,d,-2.644741970344941,1.0,0,d_0_1.0,1.0,2.8416788823123826,0.0,-2.648245479004063
26,d,-2.7274391229977075,1.0,18,d_18_1.0,0.4919801030480481,1.3980494693495082,0.7093170042668384,-2.7311653620180856
27,d,-3.77574293656522,1.0,25,d_25_1.0,0.2824756496719903,0.8027050884403656,1.2641629279620792,-3.7828890475166226
28,d,-4.879310629139747,1.0,31,d_31_1.0,0.20434236175843307,0.5806753741707766,1.5879584479017381,-4.891253329180257
29,d,-7.265587646862484,1.0,35,d_35_1.0,0.05075683012443086,0.14423461229771214,2.980709086383191,-7.292110576657178
30,d,-5.475931603068362,1.0,40,d_40_1.0,0.10322869504677076,0.29334280276307334,2.270808411805398,-5.49097947575157
31,d,-3.3816574613946564,2.0,18,d_18_2.0,0.5099813997732304,1.4492033741076977,0.6733810249617314,-3.3873881882051595
32,d,-4.130673592826353,2.0,25,d_25_2.0,0.2744325170926535,0.7798490884420254,1.2930498876270289,-4.139228391171819
33,d,-4.217017708660878,2.0,31,d_31_2.0,0.24264299308860818,0.6895134694009672,1.41616408016599,-4.225934404577385
34,d,-5.599666195954118,2.0,40,d_40_2.0,0.12161299808525483,0.3455850884735649,2.106911423014152,-5.615403101816423
35,d,-3.2705470593802057,3.0,18,d_18_3.0,0.46363763586371853,1.3175092788791671,0.7686519890520702,-3.2759069882043805
36,d,-4.206029493703857,3.0,25,d_25_3.0,0.40886773306156815,1.1618708026999947,0.894363566289007,-4.214899716772107
37,d,-4.297678497330693,3.0,31,d_31_3.0,0.3115841294829234,0.8854220408153105,1.1660858986224232,-4.306940062575653
38,d,-7.580786939676656,3.0,35,d_35_3.0,0.06760910790970791,0.19212337419899606,2.6940125726166833,-7.6096671540705145
39,d,-5.319237660441924,3.0,40,d_40_3.0,0.21123647539786458,0.6002662313122109,1.5547770365795923,-5.333435174099649
40,d,-6.4879406462601,3.0,51,d_51_3.0,0.06186401321018165,0.17579765991446747,2.7828166381395785,-6.509078811553157
