,treatment,d34S_raw,Area_All,d34S_corrected,replicate,Compound,time_h,Identifier
0,a,-2.562,66.163,-2.476220474668748,1,Sulfide,0,a_0_1
1,a,-2.239,60.341,-2.13277254078492,1,Sulfide,0,a_0_1
2,a,-2.155,16.438,-2.797220331576832,1,Sulfide,28,a_28_1
3,a,-1.973,22.924,-1.801473594474173,1,Sulfide,28,a_28_1
4,a,-2.402,17.07,-3.037666038487494,1,Sulfide,43,a_43_1
5,a,-4.039,14.833,-5.194375863332354,1,Sulfide,70,a_70_1
6,a,-5.06,16.35,-5.2433741456097644,1,Sulfide,70,a_70_1
54,a,-0.552,122.167,-0.6090557212914669,1,Sulfate,91,a_91_1
55,a,-0.678,21.197,-0.8975845501424586,2,Sulfate,91,a_91_2
56,a,-0.713,63.421,-0.8513806376949304,1,Sulfate,121,a_121_1
57,a,-0.811,32.06,-1.1300182824523044,2,Sulfate,121,a_121_2
58,a,-0.812,31.452,-1.1383728055092808,1,Sulfate,144,a_144_1
59,a,-0.948,47.915,-1.157361548609017,2,Sulfate,144,a_144_2
60,a,-1.252,66.739,-1.4094006138514932,1,Sulfate,210,a_210_1
61,a,-0.115,15.376,-0.4612487805835127,2,Sulfate,210,a_210_2
63,a,-2.953,31.954,-3.512233317695004,1,Sulfate,529,a_529_1
62,a,-1.878,45.366,-1.7361284545553817,2,Sulfate,529,a_529_2
7,aa,-2.348,46.91,-2.249589765081925,1,Sulfide,0,aa_0_1
8,aa,0.033,28.754,0.4974353895972233,1,Sulfide,28,aa_28_1
9,aa,-2.179,22.083,-2.047620151729298,1,Sulfide,43,aa_43_1
10,aa,-5.295,15.059,-5.630946932621797,1,Sulfide,70,aa_70_1
11,aaa,-2.393,90.012,-2.295777521659212,1,Sulfide,0,aaa_0_1
12,aaa,-0.774,12.25,-1.500456293270204,1,Sulfide,18,aaa_18_1
13,aaa,-2.859,14.845,-2.5596333535266744,1,Sulfide,28,aaa_28_1
14,aaa,-3.473,29.541,-4.148388991586022,1,Sulfide,70,aaa_70_1
15,aaa,-2.329,11.05,-1.8880147375573373,2,Sulfate,210,aaa_210_2
16,aaa,-1.971,38.229,-2.3368930631503715,1,Sulfate,387,aaa_387_1
17,b,-2.124,34.012,-1.9978163866684355,1,Sulfide,0,b_0_1
18,b,-2.893,9.867,-2.7569170367624904,1,Sulfide,28,b_28_1
19,b,-2.689,20.546,-2.3032187360453737,1,Sulfide,43,b_43_1
20,b,-5.379,8.961,-6.909465111333589,1,Sulfide,70,b_70_1
21,b,-2.279,11.848,-1.8182475999128755,2,Sulfate,121,b_121_2
22,b,-2.048,42.227,-1.9197277357203557,2,Sulfate,210,b_210_2
23,e,-2.055,40.525,-2.404495592601919,1,Sulfide,0,e_0_1
24,e,-2.184,39.028,-2.0680831487851448,1,Sulfide,0,e_0_1
25,e,-1.955,11.092,-1.3500135775285018,2,Sulfide,0,e_0_2
26,e,-2.246,33.387,-2.7026379605755007,1,Sulfide,28,e_28_1
27,e,-2.346,14.174,-1.9093649474838728,1,Sulfide,28,e_28_1
28,e,-2.401,31.536,-2.906195877359197,1,Sulfide,70,e_70_1
29,e,-3.22,30.664,-3.8374786357247,2,Sulfide,70,e_70_2
30,e,-2.463,75.749,-2.6522180661306245,1,Sulfide,121,e_121_1
31,e,-2.442,52.215,-2.729192799198285,2,Sulfide,144,e_144_2
32,e,-3.227,47.343,-3.604925003222261,1,Sulfide,170,e_170_1
33,e,-2.802,41.71,-3.2024223186614096,2,Sulfide,170,e_170_2
34,e,-3.221,22.666,-4.099901602124685,2,Sulfide,236,e_236_2
35,e,-6.901,24.763,-8.240162803688527,1,Sulfide,354,e_354_1
37,e,-7.992,18.7,-8.58758975986099,1,Sulfide,354,e_354_1
36,e,-1.781,27.233,-2.297198402971463,2,Sulfate,354,e_354_2
39,e,-1.695,14.714,-2.3936942258341576,1,Sulfate,387,e_387_1
38,e,-1.803,35.515,-2.18446681270969,2,Sulfate,387,e_387_2
40,e,-2.59,50.112,-2.9010139607453422,1,Sulfate,410,e_410_1
41,e,-2.542,16.55,-2.1479834426125346,2,Sulfate,433,e_433_2
42,e,-2.499,32.532,-2.99721376662666,1,Sulfate,511,e_511_1
43,e,-1.531,22.849,-2.125587926493791,2,Sulfate,511,e_511_2
44,e,-1.998,29.609,-2.492491362256087,2,Sulfate,583,e_583_2
45,full,-2.003,23.129,-1.8382121209054276,1,Sulfide,0,full_0_1
46,full,-2.042,14.197,-2.863320815641911,1,Sulfide,7,full_7_1
47,full,-2.14,18.472,-2.6473160387331065,1,Sulfide,18,full_18_1
48,full,-2.105,32.366,-1.9747912389574895,1,Sulfide,18,full_18_1
49,full,-3.483,15.332,-4.466685402438119,1,Sulfide,43,full_43_1
50,full,-4.011,22.945,-5.005580611820283,1,Sulfide,70,full_70_1
51,full,-4.126,15.372,-4.139712795869324,2,Sulfide,70,full_70_2
52,full,-2.575,43.78,-2.9361517219734283,2,Sulfate,387,full_387_2
53,full,-2.795,15.296,-2.472364962724631,2,Sulfate,529,full_529_2
