,treatment,d34S_corrected,replicate,time_h,ID,f_R,corrected_conc_dil,xaxis_linreg,d34S_sulfate
0,b,3.473536405500252,5.0,61,b_61_5.0,0.6426739830106052,677.24,-0.7951773309909241,3.467517611559752
1,b,-1.0877092955149457,7.0,69,b_69_7.0,0.7939732496174747,390.4825,-0.8890787352323666,-1.088301280581419
2,b,-2.8136499509458415,6.0,76,b_76_6.0,0.3414090117659474,1248.2275,-0.5571036039158355,-2.817615704544113
3,b,-2.730212874891049,4.0,102,b_102_4.0,0.256742116287659,1408.696667,-0.46967268505261167,-2.7339467037089977
4,b,-2.8889696801742786,4.0,148,b_148_4.0,0.180582669234422,1553.041667,-0.3771939577742093,-2.8931508077897017
5,b,-2.2833066363920764,8.0,163,b_163_8.0,0.3761827504880494,1182.320833,-0.5895740021879036,-2.2859173557957
6,b,-1.5593377687543852,9.0,163,b_163_9.0,0.39927496069223867,1138.554167,-0.6102231533115696,-1.5605548012339336
7,b,-2.5336009933854617,4.0,217,b_217_4.0,0.1544029968870363,1602.66,-0.341124690677794,-2.53681599187935
8,b,-1.6697330221014326,5.0,217,b_217_5.0,0.10894053711813434,1688.825,-0.27104370582997617,-1.671128579972989
9,b,-2.530068865252371,6.0,217,b_217_6.0,0.10501239909249194,1696.27,-0.264432727865552,-2.5332748982818005
10,b,-3.0051509619549575,5.0,316,b_316_5.0,0.04394772226032817,1812.005882,-0.14363842365065824,-3.0096754949839184
11,b,-2.520504643511461,4.0,397,b_397_4.0,0.10014245765841812,1705.5,-0.25608939221559046,-2.523686462992174
12,b,-3.645816928402952,5.0,397,b_397_5.0,0.0001,1895.3,-0.0009211261498125995,-3.6524791166155968
13,b,-1.745979738091073,6.0,397,b_397_6.0,0.001628590196802615,1892.213333,-0.010472670789101067,-1.7475057372150575
14,b,-2.39973252785292,9.0,671,b_671_9.0,0.23291218382314138,1453.861538,-0.4424198761716715,-2.4026165007217726
15,d,-1.2879326071740904,1.0,76,d_76_1.0,0.5878064873310467,507.62833330000007,-0.7577396761238105,-1.288762705191143
16,d,-3.1695666111813887,1.0,92,d_92_1.0,0.38432030656079463,758.2275,-0.596929572673714,-3.1746003267113774
17,d,-2.3904645748471602,2.0,92,d_92_2.0,0.3913846946671624,749.5275,-0.6032448045749165,-2.393326296761839
18,d,-2.0612434667274417,1.0,163,d_163_1.0,0.11923861645738831,1084.683333,-0.28790573508381523,-2.0633707527809855
19,d,-2.0918406875989675,2.0,163,d_163_2.0,0.20267418238093582,981.93,-0.4057306617837177,-2.094031642282064
20,d,-2.091444178379409,2.0,188,d_188_2.0,0.14587217161702837,1051.883333,-0.3287652108110598,-2.093634301968635
21,d,-2.334853284860391,3.0,188,d_188_3.0,0.0001,1231.529167,-0.0009211261498125995,-2.3375833050836063
22,d,-2.691224974076481,2.0,216,d_216_2.0,0.08985915231677166,1120.865,-0.23789360644969015,-2.6948528303872075
