,treatment,type,replicate,time_h,Amount,corrected_conc_dil,ID,max_conc,f_R
7,b,sample,4.0,61.5,48.14,802.3333332999999,b_61_4.0,1892.213333,0.5759815665034214
8,b,sample,5.0,61.5,40.6344,677.24,b_61_5.0,1892.213333,0.6420910960783299
10,b,sample,5.0,148.5,38.1748,1590.616667,b_148_5.0,1892.213333,0.15938829979695524
11,d,sample,4.0,316.5,29.4517,1732.452941,d_316_4.0,1895.3,0.08592152113121931
12,d,sample,5.0,316.5,30.8041,1812.005882,d_316_5.0,1895.3,0.04394772226032817
13,b,sample,6.0,316.5,30.8115,1812.4411760000003,b_316_6.0,1892.213333,0.04215812012777931
14,b,sample,4.0,397.5,25.5825,1705.5,b_397_4.0,1892.213333,0.09867456789556395
16,d,sample,5.0,397.5,28.4295,1895.3,d_397_5.0,1895.3,0.0
17,b,sample,6.0,397.5,28.3832,1892.213333,b_397_6.0,1892.213333,0.0
18,b,sample,7.0,52.5,9.052999999999999,150.8833333,b_52_7.0,1892.213333,0.9202609290038228
19,b,sample,7.0,69.0,15.6193,390.4825,b_69_7.0,1892.213333,0.7936371691341422
20,b,sample,8.0,92.5,31.4015,1046.716667,b_92_8.0,1892.213333,0.4468294622253357
21,b,sample,9.0,92.5,31.7186,1057.286667,b_92_9.0,1892.213333,0.4412434113210003
22,b,sample,8.0,163.5,28.3757,1182.320833,b_163_8.0,1892.213333,0.37516515057765953
23,b,sample,9.0,163.5,27.3253,1138.554167,b_163_9.0,1892.213333,0.3982950298765282
24,b,sample,8.0,188.0,25.1042,1255.21,b_188_8.0,1892.213333,0.33664456427334555
25,b,sample,9.0,216.0,21.261999999999997,1250.705882,b_216_9.0,1892.213333,0.3390249079277574
27,b,sample,9.0,244.5,19.2828,1285.52,b_244_9.0,1892.213333,0.32062628585230457
28,b,sample,9.0,671.0,18.9002,1453.861538,b_671_9.0,1892.213333,0.23166087425513338
29,d,sample,1.0,76.0,30.4577,507.62833330000007,d_76_1.0,1895.3,0.7321646529309344
30,d,sample,1.0,92.75,30.3291,758.2275,d_92_1.0,1895.3,0.5999432807471112
31,d,sample,2.0,92.75,29.9811,749.5275,d_92_2.0,1895.3,0.6045335830739197
32,d,sample,1.0,163.5,32.5405,1084.683333,d_163_1.0,1895.3,0.4276983416873318
33,d,sample,2.0,163.5,29.4579,981.93,d_163_2.0,1895.3,0.4819131535904606
34,d,sample,2.0,188.0,25.2452,1051.883333,d_188_2.0,1895.3,0.4450043090803567
35,d,sample,3.0,188.0,29.5567,1231.529167,d_188_3.0,1895.3,0.35021940220545567
36,d,sample,2.0,216.0,22.4173,1120.865,d_216_2.0,1895.3,0.40860813591515854
37,d,sample,3.0,244.5,23.7812,1398.894118,d_244_3.0,1895.3,0.26191414657310186
38,d,sample,3.0,671.0,22.8303,1522.02,d_671_3.0,1895.3,0.19695035086793644
