,ID,Replicate,Timepoint,Time_h,Compound,Conc_uM,Identifier,max_conc,f_R
0,a,1,0,0.0,Sulfide,3.74520142,a_0_1,4.110022901,0.088763856014339
3,a,1,1,7.0,Sulfide,3.519537649,a_7_1,4.110022901,0.14366957708589168
4,a,1,3,28.0,Sulfide,1.625472324,a_28_1,4.110022901,0.6045101540420832
6,a,1,4,43.5,Sulfate,15.78671194,a_43_1,2235.606425,0.9929385102120558
9,a,1,5,70.5,Sulfate,0.0,a_70_1,2235.606425,1.0
12,a,1,6,91.0,Sulfate,264.9550065,a_91_1,2235.606425,0.8814840557187967
15,a,1,7,101.5,Sulfate,422.0650933,a_101_1,2235.606425,0.8112077830067965
16,a,1,8,121.5,Sulfate,765.0608538,a_121_1,2235.606425,0.6577837470654075
17,a,1,9,144.5,Sulfate,885.123926,a_144_1,2235.606425,0.6040788234896937
18,a,1,12,210.5,Sulfate,1255.057978,a_210_1,2235.606425,0.43860513014941793
19,a,1,14,309.0,Sulfate,1316.990508,a_309_1,2235.606425,0.4109023425265921
20,a,1,16,387.5,Sulfate,1381.728338,a_387_1,2235.606425,0.3819447275922013
21,a,1,20,529.0,Sulfate,1406.598064,a_529_1,2235.606425,0.3708203517978349
22,a,2,0,0.0,Sulfide,3.616583831,a_0_2,4.110022901,0.12005749892049078
25,a,2,5,70.5,Sulfate,227.677684,a_70_2,2235.606425,0.8981584229433408
28,a,2,6,91.0,Sulfate,724.0892425,a_91_2,2235.606425,0.6761105915590666
29,a,2,7,101.5,Sulfate,905.8413064,a_101_2,2235.606425,0.5948118164850953
30,a,2,8,121.5,Sulfate,1288.036929,a_121_2,2235.606425,0.4238534499649239
31,a,2,9,144.5,Sulfate,1595.357815,a_144_2,2235.606425,0.28638699676308177
32,a,2,12,210.5,Sulfate,1199.118715,a_210_2,2235.606425,0.46362709393268986
33,a,2,14,309.0,Sulfate,2192.901642,a_309_2,2235.606425,0.019102102464211734
34,a,2,16,387.5,Sulfate,2216.248494,a_387_2,2235.606425,0.008658917233161922
35,a,2,20,529.0,Sulfate,2235.606425,a_529_2,2235.606425,0.0
36,aa,1,0,0.0,Sulfide,3.96174413,aa_0_1,4.304776375,0.07968642621999156
39,aa,1,1,7.0,Sulfide,2.522737389,aa_7_1,4.304776375,0.4139678419416154
40,aa,1,3,28.0,Sulfide,1.879574323,aa_28_1,4.304776375,0.5633746891207561
42,aa,1,4,43.5,Sulfate,0.0,aa_43_1,1948.083064,1.0
45,aa,1,5,70.5,Sulfate,0.0,aa_70_1,1948.083064,1.0
48,aa,1,6,91.0,Sulfate,316.8341614,aa_91_1,1948.083064,0.8373610616225756
51,aa,1,7,101.5,Sulfate,496.8771933,aa_101_1,1948.083064,0.7449404481348132
52,aa,1,8,121.5,Sulfate,679.7797744,aa_121_1,1948.083064,0.6510519561705916
53,aa,1,9,144.5,Sulfate,923.2180926,aa_144_1,1948.083064,0.5260889488437132
54,aa,1,12,210.5,Sulfate,1323.520742,aa_210_1,1948.083064,0.32060353767338123
55,aa,1,14,309.0,Sulfate,1458.10637,aa_309_1,1948.083064,0.2515173521368902
56,aa,1,16,387.5,Sulfate,1500.0,aa_387_1,1948.083064,0.23001229890061814
57,aa,1,20,529.0,Sulfate,1536.913777,aa_529_1,1948.083064,0.21106352937320128
58,aa,2,0,0.0,Sulfide,4.304776375,aa_0_2,4.304776375,0.0
61,aa,2,5,70.5,Sulfate,159.5972236,aa_70_2,1948.083064,0.918074733798928
64,aa,2,6,91.0,Sulfate,807.957931,aa_91_2,1948.083064,0.5852548867495313
65,aa,2,7,101.5,Sulfate,1030.254698,aa_101_2,1948.083064,0.4711443690267614
66,aa,2,8,121.5,Sulfate,1409.357711,aa_121_2,1948.083064,0.27654126405361523
67,aa,2,9,144.5,Sulfate,1690.363466,aa_144_2,1948.083064,0.1322939471948512
68,aa,2,12,210.5,Sulfate,1914.898166,aa_210_2,1948.083064,0.01703464221482498
69,aa,2,14,309.0,Sulfate,1922.28566,aa_309_2,1948.083064,0.013242455866861236
70,aa,2,16,387.5,Sulfate,1931.886178,aa_387_2,1948.083064,0.008314268677405812
71,aa,2,20,529.0,Sulfate,1948.083064,aa_529_2,1948.083064,0.0
72,aaa,1,0,0.0,Sulfide,3.519537649,aaa_0_1,4.117970233,0.14532222190543453
75,aaa,1,2,18.0,Sulfide,2.853733185,aaa_18_1,4.117970233,0.3070049020434481
76,aaa,1,3,28.0,Sulfide,1.865921239,aaa_28_1,4.117970233,0.546883262038383
78,aaa,1,4,43.5,Sulfate,0.0,aaa_43_1,1894.469573,1.0
81,aaa,1,5,70.5,Sulfate,0.0,aaa_70_1,1894.469573,1.0
84,aaa,1,6,91.0,Sulfate,75.8373082,aaa_91_1,1894.469573,0.9599691073000939
87,aaa,1,7,101.5,Sulfate,279.6043609,aaa_101_1,1894.469573,0.852410212924544
88,aaa,1,8,121.5,Sulfate,602.8786957,aaa_121_1,1894.469573,0.681769132483185
89,aaa,1,9,144.5,Sulfate,968.5963623,aaa_144_1,1894.469573,0.48872424445108786
90,aaa,1,12,210.5,Sulfate,1342.606796,aaa_210_1,1894.469573,0.2913020007632501
91,aaa,1,14,309.0,Sulfate,1489.069796,aaa_309_1,1894.469573,0.21399117873296136
92,aaa,1,16,387.5,Sulfate,1641.786952,aaa_387_1,1894.469573,0.1333790864742488
93,aaa,1,20,529.0,Sulfate,1595.666476,aaa_529_1,1894.469573,0.15772388285277572
94,aaa,2,0,0.0,Sulfide,4.117970233,aaa_0_2,4.117970233,0.0
97,aaa,2,5,70.5,Sulfate,54.74111965,aaa_70_2,1894.469573,0.9711047775957076
100,aaa,2,6,91.0,Sulfate,625.5925794,aaa_91_2,1894.469573,0.6697795581855988
101,aaa,2,7,101.5,Sulfate,870.1111156,aaa_101_2,1894.469573,0.5407099021273117
102,aaa,2,8,121.5,Sulfate,1321.134475,aaa_121_2,1894.469573,0.30263621341360014
103,aaa,2,9,144.5,Sulfate,1424.384932,aaa_144_2,1894.469573,0.24813522882586836
104,aaa,2,12,210.5,Sulfate,1777.596022,aaa_210_2,1894.469573,0.061691965215848854
105,aaa,2,14,309.0,Sulfate,1802.799046,aaa_309_2,1894.469573,0.04838849264537648
106,aaa,2,16,387.5,Sulfate,1894.469573,aaa_387_2,1894.469573,0.0
107,aaa,2,20,529.0,Sulfate,1777.190865,aaa_529_2,1894.469573,0.061905828244199546
108,b,1,0,0.0,Sulfide,3.107889024,b_0_1,4.338058777,0.2835760915740123
111,b,1,1,7.0,Sulfide,3.181187951,b_7_1,4.338058777,0.2666793802180887
112,b,1,2,18.0,Sulfide,1.693038371,b_18_1,4.338058777,0.6097244278993317
113,b,1,3,28.0,Sulfide,1.558519791,b_28_1,4.338058777,0.6407333622902638
115,b,1,4,43.5,Sulfate,0.0,b_43_1,3701.443423,1.0
118,b,1,5,70.5,Sulfate,108.9139586,b_70_1,3701.443423,0.9705752739800827
121,b,1,6,91.0,Sulfate,733.1802562,b_91_1,3701.443423,0.8019204476707193
