,ID,Replicate,Timepoint,Time_h,well,Compound,Conc_uM,avg_conc,Identifier,max_conc,f_R
0,a,1,0,0.0,1,Sulfide,3.74520142,3.5636040463333334,a_0_1,3.5636040463333334,1.0
3,a,1,1,7.0,1,Sulfide,3.519537649,3.519537649,a_7_1,3.5636040463333334,0.9876343171799139
4,a,1,3,28.0,1,Sulfide,1.625472324,1.432087765,a_28_1,3.5636040463333334,0.4018650069929921
7,a,1,4,43.5,1,Sulfide,1.077859794,1.1562140680000002,a_43_1,3.5636040463333334,0.3244507675283546
10,a,1,5,70.5,1,Sulfide,0.302693604,0.2968255595,a_70_1,3.5636040463333334,0.08329364195368731
13,a,1,6,91.0,1,Sulfide,0.054339087,0.0557695765,a_91_1,3.5636040463333334,0.015649767980643776
22,a,2,0,0.0,1,Sulfide,3.616583831,3.8632791193333333,a_0_2,3.8632791193333333,1.0
26,a,2,5,70.5,2,Sulfide,0.045718266,0.0500286765,a_70_2,3.8632791193333333,0.012949796003513512
36,aa,1,0,0.0,1,Sulfide,3.96174413,4.071438746666666,aa_0_1,4.071438746666666,1.0
39,aa,1,1,7.0,1,Sulfide,2.522737389,2.522737389,aa_7_1,4.071438746666666,0.6196181610408346
40,aa,1,3,28.0,1,Sulfide,1.879574323,1.8460424985000001,aa_28_1,4.071438746666666,0.4534128138391807
43,aa,1,4,43.5,2,Sulfide,1.065149325,1.0843864435,aa_43_1,4.071438746666666,0.26633986435085133
46,aa,1,5,70.5,2,Sulfide,0.174494578,0.1718861625,aa_70_1,4.071438746666666,0.04221754843806141
49,aa,1,6,91.0,2,Sulfide,0.054339087,0.0571969225,aa_91_1,4.071438746666666,0.01404833182049657
58,aa,2,0,0.0,1,Sulfide,4.304776375,3.9010785853333334,aa_0_2,3.9010785853333334,1.0
62,aa,2,5,70.5,2,Sulfide,0.051471805,0.04715189,aa_70_2,3.9010785853333334,0.012086885451955343
72,aaa,1,0,0.0,1,Sulfide,3.519537649,3.6579249199999997,aaa_0_1,3.6579249199999997,1.0
