,treatment,type,replicate,time_h,Amount,corrected_conc_dil,ID,max_conc,f_R
7,b,sample,5.0,61.5,40.6344,677.24,b_61_5.0,1895.3,0.6426739830106052
8,b,sample,6.0,76.0,49.9291,1248.2275,b_76_6.0,1895.3,0.3414090117659474
9,b,sample,4.0,102.5,42.2609,1408.696667,b_102_4.0,1895.3,0.256742116287659
11,b,sample,4.0,148.5,37.273,1553.041667,b_148_4.0,1895.3,0.180582669234422
12,b,sample,4.0,217.5,32.0532,1602.66,b_217_4.0,1895.3,0.1544029968870363
13,b,sample,5.0,217.5,33.7765,1688.825,b_217_5.0,1895.3,0.10894053711813434
14,b,sample,6.0,217.5,33.9254,1696.27,b_217_6.0,1895.3,0.10501239909249194
15,b,sample,5.0,316.5,30.8041,1812.005882,b_316_5.0,1895.3,0.04394772226032817
16,b,sample,4.0,397.5,25.5825,1705.5,b_397_4.0,1895.3,0.10014245765841812
18,b,sample,5.0,397.5,28.4295,1895.3,b_397_5.0,1895.3,0.0
19,b,sample,6.0,397.5,28.3832,1892.213333,b_397_6.0,1895.3,0.001628590196802615
20,b,sample,7.0,69.0,15.6193,390.4825,b_69_7.0,1895.3,0.7939732496174747
21,b,sample,8.0,163.5,28.3757,1182.320833,b_163_8.0,1895.3,0.3761827504880494
22,b,sample,9.0,163.5,27.3253,1138.554167,b_163_9.0,1895.3,0.39927496069223867
23,b,sample,8.0,188.0,25.1042,1255.21,b_188_8.0,1895.3,0.3377248984329657
25,b,sample,9.0,671.0,18.9002,1453.861538,b_671_9.0,1895.3,0.23291218382314138
26,d,sample,1.0,76.0,30.4577,507.62833330000007,d_76_1.0,1231.529167,0.5878064873310467
27,d,sample,1.0,92.75,30.3291,758.2275,d_92_1.0,1231.529167,0.38432030656079463
28,d,sample,2.0,92.75,29.9811,749.5275,d_92_2.0,1231.529167,0.3913846946671624
29,d,sample,1.0,163.5,32.5405,1084.683333,d_163_1.0,1231.529167,0.11923861645738831
30,d,sample,2.0,163.5,29.4579,981.93,d_163_2.0,1231.529167,0.20267418238093582
31,d,sample,2.0,188.0,25.2452,1051.883333,d_188_2.0,1231.529167,0.14587217161702837
32,d,sample,3.0,188.0,29.5567,1231.529167,d_188_3.0,1231.529167,0.0
33,d,sample,2.0,216.0,22.4173,1120.865,d_216_2.0,1231.529167,0.08985915231677166
