,absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group,abs_corr,concentration,avg_conc,ID,max_conc,f_R
21,0.451,sample,,d,1,1,18.25,d,0.419,1.371928326,1.398049469,d_18_1.0,2.841678882,0.491980103
24,0.471,sample,,d,1,2,18.25,d,0.439,1.437231184,1.449203374,d_18_2.0,2.841678882,0.5099814
27,0.422,sample,,d,1,3,18.25,d,0.39,1.277239184,1.317509279,d_18_3.0,2.841678882,0.463637636
30,0.257,sample,,d,1,1,25.5,d,0.225,0.738490612,0.802705088,d_25_1.0,2.841678882,0.28247565
33,0.269,sample,,d,1,2,25.5,d,0.237,0.777672327,0.779849088,d_25_2.0,2.841678882,0.274432517
36,0.388,sample,,d,1,3,25.5,d,0.356,1.166224327,1.161870803,d_25_3.0,2.841678882,0.408867733
39,0.215,sample,,d,1,1,31.5,d,0.183,0.601354612,0.580675374,d_31_1.0,2.841678882,0.204342362
42,0.232,sample,,d,1,2,31.5,d,0.2,0.656862041,0.689513469,d_31_2.0,2.841678882,0.242642993
45,0.31,sample,,d,1,3,31.5,d,0.278,0.911543184,0.885422041,d_31_3.0,2.841678882,0.311584129
48,0.126,sample,,d,1,1,40.5,d,0.094,0.310756898,0.293342803,d_40_1.0,2.841678882,0.103228695
51,0.127,sample,,d,1,2,40.5,d,0.095,0.314022041,0.345585088,d_40_2.0,2.841678882,0.121612998
54,0.234,sample,,d,1,3,40.5,d,0.202,0.663392327,0.600266231,d_40_3.0,2.841678882,0.211236475
57,0.084,sample,,d,1,3,51.5,d,0.052,0.173620898,0.17579766,d_51_3.0,2.841678882,0.061864013
60,0.742,sample,,b_march22,1,7,0,b,0.71,2.128245636,2.12204649,b_march22_0_7.0,2.12204649,1
63,0.071,sample,,d,1,1,35,d,0.039,0.131174041,0.144234612,d_35_1.0,2.841678882,0.05075683
66,0.113,sample,,d,1,2,35,d,0.081,0.268310041,0.272663565,d_35_2.0,2.841678882,0.095951575
69,0.098,sample,,d,1,3,35,d,0.066,0.219332898,0.192123374,d_35_3.0,2.841678882,0.067609108
72,0.301,sample,,b_march22,1,7,17.5,b,0.269,0.761333885,0.767533031,b_march22_17_7.0,2.12204649,0.36169473
75,0.29,sample,,b_march22,1,8,17.5,b,0.258,0.727238581,0.738603682,b_march22_17_8.0,2.12204649,0.34806197
78,0.212,sample,,b_march22,1,9,17.5,b,0.18,0.485471876,0.590857363,b_march22_17_9.0,2.12204649,0.27843752
81,0.164,sample,,b_march22,1,7,21.25,b,0.132,0.336692366,0.317061736,b_march22_21_7.0,2.12204649,0.14941319
84,0.149,sample,,b_march22,1,8,21.25,b,0.117,0.290198769,0.265402184,b_march22_21_8.0,2.12204649,0.125068977
87,0.104,sample,,b_march22,1,9,21.25,b,0.072,0.150717978,0.166215844,b_march22_21_9.0,2.12204649,0.078328088
90,0.112,sample,,b_march22,1,7,22.75,b,0.08,0.175514563,0.206510294,b_march22_22_7.0,2.12204649,0.097316574
93,0.102,sample,,b_march22,1,8,22.75,b,0.07,0.144518832,0.145552023,b_march22_22_8.0,2.12204649,0.068590403
96,0.075,sample,,b_march22,1,9,22.75,b,0.043,0.060830357,0.052564829,b_march22_22_9.0,2.12204649,0.024770819
99,0.091,sample,,b_march22,1,7,24,b,0.059,0.110423527,0.108357145,b_march22_24_7.0,2.12204649,0.051062569
102,0.075,sample,,b_march22,1,8,24,b,0.043,0.060830357,0.047398874,b_march22_24_8.0,2.12204649,0.022336397
135,0.76,sample,,c,1,1,10,c,0.726,1.515133276,1.471825324,c_10_1.0,2.841678882,0.517942169
138,0.748,sample,,c,1,2,10,c,0.714,1.491147333,1.438511514,c_10_2.0,2.841678882,0.506218885
141,0.755,sample,,c,1,3,10,c,0.721,1.505139133,1.554443572,c_10_3.0,2.841678882,0.547015914
144,0.528,sample,,c,1,1,22,c,0.494,1.051405048,1.116700114,c_22_1.0,2.841678882,0.392971958
147,0.525,sample,,c,1,2,22,c,0.491,1.045408562,1.159341791,c_22_2.0,2.841678882,0.407977762
150,0.59,sample,,c,1,3,22,c,0.556,1.175332419,1.101375762,c_22_3.0,2.841678882,0.387579247
153,0.399,sample,,c,1,1,34,c,0.365,0.793556162,0.805549133,c_34_1.0,2.841678882,0.283476482
156,0.47,sample,,c,1,2,34,c,0.436,0.935472991,0.954795,c_34_2.0,2.841678882,0.335996796
159,0.518,sample,,c,1,3,34,c,0.484,1.031416762,1.015426133,c_34_3.0,2.841678882,0.357333174
162,0.396,sample,,c,1,1,103.5,c,0.362,0.787559676,0.805549133,c_103_1.0,2.841678882,0.283476482
165,0.455,sample,,c,1,2,103.5,c,0.421,0.905490562,0.837530391,c_103_2.0,2.841678882,0.294730835
168,0.415,sample,,c,1,3,103.5,c,0.381,0.825537419,0.832866457,c_103_3.0,2.841678882,0.293089575
189,1.154,sample,,c,1,1,0,c,1.12,2.302671734,2.841678882,c_0_1.0,2.841678882,1
192,1.175,sample,,d,1,1,0,d,1.143,3.735891755,2.841678882,d_0_1.0,2.841678882,1
