Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Date
d,0,1,1,35.988,34.347,1.641,1797,8586,0,sample,20210330
d,0,1,2,36.252,34.599,1.653,1802,8609,-0.016,sample,20210330
d,0,1,3,41.827,39.925,1.903,1377,6547,-2.693,sample,20210330
d,0,1,4,35.725,34.096,1.629,1792,8562,0.059,sample,20210330
d,0,1,5,36.334,34.677,1.657,1807,8634,0.089,sample,20210330
AGS2,,,1,35.675,34.052,1.623,1780,8480,0,standard,20210330
AGS2,,,2,35.867,34.236,1.631,1784,8498,-0.105,standard,20210330
AGS2,,,3,28.331,27.041,1.29,877,4178,1.364,standard,20210330
AGS2,,,4,35.275,33.67,1.604,1775,8454,-0.114,standard,20210330
AGS2,,,5,35.952,34.317,1.635,1789,8522,-0.081,standard,20210330
AGS2,,,1,35.664,34.042,1.622,1780,8480,0,standard,20210330
AGS2,,,2,35.922,34.288,1.634,1791,8532,-0.253,standard,20210330
AGS2,,,3,46.367,44.256,2.111,1512,7198,0.882,standard,20210330
AGS2,,,4,35.611,33.992,1.62,1785,8507,-0.255,standard,20210330
AGS2,,,5,36.205,34.558,1.647,1800,8573,-0.286,standard,20210330
AGS26,,,1,35.871,34.239,1.631,1789,8519,0,standard,20210330
AGS26,,,2,36.068,34.427,1.64,1795,8551,-0.097,standard,20210330
AGS26,,,3,44.091,42.044,2.047,1421,6907,23.685,standard,20210330
AGS26,,,4,35.49,33.876,1.614,1778,8473,-0.017,standard,20210330
AGS26,,,5,36.044,34.405,1.639,1796,8556,-0.161,standard,20210330
AGS26,,,1,35.953,34.314,1.64,1794,8568,0,standard,20210330
AGS26,,,2,36.192,34.542,1.65,1797,8585,-0.134,standard,20210330
AGS26,,,3,59.12,56.367,2.753,1831,8927,24.328,standard,20210330
AGS26,,,4,35.947,34.307,1.639,1800,8601,-0.043,standard,20210330
AGS26,,,5,36.3,34.645,1.656,1803,8613,0.066,standard,20210330
AGS2,,,1,36.301,34.649,1.652,1811,8633,0,standard,20210330
AGS2,,,2,36.552,34.889,1.663,1815,8648,-0.08,standard,20210330
AGS2,,,3,64.87,61.915,2.955,1967,9367,1.412,standard,20210330
AGS2,,,4,36.265,34.615,1.65,1813,8641,-0.035,standard,20210330
AGS2,,,5,36.683,35.014,1.669,1824,8694,-0.118,standard,20210330
AGS2,,,1,36.401,34.745,1.656,1813,8642,0,standard,20210330
AGS2,,,2,36.57,34.906,1.664,1818,8663,0.023,standard,20210330
AGS2,,,3,48.93,46.701,2.229,1468,6990,1.253,standard,20210330
AGS2,,,4,36.509,34.848,1.661,1828,8712,-0.081,standard,20210330
AGS2,,,5,36.971,35.288,1.682,1834,8741,0.008,standard,20210330
AGS26,,,1,36.59,34.921,1.669,1823,8712,0,standard,20210330
AGS26,,,2,36.94,35.255,1.685,1836,8773,-0.008,standard,20210330
AGS26,,,3,60.59,57.767,2.822,1926,9394,24.184,standard,20210330
AGS26,,,4,36.349,34.69,1.658,1816,8678,0.001,standard,20210330
AGS26,,,5,36.766,35.089,1.677,1826,8728,0.003,standard,20210330
AGS26,,,1,36.47,34.806,1.664,1819,8694,0,standard,20210330
AGS26,,,2,36.651,34.979,1.672,1822,8706,-0.056,standard,20210330
AGS26,,,3,33.358,31.805,1.553,1055,5142,23.112,standard,20210330
AGS26,,,4,36.19,34.539,1.651,1813,8665,-0.004,standard,20210330
AGS26,,,5,36.629,34.958,1.671,1821,8703,-0.033,standard,20210330
AGS2,,,1,36.01,34.371,1.639,1794,8554,0,standard,20210330
AGS2,,,2,36.295,34.643,1.652,1804,8601,-0.004,standard,20210330
AGS2,,,3,37.162,35.469,1.693,1259,5996,1.373,standard,20210330
AGS2,,,4,35.843,34.212,1.631,1792,8541,0.025,standard,20210330
AGS2,,,5,36.285,34.634,1.651,1801,8587,-0.027,standard,20210330
AGS2,,,1,36.143,34.498,1.645,1805,8605,0,standard,20210330
AGS2,,,2,36.238,34.589,1.649,1801,8584,0.014,standard,20210330
AGS2,,,3,46.408,44.293,2.114,1424,6784,1.252,standard,20210330
AGS2,,,4,35.827,34.196,1.631,1792,8544,0.017,standard,20210330
AGS2,,,5,36.247,34.598,1.65,1800,8582,0.007,standard,20210330
AGS26,,,1,36.047,34.407,1.641,1797,8568,0,standard,20210330
AGS26,,,2,36.17,34.524,1.646,1797,8566,-0.021,standard,20210330
AGS26,,,3,41.151,39.239,1.912,1272,6184,23.903,standard,20210330
AGS26,,,4,35.724,34.098,1.626,1790,8534,0.222,standard,20210330
AGS26,,,5,36.197,34.549,1.648,1797,8570,0.204,standard,20210330
AGS26,,,1,36.084,34.441,1.643,1798,8576,0,standard,20210330
AGS26,,,2,36.301,34.648,1.652,1804,8603,-0.08,standard,20210330
AGS26,,,3,70.841,67.547,3.294,2072,10090,24.461,standard,20210330
AGS26,,,4,35.944,34.308,1.636,1796,8564,0.119,standard,20210330
AGS26,,,5,36.307,34.654,1.653,1804,8603,0.003,standard,20210330
d,35,1,1,36.915,35.226,1.689,1826,8751,0,sample,20210331
d,35,1,2,36.924,35.235,1.689,1826,8753,-0.082,sample,20210331
d,35,1,3,27.697,26.438,1.259,859,4078,-6.583,sample,20210331
d,35,1,4,36.546,34.874,1.671,1823,8734,-0.35,sample,20210331
d,35,1,5,36.948,35.259,1.69,1829,8766,-0.363,sample,20210331
d,35,3,1,36.972,35.279,1.693,1826,8761,0,sample,20210331
d,35,3,2,36.939,35.248,1.692,1825,8757,-0.066,sample,20210331
d,35,3,3,27.718,26.457,1.261,882,4191,-6.852,sample,20210331
d,35,3,4,36.466,34.797,1.67,1816,8712,-0.401,sample,20210331
d,35,3,5,36.833,35.147,1.686,1823,8746,-0.412,sample,20210331
b_march22,17.5,7,1,36.843,35.155,1.687,1826,8761,0,sample,20210331
b_march22,17.5,7,2,36.822,35.135,1.686,1821,8736,-0.069,sample,20210331
b_march22,17.5,7,3,26.705,25.487,1.217,843,4014,-4.677,sample,20210331
b_march22,17.5,7,4,36.186,34.529,1.657,1803,8647,-0.358,sample,20210331
b_march22,17.5,7,5,36.617,34.94,1.677,1812,8691,-0.391,sample,20210331
b_march22,17.5,8,1,36.72,35.038,1.682,1815,8711,0,sample,20210331
b_march22,17.5,8,2,36.787,35.102,1.685,1818,8725,-0.102,sample,20210331
b_march22,17.5,8,3,28.676,27.367,1.308,917,4376,-4.476,sample,20210331
b_march22,17.5,8,4,36.015,34.366,1.649,1795,8614,-0.375,sample,20210331
b_march22,17.5,8,5,36.381,34.715,1.666,1801,8637,-0.412,sample,20210331
b_march22,17.5,9,1,36.439,34.772,1.667,1805,8649,0,sample,20210331
b_march22,17.5,9,2,36.504,34.834,1.67,1806,8653,-0.088,sample,20210331
b_march22,17.5,9,3,26.49,25.283,1.207,880,4193,-4.554,sample,20210331
b_march22,17.5,9,4,36.19,34.535,1.655,1802,8638,-0.132,sample,20210331
b_march22,17.5,9,5,36.534,34.863,1.671,1808,8664,-0.23,sample,20210331
b_march22,21.25,7,1,36.442,34.774,1.667,1802,8638,0,sample,20210331
b_march22,21.25,7,2,36.425,34.759,1.667,1797,8615,-0.002,sample,20210331
b_march22,21.25,7,3,39.717,37.908,1.809,1225,5834,-5.182,sample,20210331
b_march22,21.25,7,4,35.778,34.141,1.637,1782,8539,-0.128,sample,20210331
b_march22,21.25,7,5,36.15,34.496,1.654,1788,8569,-0.128,sample,20210331
b_march22,21.25,8,1,36.264,34.608,1.656,1793,8577,0,sample,20210331
b_march22,21.25,8,2,36.336,34.677,1.659,1794,8582,-0.022,sample,20210331
b_march22,21.25,8,3,26.027,24.844,1.183,819,3891,-5.108,sample,20210331
b_march22,21.25,8,4,35.736,34.104,1.632,1777,8502,0.122,sample,20210331
b_march22,21.25,8,5,36.003,34.359,1.644,1782,8528,0.081,sample,20210331
b_march22,21.25,9,1,36.216,34.559,1.657,1792,8589,0,sample,20210331
b_march22,21.25,9,2,36.198,34.541,1.656,1789,8577,-0.038,sample,20210331
b_march22,21.25,9,3,27.369,26.122,1.246,860,4096,-5.563,sample,20210331
b_march22,21.25,9,4,35.766,34.13,1.637,1782,8541,-0.168,sample,20210331
b_march22,21.25,9,5,36.1,34.448,1.652,1785,8556,-0.155,sample,20210331
AGS2,,,1,36.074,34.426,1.648,1787,8549,0,standard,20210331
AGS2,,,2,36.096,34.448,1.649,1785,8542,-0.106,standard,20210331
AGS2,,,3,52.458,50.06,2.398,1807,8638,0.703,standard,20210331
AGS2,,,4,35.921,34.281,1.64,1786,8542,-0.249,standard,20210331
AGS2,,,5,36.334,34.674,1.659,1800,8610,-0.309,standard,20210331
AGS2,,,1,36.327,34.667,1.659,1796,8594,0,standard,20210331
AGS2,,,2,36.356,34.696,1.66,1797,8598,-0.101,standard,20210331
AGS2,,,3,18.546,17.698,0.848,599,2865,1.706,standard,20210331
AGS2,,,4,35.874,34.235,1.639,1787,8550,0.2,standard,20210331
AGS2,,,5,36.221,34.566,1.654,1793,8579,0.099,standard,20210331
AGS26,,,1,36.323,34.661,1.662,1793,8599,0,standard,20210331
AGS26,,,2,36.408,34.742,1.666,1799,8624,-0.079,standard,20210331
AGS26,,,3,38.471,36.675,1.797,1303,6370,23.449,standard,20210331
AGS26,,,4,36.159,34.505,1.654,1800,8630,-0.303,standard,20210331
AGS26,,,5,36.615,34.94,1.675,1810,8678,-0.256,standard,20210331
AGS26,,,1,36.778,35.095,1.683,1819,8719,0,standard,20210331
AGS26,,,2,36.846,35.16,1.686,1822,8733,-0.026,standard,20210331
AGS26,,,3,30.777,29.34,1.437,989,4834,23.302,standard,20210331
AGS26,,,4,36.368,34.704,1.664,1812,8683,-0.18,standard,20210331
AGS26,,,5,36.786,35.103,1.683,1821,8727,-0.248,standard,20210331
b_march22,22.75,7,1,36.922,35.233,1.689,1828,8762,0,sample,20210331
b_march22,22.75,7,2,36.981,35.288,1.692,1827,8759,-0.048,sample,20210331
b_march22,22.75,7,3,35.385,33.775,1.611,1156,5501,-6.031,sample,20210331
b_march22,22.75,7,4,36.683,35.005,1.678,1825,8744,-0.325,sample,20210331
b_march22,22.75,7,5,36.928,35.239,1.689,1823,8738,-0.397,sample,20210331
b_march22,22.75,8,1,36.943,35.251,1.692,1827,8768,0,sample,20210331
b_march22,22.75,8,2,37.072,35.374,1.698,1828,8774,-0.102,sample,20210331
b_march22,22.75,8,3,26.965,25.737,1.228,847,4034,-6.215,sample,20210331
b_march22,22.75,8,4,36.682,35.003,1.68,1823,8747,-0.468,sample,20210331
b_march22,22.75,8,5,36.892,35.203,1.689,1826,8759,-0.453,sample,20210331
b_march22,22.75,9,1,37.08,35.383,1.697,1833,8786,0,sample,20210331
b_march22,22.75,9,2,37.157,35.457,1.7,1834,8791,-0.07,sample,20210331
b_march22,22.75,9,3,24.055,22.96,1.095,748,3556,-6.872,sample,20210331
b_march22,22.75,9,4,36.62,34.945,1.675,1822,8731,-0.231,sample,20210331
b_march22,22.75,9,5,36.936,35.246,1.69,1828,8759,-0.232,sample,20210331
b_march22,24,7,1,36.963,35.275,1.688,1831,8759,0,sample,20210331
b_march22,24,7,2,37.047,35.356,1.691,1830,8750,-0.026,sample,20210331
b_march22,24,7,3,25.341,24.19,1.151,822,3901,-6.673,sample,20210331
b_march22,24,7,4,36.684,35.009,1.675,1824,8725,0.063,sample,20210331
b_march22,24,7,5,36.864,35.181,1.683,1824,8722,-0.028,sample,20210331
b_march22,24,8,1,37.051,35.364,1.687,1833,8741,0,sample,20210331
b_march22,24,8,2,37.104,35.415,1.689,1833,8740,-0.134,sample,20210331
b_march22,24,8,3,21.598,20.62,0.978,696,3294,-7.688,sample,20210331
b_march22,24,8,4,36.677,35.007,1.67,1826,8707,0.214,sample,20210331
b_march22,24,8,5,37.103,35.414,1.689,1834,8743,0.025,sample,20210331
d,18.25,1,1,37.169,35.468,1.701,1836,8799,0,sample,20210331
d,18.25,1,2,37.164,35.464,1.7,1835,8796,-0.068,sample,20210331
d,18.25,1,3,16.08,15.345,0.734,517,2467,-2.188,sample,20210331
d,18.25,1,4,36.628,34.952,1.676,1828,8764,-0.129,sample,20210331
d,18.25,1,5,37.028,35.334,1.694,1830,8772,-0.226,sample,20210331
d,18.25,2,1,37.01,35.316,1.693,1830,8768,0,sample,20210331
d,18.25,2,2,37.038,35.343,1.694,1830,8772,-0.053,sample,20210331
d,18.25,2,3,21.957,20.955,1.002,714,3405,-3.04,sample,20210331
d,18.25,2,4,36.592,34.918,1.674,1821,8728,-0.17,sample,20210331
d,18.25,2,5,36.939,35.249,1.69,1826,8750,-0.213,sample,20210331
d,18.25,3,1,37.01,35.315,1.696,1829,8778,0,sample,20210331
d,18.25,3,2,37.137,35.435,1.701,1832,8792,-0.067,sample,20210331
d,18.25,3,3,24.987,23.845,1.142,804,3842,-3.044,sample,20210331
d,18.25,3,4,36.519,34.847,1.672,1816,8711,-0.504,sample,20210331
d,18.25,3,5,36.904,35.214,1.69,1824,8750,-0.55,sample,20210331
d,25.5,1,1,37.073,35.377,1.696,1833,8786,0,sample,20210331
d,25.5,1,2,37.147,35.447,1.7,1836,8800,-0.023,sample,20210331
d,25.5,1,3,51.481,49.134,2.347,1575,7504,-4.148,sample,20210331
d,25.5,1,4,36.786,35.103,1.683,1826,8752,-0.171,sample,20210331
d,25.5,1,5,37.05,35.355,1.695,1834,8789,-0.213,sample,20210331
d,25.5,2,1,37.037,35.343,1.695,1832,8782,0,sample,20210331
d,25.5,2,2,37.157,35.457,1.7,1834,8789,-0.094,sample,20210331
d,25.5,2,3,56.225,53.663,2.563,1663,7924,-4.492,sample,20210331
d,25.5,2,4,36.611,34.936,1.675,1819,8719,-0.29,sample,20210331
d,25.5,2,5,36.905,35.216,1.688,1828,8761,-0.323,sample,20210331
d,25.5,3,1,37.001,35.311,1.689,1827,8738,0,sample,20210331
d,25.5,3,2,37.022,35.332,1.69,1829,8745,-0.103,sample,20210331
d,25.5,3,3,75.771,72.326,3.446,2453,11667,-4.475,sample,20210331
d,25.5,3,4,36.459,34.794,1.665,1811,8663,0.12,sample,20210331
d,25.5,3,5,36.685,35.011,1.675,1817,8690,-0.017,sample,20210331
AGS2,,,1,36.738,35.057,1.681,1816,8706,0,standard,20210331
AGS2,,,2,36.881,35.194,1.687,1819,8718,-0.064,standard,20210331
AGS2,,,3,32.125,30.654,1.471,1029,4929,1.158,standard,20210331
AGS2,,,4,36.418,34.752,1.666,1811,8678,-0.156,standard,20210331
AGS2,,,5,36.857,35.171,1.686,1823,8734,-0.214,standard,20210331
AGS2,,,1,36.865,35.178,1.687,1823,8741,0,standard,20210331
AGS2,,,2,36.915,35.226,1.689,1823,8739,-0.106,standard,20210331
AGS2,,,3,62.289,59.436,2.853,1941,9295,0.95,standard,20210331
AGS2,,,4,36.673,34.996,1.678,1822,8732,-0.221,standard,20210331
AGS2,,,5,36.938,35.249,1.69,1827,8756,-0.263,standard,20210331
AGS26,,,1,36.758,35.076,1.682,1820,8725,0,standard,20210331
AGS26,,,2,36.807,35.122,1.684,1816,8707,-0.038,standard,20210331
AGS26,,,3,44.109,42.049,2.06,1399,6840,23.468,standard,20210331
AGS26,,,4,36.446,34.778,1.668,1812,8687,-0.083,standard,20210331
