Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Date
blank,1,36.161,34.517,1.644,1806,8602,0,20210330
blank,2,36.453,34.796,1.657,1814,8637,-0.18,20210330
blank,3,1.655,1.579,0.076,47,224,8.189,20210330
blank,4,35.496,33.882,1.614,1788,8517,0.132,20210330
blank,5,36.261,34.612,1.649,1805,8596,0.167,20210330
blank,1,34.802,33.219,1.583,1758,8378,0,20210330
blank,2,35.531,33.915,1.617,1775,8459,0.049,20210330
blank,3,3.287,3.136,0.15,96,457,4.588,20210330
blank,4,34.651,33.074,1.577,1751,8348,0.296,20210330
blank,5,35.536,33.919,1.617,1772,8447,0.219,20210330
blank,1,33.73,32.195,1.535,1731,8253,0,20210330
blank,2,35.048,33.453,1.595,1754,8364,0.166,20210330
blank,3,1.619,1.545,0.074,49,234,3.305,20210330
blank,4,34.468,32.899,1.569,1745,8319,0.212,20210330
blank,5,35.441,33.828,1.613,1767,8426,0.156,20210330
blank,1,35.811,34.183,1.629,1795,8549,0,20210330
blank,2,36.198,34.552,1.646,1802,8585,-0.079,20210330
blank,3,2.212,2.111,0.101,66,315,9.318,20210330
blank,4,35.387,33.777,1.609,1780,8481,0.116,20210330
blank,5,36.021,34.383,1.638,1794,8548,0.06,20210330
blank,1,36.329,34.676,1.653,1812,8639,0,20210330
blank,2,36.588,34.923,1.665,1817,8660,-0.115,20210330
blank,3,1.941,1.852,0.089,60,285,5.494,20210330
blank,4,35.689,34.065,1.624,1797,8567,-0.029,20210330
blank,5,36.503,34.842,1.661,1815,8650,-0.082,20210330
blank,1,36.444,34.785,1.659,1816,8656,0,20210330
blank,2,36.732,35.061,1.672,1820,8676,-0.075,20210330
blank,3,2.086,1.99,0.096,64,306,12.007,20210330
blank,4,35.92,34.285,1.635,1810,8630,-0.02,20210330
blank,5,36.716,35.045,1.671,1826,8706,0.01,20210330
blank,1,36.078,34.436,1.642,1799,8576,0,20210330
blank,2,36.296,34.644,1.652,1803,8595,-0.142,20210330
blank,3,1.905,1.818,0.087,58,278,5.242,20210330
blank,4,35.403,33.792,1.611,1782,8495,-0.188,20210330
blank,5,36.166,34.52,1.646,1799,8574,-0.181,20210330
blank,1,36.092,34.449,1.643,1799,8578,0,20210330
blank,2,36.34,34.686,1.654,1805,8607,-0.066,20210330
blank,3,2.203,2.102,0.101,68,327,9.889,20210330
blank,4,35.545,33.927,1.618,1786,8516,-0.037,20210330
blank,5,36.189,34.541,1.647,1797,8567,-0.082,20210330
blank,1,36.864,35.185,1.68,1830,8730,0,20210331
blank,2,37.126,35.435,1.691,1834,8753,-0.06,20210331
blank,3,1.899,1.812,0.087,59,283,8.976,20210331
blank,4,36.227,34.576,1.651,1809,8637,0.261,20210331
blank,5,36.569,34.903,1.666,1813,8654,0.14,20210331
blank,1,36.199,34.55,1.649,1791,8542,0,20210331
blank,2,36.107,34.463,1.645,1785,8514,-0.115,20210331
blank,3,2.045,1.952,0.093,62,296,2.887,20210331
blank,4,35.552,33.932,1.62,1774,8466,0.475,20210331
blank,5,36.009,34.369,1.64,1781,8499,0.158,20210331
blank,1,36.986,35.292,1.694,1829,8778,0,20210331
blank,2,36.857,35.169,1.688,1822,8742,-0.025,20210331
blank,3,2.465,2.352,0.113,77,368,1.982,20210331
blank,4,36.261,34.601,1.66,1806,8665,-0.304,20210331
blank,5,36.694,35.014,1.68,1815,8709,-0.372,20210331
blank,1,37.091,35.394,1.697,1831,8775,0,20210331
blank,2,37.137,35.438,1.699,1835,8794,-0.113,20210331
blank,3,2.298,2.193,0.105,68,324,2.33,20210331
blank,4,36.353,34.689,1.663,1814,8697,-0.046,20210331
blank,5,36.814,35.129,1.684,1822,8731,-0.15,20210331
blank,1,36.329,34.667,1.662,1795,8602,0,20210331
blank,2,36.34,34.677,1.663,1798,8617,-0.054,20210331
blank,3,3.17,3.025,0.145,101,482,1.495,20210331
blank,4,35.675,34.042,1.632,1779,8529,-0.044,20210331
blank,5,36.117,34.465,1.652,1787,8563,-0.132,20210331
