Identifier,Peak_Nr,Ampl_64,Ampl_66,d34S
linearity,1,645,3077,-0.196
linearity,2,1793,8554,0
linearity,3,2476,11813,0.145
linearity,4,3345,15961,0.471
linearity,5,4064,19396,0.722
linearity,6,5575,26629,1.472
linearity,7,8039,38437,2.384
linearity,1,647,3088,-0.243
linearity,2,1790,8540,0
linearity,3,2469,11782,0.176
linearity,4,3339,15939,0.463
linearity,5,4052,19347,0.677
linearity,6,5565,26585,1.386
linearity,7,8021,38357,2.317
linearity,1,650,3109,-0.186
linearity,2,1799,8608,0
linearity,3,2480,11866,0.062
linearity,4,3353,16047,0.23
linearity,5,4062,19446,0.436
linearity,6,5566,26656,0.901
linearity,7,8047,38566,1.495
linearity,1,648,3101,-0.065
linearity,2,1790,8567,0
linearity,3,2469,11817,0.115
linearity,4,3343,16000,0.262
linearity,5,4055,19413,0.437
linearity,6,5565,26650,0.893
linearity,7,8037,38516,1.435
linearity,1,650,3103,-0.242
linearity,2,1795,8569,0
linearity,3,2472,11798,0.033
linearity,4,3342,15954,0.338
linearity,5,4055,19368,0.584
linearity,6,5556,26540,1.068
linearity,7,8040,38455,2.064
linearity,1,649,3098,-0.14
linearity,2,1797,8575,0
linearity,3,2480,11840,0.179
linearity,4,3361,16049,0.37
linearity,5,4077,19472,0.586
linearity,6,5599,26758,1.239
linearity,7,8075,38623,2.105
linearity,1,648,3094,0.012
linearity,2,1796,8574,0
linearity,3,2476,11818,0.109
linearity,4,3362,16053,0.457
linearity,5,4084,19504,0.663
linearity,6,5578,26654,1.202
linearity,7,8073,38615,2.17
linearity,1,654,3119,-0.111
linearity,2,1808,8626,0
linearity,3,2494,11903,0.175
linearity,4,3373,16104,0.42
linearity,5,4094,19550,0.668
linearity,6,5620,26855,1.26
linearity,7,8119,38833,2.216
linearity,1,656,3131,-0.154
linearity,2,1805,8614,0
linearity,3,2490,11887,0.159
linearity,4,3381,16139,0.397
linearity,5,4113,19640,0.626
linearity,6,5624,26871,1.227
linearity,7,8125,38853,2.139
linearity,1,664,3180,-0.139
linearity,2,1836,8789,0
linearity,3,2534,12134,0.042
linearity,4,3431,16431,0.211
linearity,5,4167,19956,0.427
linearity,6,5701,27315,0.835
linearity,7,8253,39566,1.362
linearity,1,664,3178,0.05
linearity,2,1819,8705,0
linearity,3,2499,11961,0.013
linearity,4,3375,16154,0.159
linearity,5,4090,19576,0.303
linearity,6,5595,26791,0.646
linearity,7,8097,38798,1.213
linearity,1,666,3187,0.144
linearity,2,1820,8710,0
linearity,3,2504,11982,-0.001
linearity,4,3381,16183,0.117
linearity,5,4115,19696,0.251
linearity,6,5605,26841,0.71
linearity,7,8092,38778,1.235
linearity,1,666,3193,0.217
linearity,2,1818,8718,0
linearity,3,2503,12002,-0.142
linearity,4,3387,16241,-0.077
linearity,5,4118,19750,0.044
linearity,6,5602,26865,0.252
linearity,7,8115,38942,0.581
linearity,1,667,3192,0.231
linearity,2,1821,8711,0
