Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound
a,0,1,0,1,57.6,28.897,1442,27.577,1.321,6906,0,sample,20221221,Sulfide
a,0,1,0,2,58.7,29.016,1443,27.69,1.326,6910,0.094,sample,20221221,Sulfide
a,0,1,0,3,166.1,66.163,2146,63.151,3.012,10226,-2.562,sample,20221221,Sulfide
a,0,1,0,4,58.5,29.008,1444,27.682,1.325,6914,-0.28,sample,20221221,Sulfide
a,0,1,0,5,60.3,29.139,1445,27.808,1.332,6920,-0.055,sample,20221221,Sulfide
a,0,1,0,1,54.4,28.777,1432,27.461,1.315,6859,0,sample,20221221,Sulfide
a,0,1,0,2,55.3,28.892,1434,27.571,1.321,6868,0.065,sample,20221221,Sulfide
a,0,1,0,3,152.7,60.341,2279,57.593,2.748,10866,-2.239,sample,20221221,Sulfide
a,0,1,0,4,54,28.525,1423,27.221,1.304,6817,-0.173,sample,20221221,Sulfide
a,0,1,0,5,56.4,28.824,1430,27.506,1.317,6849,-0.019,sample,20221221,Sulfide
a,28,1,3,1,53,33.301,1652,31.78,1.522,7908,0,sample,20221114,Sulfide
a,28,1,3,2,55.8,33.234,1644,31.716,1.519,7872,0.065,sample,20221114,Sulfide
a,28,1,3,3,128.6,16.438,471,15.687,0.751,2253,-2.155,sample,20221114,Sulfide
a,28,1,3,4,53.7,32.07,1596,30.605,1.465,7644,-0.056,sample,20221114,Sulfide
a,28,1,3,5,55,32.349,1601,30.871,1.478,7668,0.037,sample,20221114,Sulfide
a,28,1,3,1,56.3,30.423,1514,29.032,1.392,7257,0,sample,20221221,Sulfide
a,28,1,3,2,56.2,30.597,1519,29.197,1.4,7284,0.098,sample,20221221,Sulfide
a,28,1,3,3,116.4,22.924,817,21.876,1.048,3911,-1.973,sample,20221221,Sulfide
a,28,1,3,4,55.6,30.356,1516,28.968,1.388,7268,-2.19,sample,20221221,Sulfide
a,28,1,3,5,56.3,30.707,1521,29.302,1.405,7294,0.065,sample,20221221,Sulfide
a,43.5,1,4,1,54.4,32.08,1593,30.614,1.466,7626,0,sample,20221114,Sulfide
a,43.5,1,4,2,55.3,32.21,1594,30.738,1.472,7632,0.055,sample,20221114,Sulfide
a,43.5,1,4,3,122.5,17.07,557,16.292,0.778,2659,-2.402,sample,20221114,Sulfide
a,43.5,1,4,4,53.7,31.746,1580,30.296,1.45,7563,-0.111,sample,20221114,Sulfide
a,43.5,1,4,5,55.2,32.071,1589,30.605,1.465,7606,0.026,sample,20221114,Sulfide
a,70.5,1,5,1,53.7,32.483,1613,30.998,1.484,7723,0,sample,20221114,Sulfide
a,70.5,1,5,2,55.2,32.635,1616,31.144,1.491,7739,0.037,sample,20221114,Sulfide
a,70.5,1,5,3,119.3,14.833,475,14.158,0.675,2263,-4.039,sample,20221114,Sulfide
a,70.5,1,5,4,54.2,32.381,1615,30.902,1.479,7732,-0.105,sample,20221114,Sulfide
a,70.5,1,5,5,56,32.75,1620,31.254,1.496,7756,-0.033,sample,20221114,Sulfide
a,70.5,1,5,1,55.5,30.756,1533,29.35,1.406,7344,0,sample,20221221,Sulfide
a,70.5,1,5,2,57,30.963,1538,29.547,1.416,7368,0.119,sample,20221221,Sulfide
a,70.5,1,5,3,106.6,16.35,552,15.606,0.744,2632,-5.06,sample,20221221,Sulfide
a,70.5,1,5,4,55.2,30.626,1529,29.227,1.4,7324,-0.211,sample,20221221,Sulfide
a,70.5,1,5,5,56.7,30.931,1535,29.517,1.414,7354,-0.032,sample,20221221,Sulfide
aa,0,1,0,1,52.7,28.982,1442,27.656,1.326,6913,0,sample,20221221,Sulfide
aa,0,1,0,2,56.5,29.052,1445,27.723,1.329,6926,0.112,sample,20221221,Sulfide
aa,0,1,0,3,130.3,46.91,1742,44.772,2.138,8315,-2.348,sample,20221221,Sulfide
aa,0,1,0,4,54.1,28.825,1436,27.506,1.318,6885,-0.185,sample,20221221,Sulfide
aa,0,1,0,5,53.8,29.047,1440,27.718,1.329,6902,0.015,sample,20221221,Sulfide
aa,28,1,3,1,54.8,27.633,1373,26.369,1.264,6579,0,sample,20221221,Sulfide
aa,28,1,3,2,54.8,27.702,1376,26.435,1.267,6593,0.099,sample,20221221,Sulfide
aa,28,1,3,3,105.3,28.754,1062,27.439,1.315,5087,0.033,sample,20221221,Sulfide
aa,28,1,3,4,53.3,27.55,1375,26.29,1.26,6588,0.251,sample,20221221,Sulfide
