Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound
SW,,,,1,55,28.712,1427,27.4,1.312,6831,0,standard,20221114,
SW,,,,2,53.1,28.865,1431,27.546,1.319,6850,0.035,standard,20221114,
SW,,,,3,149.6,31.078,965,29.634,1.444,4696,19.326,standard,20221114,
SW,,,,4,53.7,28.581,1421,27.275,1.305,6800,-0.227,standard,20221114,
SW,,,,5,53.1,28.712,1423,27.4,1.312,6812,-0.111,standard,20221114,
SW,,,,1,53.5,28.571,1418,27.265,1.306,6791,0,standard,20221114,
SW,,,,2,55,28.731,1423,27.418,1.313,6814,0.035,standard,20221114,
SW,,,,3,142.7,29.708,911,28.327,1.381,4434,19.353,standard,20221114,
SW,,,,4,53.8,28.776,1431,27.461,1.315,6853,-0.106,standard,20221114,
SW,,,,5,52.7,28.973,1435,27.649,1.324,6870,-0.042,standard,20221114,
SID-9,,,,1,53.1,28.941,1437,27.619,1.322,6880,0,standard,20221114,
SID-9,,,,2,53.2,29.065,1442,27.737,1.328,6903,0.011,standard,20221114,
SID-9,,,,3,180.1,122.167,3915,116.627,5.539,18578,-8.552,standard,20221114,
SID-9,,,,4,56.2,29.055,1437,27.728,1.327,6879,-0.03,standard,20221114,
SID-9,,,,5,54,29.074,1439,27.745,1.328,6887,0.129,standard,20221114,
SID-9,,,,1,54,28.785,1430,27.47,1.315,6844,0,standard,20221114,
SID-9,,,,2,54.8,28.872,1430,27.552,1.319,6846,0.048,standard,20221114,
SID-9,,,,3,120.1,21.197,748,20.236,0.961,3549,-8.378,standard,20221114,
SID-9,,,,4,52.3,28.415,1415,27.117,1.298,6774,-0.296,standard,20221114,
SID-9,,,,5,55,28.683,1420,27.373,1.31,6799,-0.187,standard,20221114,
full,387.5,2,16,1,52.8,28.4,1410,27.103,1.298,6751,0,sample,20221114,Sulfate
full,387.5,2,16,2,53.6,28.49,1412,27.188,1.302,6761,0.013,sample,20221114,Sulfate
full,387.5,2,16,3,141.3,43.78,1453,41.784,1.996,6934,-2.575,sample,20221114,Sulfate
full,387.5,2,16,4,54.4,28.4,1412,27.103,1.297,6759,-0.183,sample,20221114,Sulfate
full,387.5,2,16,5,53.5,28.571,1416,27.266,1.305,6781,-0.11,sample,20221114,Sulfate
aaa,387.5,1,16,1,53.4,28.392,1413,27.096,1.296,6759,0,sample,20221114,Sulfate
aaa,387.5,1,16,2,53.1,28.484,1414,27.183,1.301,6767,0.08,sample,20221114,Sulfate
aaa,387.5,1,16,3,173,38.229,1101,36.487,1.742,5253,-2.471,sample,20221114,Sulfate
aaa,387.5,1,16,4,52.7,28.599,1425,27.293,1.306,6815,-0.265,sample,20221114,Sulfate
aaa,387.5,1,16,5,54.5,28.889,1431,27.571,1.319,6847,-0.138,sample,20221114,Sulfate
a,529,1,20,1,53.5,28.755,1429,27.442,1.313,6841,0,sample,20221114,Sulfate
a,529,1,20,2,53.1,28.885,1435,27.565,1.319,6867,0.028,sample,20221114,Sulfate
a,529,1,20,3,162.1,31.954,977,30.498,1.456,4662,-2.453,sample,20221114,Sulfate
a,529,1,20,4,52.5,29.281,1461,27.944,1.337,6991,-0.187,sample,20221114,Sulfate
a,529,1,20,5,55.5,29.469,1459,28.123,1.346,6985,-0.005,sample,20221114,Sulfate
SW,,,,1,53.6,29.19,1453,27.857,1.333,6952,0,standard,20221114,
SW,,,,2,54.5,29.351,1454,28.01,1.34,6960,0.029,standard,20221114,
SW,,,,3,152.5,29.767,919,28.386,1.381,4469,18.523,standard,20221114,
SW,,,,4,53.3,28.931,1440,27.61,1.321,6888,-0.081,standard,20221114,
SW,,,,5,54.8,29.133,1443,27.803,1.33,6906,0.005,standard,20221114,
SW,,,,1,53.5,29.08,1445,27.752,1.328,6916,0,standard,20221114,
SW,,,,2,54.4,29.106,1442,27.777,1.329,6902,0.068,standard,20221114,
SW,,,,3,172.6,32.609,1007,31.095,1.514,4899,19.322,standard,20221114,
SW,,,,4,54.6,28.645,1423,27.337,1.308,6808,-0.137,standard,20221114,
SW,,,,5,53.1,28.776,1426,27.462,1.314,6822,-0.117,standard,20221114,
SID-9,,,,1,53.8,28.621,1423,27.314,1.308,6812,0,standard,20221114,
SID-9,,,,2,53.9,28.746,1425,27.433,1.313,6821,-0.007,standard,20221114,
SID-9,,,,3,170.1,63.421,2077,60.545,2.876,9859,-8.313,standard,20221114,
SID-9,,,,4,53.8,28.526,1417,27.223,1.303,6782,-0.219,standard,20221114,
SID-9,,,,5,53,28.662,1420,27.352,1.309,6796,-0.114,standard,20221114,
SID-9,,,,1,53.4,28.631,1423,27.324,1.308,6812,0,standard,20221114,
