Identifier,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Date
blank,1,55.2,29.765,1476,28.404,1.361,7072,0,20221114
blank,2,53.4,29.79,1474,28.428,1.362,7065,-0.057,20221114
blank,3,79.5,3.29,107,3.139,0.151,515,2.001,20221114
blank,4,51.6,29.227,1458,27.891,1.336,6983,-0.374,20221114
blank,5,53,29.429,1460,28.083,1.345,6995,-0.271,20221114
blank,1,52.1,29.285,1457,27.946,1.339,6979,0,20221114
blank,2,51.9,29.306,1453,27.967,1.34,6959,0.049,20221114
blank,3,82.5,4.234,143,4.04,0.194,685,3.625,20221114
blank,4,52.7,28.617,1431,27.309,1.308,6852,-0.223,20221114
blank,5,53,28.962,1436,27.638,1.324,6880,-0.117,20221114
blank,1,53.5,29.188,1449,27.854,1.333,6938,0,20221114
blank,2,53.9,29.247,1449,27.911,1.336,6937,0.044,20221114
blank,3,80.1,2.722,90,2.598,0.124,431,-2.431,20221114
blank,4,53.7,29.083,1471,27.755,1.328,7042,-0.162,20221114
blank,5,53.7,29.418,1457,28.074,1.344,6976,-0.003,20221114
blank,1,54.7,31.94,1584,30.482,1.459,7581,0,20221114
blank,2,56.1,32.001,1584,30.54,1.461,7579,0.011,20221114
blank,3,78.6,3.675,141,3.508,0.167,670,-5.38,20221114
blank,4,53.8,31.833,1589,30.38,1.453,7604,-0.372,20221114
blank,5,54.9,32.264,1597,30.791,1.473,7641,-0.245,20221114
blank,1,55.6,33.996,1686,32.442,1.554,8075,0,20221114
blank,2,56.2,34.092,1688,32.534,1.558,8085,-0.016,20221114
blank,3,82.1,3.687,131,3.516,0.171,636,15.437,20221114
blank,4,54.3,34.052,1700,32.496,1.556,8139,-0.159,20221114
blank,5,56.7,34.474,1707,32.898,1.575,8173,-0.08,20221114
blank,1,51.6,31.243,1554,29.816,1.427,7440,0,20221114
blank,2,55.5,31.431,1556,29.995,1.436,7451,0.026,20221114
blank,3,72.8,2.096,71,2,0.096,341,1.299,20221114
blank,4,52.2,30.807,1542,29.4,1.407,7379,-0.232,20221114
blank,5,55.3,31.266,1550,29.837,1.428,7420,-0.128,20221114
blank,1,53.8,30.17,1499,28.793,1.378,7174,0,20221114
blank,2,54,30.285,1502,28.902,1.383,7185,0.024,20221114
blank,3,77.8,2.746,99,2.62,0.125,475,0.996,20221114
blank,4,52.6,29.77,1489,28.411,1.359,7125,-0.248,20221114
blank,5,55.8,30.221,1498,28.842,1.38,7169,-0.114,20221114
blank,1,60.1,29.196,1471,27.863,1.333,7041,0,20221221
blank,2,61.8,29.566,1476,28.216,1.35,7064,0.13,20221221
blank,3,86.6,1.703,48,1.626,0.077,227,-4.557,20221221
blank,4,180,4.805,39,4.584,0.221,189,6.971,20221221
blank,5,59.2,29.436,1475,28.092,1.344,7060,-0.195,20221221
blank,6,59.7,29.798,1484,28.437,1.361,7101,0.089,20221221
blank,1,60.4,29.226,1469,27.89,1.335,7033,0,20221221
blank,2,59.6,29.607,1480,28.254,1.353,7087,0.117,20221221
blank,3,54.6,1.057,35,1.009,0.048,165,-0.333,20221221
blank,4,180,2.984,24,2.846,0.137,116,6.753,20221221
blank,5,60.5,29.545,1486,28.196,1.35,7115,-0.232,20221221
blank,6,60.5,30.087,1498,28.712,1.375,7175,0.14,20221221
blank,1,58.5,29.708,1493,28.351,1.357,7148,0,20221221
blank,2,60.1,30.004,1498,28.633,1.371,7170,0.237,20221221
blank,3,55.6,0.996,32,0.951,0.046,155,-0.038,20221221
blank,4,59.9,28.717,1451,27.406,1.311,6946,-0.401,20221221
blank,5,61.7,29.406,1465,28.063,1.343,7015,-0.057,20221221
blank,1,55.6,28.147,1403,26.86,1.287,6724,0,20221221
blank,2,55.3,28.284,1407,26.991,1.293,6741,0.056,20221221
blank,3,81,2.917,92,2.784,0.133,441,-4.244,20221221
blank,4,54,26.731,1343,25.509,1.222,6436,-0.328,20221221
blank,5,57.4,27.284,1358,26.036,1.248,6506,-0.067,20221221
blank,1,54.7,28.669,1430,27.358,1.311,6852,0,20221221
blank,2,57.7,28.95,1438,27.626,1.324,6892,0.1,20221221
blank,3,83.6,4.056,149,3.871,0.184,711,-6.64,20221221
blank,4,56,28.805,1446,27.488,1.317,6928,-0.335,20221221
blank,5,57.7,29.353,1459,28.011,1.342,6990,0.009,20221221
blank,1,54.8,29.125,1452,27.792,1.333,6962,0,20221221
blank,2,56.3,29.299,1453,27.959,1.341,6968,0.037,20221221
blank,3,66.1,2.877,113,2.745,0.132,539,-0.672,20221221
blank,4,54.8,28.87,1444,27.549,1.321,6922,-0.238,20221221
blank,5,55.7,29.216,1451,27.879,1.337,6956,-0.066,20221221
blank,1,56,28.994,1444,27.669,1.326,6918,0,20221221
blank,2,54.5,29.059,1443,27.73,1.329,6915,0.163,20221221
blank,3,70.1,2.577,100,2.46,0.118,478,-1.413,20221221
blank,4,54.2,28.407,1423,27.108,1.299,6819,-0.155,20221221
blank,5,55.2,28.772,1431,27.456,1.316,6855,0.038,20221221
blank,1,55.4,27.814,1386,26.543,1.271,6637,0,20221221
blank,2,56.3,27.935,1388,26.658,1.277,6651,0.047,20221221
blank,3,110.7,14.568,489,13.903,0.666,2338,-0.703,20221221
blank,4,55.1,27.349,1368,26.099,1.25,6554,-0.233,20221221
blank,5,52.8,27.737,1377,26.469,1.268,6596,0.011,20221221
