Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
SW,,,1,33.118,31.599,1.518,1650,7927,0,standard
SW,,,2,33.251,31.727,1.524,1653,7942,-0.005,standard
SW,,,3,36.826,35.11,1.716,1082,5280,19.092,standard
SW,,,4,32.942,31.432,1.51,1649,7923,-0.176,standard
SW,,,5,33.377,31.847,1.53,1658,7963,-0.065,standard
b,61.5,5,1,33,31.489,1.512,1646,7900,0,sample
b,61.5,5,2,33.223,31.701,1.522,1654,7938,-0.099,sample
b,61.5,5,3,30.804,29.389,1.415,949,4535,3.123,sample
b,61.5,5,4,32.887,31.381,1.506,1647,7907,-0.336,sample
b,61.5,5,5,33.309,31.783,1.526,1655,7943,-0.129,sample
AGS2,,,1,32.664,31.168,1.496,1633,7838,0,standard
AGS2,,,2,32.944,31.435,1.509,1638,7859,0.013,standard
AGS2,,,3,42.04,40.112,1.928,1260,6046,1.625,standard
AGS2,,,4,32.594,31.102,1.493,1634,7843,-0.184,standard
AGS2,,,5,33.203,31.682,1.521,1646,7899,-0.055,standard
AGS2,,,1,32.847,31.343,1.504,1637,7858,0,standard
AGS2,,,2,33.006,31.494,1.512,1642,7881,-0.02,standard
AGS2,,,3,58.231,55.559,2.672,1748,8385,1.997,standard
AGS2,,,4,32.497,31.009,1.488,1625,7801,-0.09,standard
AGS2,,,5,32.926,31.418,1.508,1633,7840,0.066,standard
SW,,,1,32.546,31.056,1.491,1624,7793,0,standard
SW,,,2,32.745,31.245,1.5,1626,7806,-0.072,standard
SW,,,3,49.543,47.234,2.31,1439,7017,20.4,standard
SW,,,4,32.323,30.842,1.48,1617,7761,-0.051,standard
SW,,,5,32.739,31.239,1.5,1627,7809,0.038,standard
d,76,1,1,31.941,30.478,1.463,1603,7696,0,sample
d,76,1,2,32.248,30.771,1.477,1607,7716,-0.044,sample
d,76,1,3,28.908,27.586,1.323,903,4312,-1.216,sample
d,76,1,4,32.047,30.58,1.468,1611,7732,-0.199,sample
d,76,1,5,32.604,31.111,1.493,1622,7786,-0.045,sample
b,163.5,8,1,32.244,30.767,1.477,1609,7721,0,sample
b,163.5,8,2,32.416,30.932,1.485,1614,7748,0.001,sample
b,163.5,8,3,55,52.486,2.514,1674,7999,-2.399,sample
b,163.5,8,4,32.141,30.669,1.472,1611,7733,-0.179,sample
b,163.5,8,5,32.621,31.127,1.494,1618,7767,0.028,sample
b,397.5,6,1,32.225,30.748,1.477,1607,7720,0,sample
b,397.5,6,2,32.436,30.949,1.487,1613,7748,-0.03,sample
b,397.5,6,3,22.477,21.448,1.029,710,3392,-1.47,sample
b,397.5,6,4,32.111,30.639,1.471,1613,7748,-0.255,sample
b,397.5,6,5,32.734,31.234,1.5,1625,7802,-0.056,sample
AGS2,,,1,32.195,30.72,1.475,1608,7721,0,standard
AGS2,,,2,32.428,30.943,1.485,1614,7750,-0.013,standard
AGS2,,,3,50.504,48.187,2.317,1533,7355,1.686,standard
AGS2,,,4,32.629,31.135,1.495,1634,7846,-0.138,standard
AGS2,,,5,33.225,31.703,1.522,1647,7904,0.001,standard
b,69,7,1,33.6,32.06,1.539,1676,8046,0,sample
b,69,7,2,33.747,32.201,1.546,1676,8046,0.031,sample
b,69,7,3,29.659,28.301,1.357,927,4429,-1.046,sample
b,69,7,4,33.546,32.009,1.537,1681,8069,-0.166,sample
b,69,7,5,34.004,32.446,1.558,1687,8099,-0.017,sample
d,188,2,1,33.896,32.342,1.554,1691,8122,0,sample
d,188,2,2,34.159,32.593,1.566,1700,8166,0.001,sample
d,188,2,3,39.323,37.523,1.799,1212,5795,-2.102,sample
d,188,2,4,34.012,32.453,1.559,1702,8176,-0.217,sample
d,188,2,5,34.527,32.945,1.583,1713,8229,-0.024,sample
d,188,3,1,34.402,32.826,1.576,1708,8199,0,sample
d,188,3,2,34.486,32.906,1.58,1711,8217,-0.02,sample
