ID,Replicate,Timepoint,Time_h,well,Compound,Conc_uM
a,1,0,0,1,Sulfide,3.74520142
a,1,0,0,2,Sulfide,3.789050037
a,1,0,0,3,Sulfide,3.156560682
a,1,1,7,1,Sulfide,3.519537649
a,1,3,28,1,Sulfide,1.625472324
a,1,3,28,2,Sulfide,1.238703206
a,1,4,43.5,1,Sulfate,15.78671194
a,1,4,43.5,1,Sulfide,1.077859794
a,1,4,43.5,2,Sulfide,1.234568342
a,1,5,70.5,1,Sulfate,0
a,1,5,70.5,1,Sulfide,0.302693604
a,1,5,70.5,2,Sulfide,0.290957515
a,1,6,91,1,Sulfate,264.9550065
a,1,6,91,1,Sulfide,0.054339087
a,1,6,91,2,Sulfide,0.057200066
a,1,7,101.5,1,Sulfate,422.0650933
a,1,8,121.5,1,Sulfate,765.0608538
a,1,9,144.5,1,Sulfate,885.123926
a,1,12,210.5,1,Sulfate,1255.057978
a,1,14,309,1,Sulfate,1316.990508
a,1,16,387.5,1,Sulfate,1381.728338
a,1,20,529,1,Sulfate,1406.598064
a,2,0,0,1,Sulfide,3.616583831
a,2,0,0,2,Sulfide,3.863230626
a,2,0,0,3,Sulfide,4.110022901
a,2,5,70.5,1,Sulfate,227.677684
a,2,5,70.5,2,Sulfide,0.045718266
a,2,5,70.5,3,Sulfide,0.054339087
a,2,6,91,1,Sulfate,724.0892425
a,2,7,101.5,1,Sulfate,905.8413064
a,2,8,121.5,1,Sulfate,1288.036929
a,2,9,144.5,1,Sulfate,1595.357815
a,2,12,210.5,1,Sulfate,1199.118715
a,2,14,309,1,Sulfate,2192.901642
a,2,16,387.5,1,Sulfate,2216.248494
a,2,20,529,1,Sulfate,2235.606425
aa,1,0,0,1,Sulfide,3.96174413
aa,1,0,0,2,Sulfide,4.070502176
aa,1,0,0,3,Sulfide,4.182069934
aa,1,1,7,1,Sulfide,2.522737389
aa,1,3,28,1,Sulfide,1.879574323
aa,1,3,28,2,Sulfide,1.812510674
aa,1,4,43.5,1,Sulfate,0
