absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group
0.567,standard,2.5,,1,1,,d
0.747,standard,2.5,,2,1,,d
0.857,standard,2.5,,3,1,,d
0.561,standard,1.7,,1,1,,d
0.625,standard,1.7,,2,1,,d
0.608,standard,1.7,,3,1,,d
0.319,standard,1,,1,1,,d
0.35,standard,1,,2,1,,d
0.382,standard,1,,3,1,,d
0.214,standard,0.5,,1,1,,d
0.202,standard,0.5,,2,1,,d
0.207,standard,0.5,,3,1,,d
0.112,standard,0.25,,1,1,,d
0.11,standard,0.25,,2,1,,d
0.103,standard,0.25,,3,1,,d
0.058,standard,0.1,,1,1,,d
0.059,standard,0.1,,2,1,,d
0.057,standard,0.1,,3,1,,d
0.038,standard,0.05,,1,1,,d
0.039,standard,0.05,,2,1,,d
0.037,standard,0.05,,3,1,,d
0.451,sample,,d,1,1,1,d
0.478,sample,,d,2,1,1,d
0.448,sample,,d,3,1,1,d
0.471,sample,,d,1,2,1,d
0.489,sample,,d,2,2,1,d
0.464,sample,,d,3,2,1,d
0.422,sample,,d,1,3,1,d
0.423,sample,,d,2,3,1,d
0.458,sample,,d,3,3,1,d
0.348,sample,,d,1,1,2,d
0.318,sample,,d,2,1,2,d
0.338,sample,,d,3,1,2,d
0.293,sample,,d,1,2,2,d
0.392,sample,,d,2,2,2,d
0.357,sample,,d,3,2,2,d
0.418,sample,,d,1,3,2,d
0.382,sample,,d,2,3,2,d
0.383,sample,,d,3,3,2,d
0.257,sample,,d,1,1,3,d
0.29,sample,,d,2,1,3,d
0.283,sample,,d,3,1,3,d
0.269,sample,,d,1,2,3,d
0.234,sample,,d,2,2,3,d
0.306,sample,,d,3,2,3,d
0.388,sample,,d,1,3,3,d
0.379,sample,,d,2,3,3,d
0.393,sample,,d,3,3,3,d
0.215,sample,,d,1,1,4,d
0.197,sample,,d,2,1,4,d
0.214,sample,,d,3,1,4,d
0.232,sample,,d,1,2,4,d
0.261,sample,,d,2,2,4,d
0.233,sample,,d,3,2,4,d
0.31,sample,,d,1,3,4,d
0.28,sample,,d,2,3,4,d
0.316,sample,,d,3,3,4,d
0.126,sample,,d,1,1,5,d
0.119,sample,,d,2,1,5,d
0.117,sample,,d,3,1,5,d
0.127,sample,,d,1,2,5,d
0.155,sample,,d,2,2,5,d
0.128,sample,,d,3,2,5,d
0.234,sample,,d,1,3,5,d
0.2,sample,,d,2,3,5,d
0.21,sample,,d,3,3,5,d
0.084,sample,,d,1,3,6,d
0.085,sample,,d,2,3,6,d
0.085,sample,,d,3,3,6,d
0.602,sample,,b,1,2,0,b
0.635,sample,,b,2,2,0,b
0.622,sample,,b,3,2,0,b
0.742,sample,,b,1,1,0,b
0.764,sample,,b,2,1,0,b
0.714,sample,,b,3,1,0,b
0.669,sample,,b_march15,1,1,1,b
0.657,sample,,b_march15,2,1,1,b
0.684,sample,,b_march15,3,1,1,b
0.651,sample,,b_march15,1,2,1,b
0.657,sample,,b_march15,2,2,1,b
0.626,sample,,b_march15,3,2,1,b
0.636,sample,,b_march15,1,3,1,b
0.648,sample,,b_march15,2,3,1,b
0.651,sample,,b_march15,3,3,1,b
0.622,sample,,b_march15,1,1,2,b
0.652,sample,,b_march15,2,1,2,b
0.742,sample,,b_march15,3,1,2,b
0.668,sample,,b_march15,1,2,2,b
0.699,sample,,b_march15,2,2,2,b
0.768,sample,,b_march15,3,2,2,b
