absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group
0.567,standard,2.5,,1,1,,d
0.747,standard,2.5,,2,1,,d
0.857,standard,2.5,,3,1,,d
0.561,standard,1.7,,1,1,,d
0.625,standard,1.7,,2,1,,d
0.608,standard,1.7,,3,1,,d
0.319,standard,1,,1,1,,d
0.35,standard,1,,2,1,,d
0.382,standard,1,,3,1,,d
0.214,standard,0.5,,1,1,,d
0.202,standard,0.5,,2,1,,d
0.207,standard,0.5,,3,1,,d
0.112,standard,0.25,,1,1,,d
0.11,standard,0.25,,2,1,,d
0.103,standard,0.25,,3,1,,d
0.058,standard,0.1,,1,1,,d
0.059,standard,0.1,,2,1,,d
0.057,standard,0.1,,3,1,,d
0.038,standard,0.05,,1,1,,d
0.039,standard,0.05,,2,1,,d
0.037,standard,0.05,,3,1,,d
0.451,sample,,d,1,1,18.25,d
0.478,sample,,d,2,1,18.25,d
0.448,sample,,d,3,1,18.25,d
0.471,sample,,d,1,2,18.25,d
0.489,sample,,d,2,2,18.25,d
0.464,sample,,d,3,2,18.25,d
0.422,sample,,d,1,3,18.25,d
0.423,sample,,d,2,3,18.25,d
0.458,sample,,d,3,3,18.25,d
0.257,sample,,d,1,1,25.5,d
0.29,sample,,d,2,1,25.5,d
0.283,sample,,d,3,1,25.5,d
0.269,sample,,d,1,2,25.5,d
0.234,sample,,d,2,2,25.5,d
0.306,sample,,d,3,2,25.5,d
0.388,sample,,d,1,3,25.5,d
0.379,sample,,d,2,3,25.5,d
0.393,sample,,d,3,3,25.5,d
0.215,sample,,d,1,1,31.5,d
0.197,sample,,d,2,1,31.5,d
0.214,sample,,d,3,1,31.5,d
0.232,sample,,d,1,2,31.5,d
0.261,sample,,d,2,2,31.5,d
0.233,sample,,d,3,2,31.5,d
0.31,sample,,d,1,3,31.5,d
0.28,sample,,d,2,3,31.5,d
0.316,sample,,d,3,3,31.5,d
0.126,sample,,d,1,1,40.5,d
0.119,sample,,d,2,1,40.5,d
0.117,sample,,d,3,1,40.5,d
0.127,sample,,d,1,2,40.5,d
0.155,sample,,d,2,2,40.5,d
0.128,sample,,d,3,2,40.5,d
0.234,sample,,d,1,3,40.5,d
0.2,sample,,d,2,3,40.5,d
0.21,sample,,d,3,3,40.5,d
0.084,sample,,d,1,3,51.5,d
0.085,sample,,d,2,3,51.5,d
0.085,sample,,d,3,3,51.5,d
0.742,sample,,b_march22,1,7,0,b
0.764,sample,,b_march22,2,7,0,b
0.714,sample,,b_march22,3,7,0,b
0.071,sample,,d,1,1,35,d
0.078,sample,,d,2,1,35,d
0.076,sample,,d,3,1,35,d
0.113,sample,,d,1,2,35,d
0.116,sample,,d,2,2,35,d
0.114,sample,,d,3,2,35,d
0.098,sample,,d,1,3,35,d
0.084,sample,,d,2,3,35,d
0.087,sample,,d,3,3,35,d
0.301,sample,,b_march22,1,7,17.5,b
0.288,sample,,b_march22,2,7,17.5,b
0.32,sample,,b_march22,3,7,17.5,b
0.29,sample,,b_march22,1,8,17.5,b
0.284,sample,,b_march22,2,8,17.5,b
0.307,sample,,b_march22,3,8,17.5,b
0.212,sample,,b_march22,1,9,17.5,b
0.267,sample,,b_march22,2,9,17.5,b
0.259,sample,,b_march22,3,9,17.5,b
0.164,sample,,b_march22,1,7,21.25,b
0.16,sample,,b_march22,2,7,21.25,b
0.149,sample,,b_march22,3,7,21.25,b
0.149,sample,,b_march22,1,8,21.25,b
