cell,absorbance,type,hyp_conc,treatment,replicate,time_h
A1,1.068,standard,2.08,,,
A2,1.137,standard,2.08,,,
A3,1.098,standard,2.08,,,
A4,0.746,standard,1.38,,,
A5,0.728,standard,1.38,,,
A6,0.673,standard,1.38,,,
A7,0.501,standard,0.92,,,
A8,0.506,standard,0.92,,,
A9,0.494,standard,0.92,,,
A10,0.305,standard,0.61,,,
A11,0.295,standard,0.61,,,
A12,0.542,standard,0.61,,,
B1,0.171,standard,0.41,,,
B2,0.152,standard,0.41,,,
B3,0.146,standard,0.41,,,
B4,0.107,standard,0.27,,,
B5,0.103,standard,0.27,,,
B6,0.11,standard,0.27,,,
B7,0.05,standard,0.18,,,
B8,0.052,standard,0.18,,,
B9,0.051,standard,0.18,,,
B10,0.051,standard,0.12,,,
B11,0.052,standard,0.12,,,
B12,0.047,standard,0.12,,,
C1,0.046,standard,0.08,,,
C2,0.042,standard,0.08,,,
C3,0.04,standard,0.08,,,
C4,0.037,standard,0,,,
C5,0.035,standard,0,,,
C6,0.032,standard,0,,,
C7,0.641,sample,,a,1,10
C8,0.706,sample,,a,2,10
C9,0.587,sample,,a,3,10
C10,0.04,sample,,a,1,20
C11,0.037,sample,,a,2,20
C12,0.036,sample,,a,3,20
D1,0.578,sample,,a,1,30
D2,0.572,sample,,a,2,30
D3,0.6,sample,,a,3,30
D4,0.188,sample,,a,1,40
D5,0.144,sample,,a,2,40
D6,0.102,sample,,a,3,40
D7,0.04,sample,,a,1,50
D8,0.036,sample,,a,2,50
D9,0.034,sample,,a,3,50
D10,0.04,sample,,a,1,60
D11,0.036,sample,,a,2,60
D12,0.036,sample,,a,3,60
E1,0.645,sample,,a,1,70
E2,0.04,sample,,a,2,70
E3,0.455,sample,,a,3,70
E4,0.633,sample,,b,1,10
E5,0.703,sample,,b,2,10
E6,0.684,sample,,b,3,10
E7,0.123,sample,,b,1,20
E8,0.126,sample,,b,2,20
E9,0.111,sample,,b,3,20
E10,0.537,sample,,b,1,30
E11,0.036,sample,,b,2,30
E12,0.436,sample,,b,3,30
F1,0.614,sample,,b,1,40
F2,0.65,sample,,b,2,40
F3,0.68,sample,,b,3,40
F4,0.034,sample,,b,1,50
F5,0.036,sample,,b,2,50
F6,0.033,sample,,b,3,50
F7,0.036,sample,,b,1,60
F8,0.038,sample,,b,2,60
F9,0.036,sample,,b,3,60
F10,0.158,sample,,b,1,70
F11,0.147,sample,,b,2,70
F12,0.125,sample,,b,3,70
G1,0.035,sample,,c,1,10
G2,0.037,sample,,c,2,10
G3,0.034,sample,,c,3,10
G4,0.035,sample,,c,1,20
G5,0.037,sample,,c,2,20
G6,0.037,sample,,c,3,20
G7,0.573,sample,,c,1,30
G8,0.626,sample,,c,2,30
G9,0.577,sample,,c,3,30
G10,0.042,sample,,c,1,40
G11,0.042,sample,,c,2,40
G12,0.041,sample,,c,3,40
H1,0.049,sample,,c,1,50
H2,0.047,sample,,c,2,50
H3,0.047,sample,,c,3,50
H4,0.65,sample,,c,1,60
H5,0.663,sample,,c,2,60
H6,0.657,sample,,c,3,60
H7,0.034,sample,,c,1,70
H8,0.035,sample,,c,2,70
H9,0.032,sample,,c,3,70
H10,0.037,sample,,c,1,80
H11,0.038,sample,,c,2,80
H12,0.036,sample,,c,3,80
