Treatment,Replicate,Time point,Time_h,A669 (Chl),Bchl c (ug/ml),Calculated_cells_ml_chl,Sulfide_mM,Sulfate_mM,Date,,,Growth rate 26-0,,,
a,1,0,0,,0.01,3.88E+05,4.1427,,20210324,,,,,,
a,1,0,0,,0.01,3.88E+05,4.114116,,20210324,,,,,,
a,1,0,0,,0.01,3.88E+05,3.771108,,20210324,,,,,,
a,2,0,0,,0.01,3.88E+05,4.1427,,20210324,,,,,,
a,2,0,0,,0.01,3.88E+05,4.114116,,20210324,,,,,,
a,2,0,0,,0.01,3.88E+05,3.771108,,20210324,,,,,,
a,3,0,0,,0.01,3.88E+05,4.1427,,20210324,,,,,,
a,3,0,0,,0.01,3.88E+05,4.114116,,20210324,,,,,,
a,3,0,0,,0.01,3.88E+05,3.771108,,20210324,,,,,,
a,1,3*,14,0.0187,0.21744186,8.69E+06,,,,,,,,,
a,1,3,14,0.0962,1.118604651,4.47E+07,,,,,,,,,
a,2,3*,14,0.0039,0.045348837,1.80E+06,,,,,,,,,0.156569757
a,3,3*,14,0.0014,0.01627907,6.39E+05,,,,,,,,,410.2826423
a,7,5,17.5,0.0392,0.455813953,1.82E+07,,,,,,,,,
a,8,5,17.5,0.0293,0.340697674,1.36E+07,,,,,,,,,
a,9,5,17.5,0.0288,0.334883721,1.34E+07,,,,,,,,,
a,7,9,29.5,0.082,0.953488372,3.81E+07,,,,,,,,,
a,8,9,29.5,0.0983,1.143023256,4.57E+07,,,,,,,,,
a,9,9,29.5,0.0989,1.15,4.60E+07,,,,,,,,,
a,4,10,35,0.1551,1.803488372,7.21E+07,,,,,,,,,
a,5,10,35,0.1337,1.554651163,6.22E+07,,,,,,,,,
a,6,10,35,0.1187,1.380232558,5.52E+07,,,,,,,,,
a,7,11,52.5,0.1795,2.087209302,8.35E+07,,,,,,,,,
a,8,11,52.5,0.1997,2.322093023,9.29E+07,,,,,,,,,
a,9,11,52.5,0.1683,1.956976744,7.83E+07,,,,,,,,,
a,4,13,61.5,0.2142,2.490697674,9.96E+07,,,,,,,,,
a,5,13,61.5,0.2573,2.991860465,1.20E+08,,,,,,,,,
a,6,13,61.5,0.218,2.534883721,1.01E+08,,,,,,,,,
a,7,12,69,0.2988,3.474418605,1.39E+08,,,,,,,,,
a,8,12,69,0.2841,3.303488372,1.32E+08,,,,,,,,,
a,9,12,69,0.3025,3.51744186,1.41E+08,,,,,,,,,
a,4,14,76,0.3209,3.731395349,1.49E+08,,,,,,,,,
a,5,14,76,0.3274,3.806976744,1.52E+08,,,,,,,,,
a,6,14,76,0.2938,3.41627907,1.37E+08,,,,,,,,,
a,4,15,102.5,0.2994,3.481395349,1.39E+08,,,,,,,,,
a,5,15,102.5,0.3049,3.545348837,1.42E+08,,,,,,,,,
a,6,15,102.5,0.2677,3.112790698,1.24E+08,,,,,,,,,
a,4,16,148.5,0.261,3.034883721,1.21E+08,,,,,,,,,
a,5,16,148.5,0.2711,3.152325581,1.26E+08,,,,,,,,,
a,6,16,148.5,0.2011,2.338372093,9.35E+07,,,,,,,,,
a,1,17,217.5,0.4136,4.809302326,1.92E+08,,,,,,,,,
a,2,17,217.5,0.4805,5.587209302,2.23E+08,,,,,,,,,
a,3,17,217.5,0.4402,5.118604651,2.05E+08,,,,,,,,,
