ID,Replicate,Timepoint,Time_h,Abs_669_chl,Bchl_c_ug_ml,ug_ml_protein,Calculated_cells_ml,Calculated_cells_ml_chl,Experiment,Sulfide_mM,Sulfate_mM,,,Note,Growth rates for all exp phase ,csSOR for all exp 
a,1,3,28,0.0124,0.144186047,0,6.00E+06,8.21E+06,Yes,1.625472324,,,,,,
a,1,3,28,0.0124,0.144186047,0.07308,5.79E+06,8.21E+06,Yes,1.238703206,,,,,,
a,1,3,28,0.0124,0.144186047,0.2341,5.41E+06,8.21E+06,Yes,,,a,1,0-70.5h,1.71680851,36.42939932
a,1,4,43.5,0.0198,0.230232558,5.0647,4.21E+07,1.25E+07,Yes,1.077859794,0.015786712,aa,1,0-70.5h,1.6400519,52.13367789
a,1,4,43.5,0.0198,0.230232558,5.22572,4.49E+07,1.25E+07,Yes,1.234568342,,aaa,1,0-70.5h,1.665483558,33.1337439
a,1,5,70.5,0.2648,3.079069767,2.2781,9.55E+06,1.55E+08,Yes,0.302693604,0,b,1,0-70.5h,1.712308352,33.05176209
a,1,5,70.5,0.2648,3.079069767,1.77827,6.99E+06,1.55E+08,Yes,0.290957515,,full,2,0-70.5h,1.583231886,26.75428727
a,1,5,70.5,0.2648,3.079069767,2.2781,9.55E+06,1.55E+08,Yes,,,e,1,0-387.5h,0.329139809,6.066567897
a,1,6,91,0.2731,3.175581395,3.77759,2.32E+07,1.60E+08,Yes,0.054339087,0.264955007,e,2,0-309h,0.363560264,9.702855893
a,1,6,91,0.2731,3.175581395,4.11081,2.75E+07,1.60E+08,Yes,0.057200066,,e,1,0-121.5h,0.516647275,95.7419052
a,1,7,101.5,0.2812,3.269767442,5.27708,4.59E+07,1.64E+08,Yes,0,0.422065093,e,2,0-121.5h,0.484821231,110.9023316
a,1,7,101.5,0.2812,3.269767442,4.94386,4.01E+07,1.64E+08,Yes,,,e,1,121.5-387.5h,0.243492601,2.445249341
a,1,8,121.5,0.2854,3.318604651,3.90292,2.48E+07,1.67E+08,Yes,0,0.765060854,e,2,121.5-309h,0.284983158,2.959706443
a,1,8,121.5,0.2854,3.318604651,4.245,2.93E+07,1.67E+08,Yes,,,,,,,
a,1,9,144.5,0.3162,3.676744186,5.1002,4.27E+07,1.85E+08,Yes,0,0.885123926,,,,,
a,1,9,144.5,0.3162,3.676744186,4.92916,3.98E+07,1.85E+08,Yes,,,,,,,
a,1,9,144.5,0.3162,3.676744186,4.75812,3.70E+07,1.85E+08,Yes,,,,,,,
a,1,12,210.5,0.3659,4.254651163,4.58708,3.43E+07,2.14E+08,Yes,0,1.255057978,,,,,
a,1,12,210.5,0.3659,4.254651163,4.245,2.93E+07,2.14E+08,Yes,,,,,,,
a,1,14,309,0.3195,3.715116279,3.73188,2.27E+07,1.87E+08,Yes,0,1.316990508,,,,,
a,1,14,309,0.3195,3.715116279,3.3898,1.88E+07,1.87E+08,Yes,,,,,,,
a,1,14,309,0.3195,3.715116279,3.90292,2.48E+07,1.87E+08,Yes,,,,,,,
a,1,16,387.5,0.2135,2.48255814,1.33732,5.56E+06,1.25E+08,Yes,0,1.381728338,,,,,
a,1,20,529,0.1891,2.198837209,4.07396,2.70E+07,1.11E+08,Yes,0,1.406598064,,,,,
a,1,20,529,0.1891,2.198837209,4.245,2.93E+07,1.11E+08,Yes,,,,,,,
a,2,5,70.5,0.2964,3.446511628,8.9425,1.39E+08,1.73E+08,Yes,0.045718266,0.227677684,,,,,
a,2,5,70.5,0.2964,3.446511628,10.6086,1.99E+08,1.73E+08,Yes,0.054339087,,,,,,
a,2,6,91,0.3246,3.774418605,8.60928,1.28E+08,1.90E+08,Yes,,0.724089243,,,,,
a,2,6,91,0.3246,3.774418605,8.44267,1.23E+08,1.90E+08,Yes,,,,,,,
a,2,6,91,0.3246,3.774418605,8.44267,1.23E+08,1.90E+08,Yes,,,,,,,
a,2,7,101.5,0.3767,4.380232558,5.94352,5.88E+07,2.20E+08,Yes,,0.905841306,,,,,
a,2,7,101.5,0.3767,4.380232558,6.27674,6.60E+07,2.20E+08,Yes,,,,,,,
a,2,7,101.5,0.3767,4.380232558,6.11013,6.23E+07,2.20E+08,Yes,,,,,,,
a,2,8,121.5,0.4372,5.08372093,8.00788,1.10E+08,2.55E+08,Yes,,1.288036929,,,,,
a,2,8,121.5,0.4372,5.08372093,8.34996,1.20E+08,2.55E+08,Yes,,,,,,,
a,2,8,121.5,0.4372,5.08372093,8.69204,1.31E+08,2.55E+08,Yes,,,,,,,
a,2,9,144.5,0.4759,5.53372093,8.00788,1.10E+08,2.78E+08,Yes,,1.595357815,,,,,
a,2,9,144.5,0.4759,5.53372093,8.521,1.26E+08,2.78E+08,Yes,,,,,,,
a,2,12,210.5,0.6256,7.274418605,6.8106,7.83E+07,3.65E+08,Yes,,1.899,,,,,
a,2,12,210.5,0.6256,7.274418605,7.32372,9.13E+07,3.65E+08,Yes,,,,,,,
a,2,14,309,0.8979,10.44069767,2.5346,1.12E+07,5.23E+08,Yes,,2.192901642,,,,,
a,2,14,309,0.8979,10.44069767,3.56084,2.07E+07,5.23E+08,Yes,,,,,,,
