,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Measurement,Date,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
57,high,151.0,4.0,3,47.345,1638,45.183,2.1630000000000003,7833,-2.537,sample,sulfate,20220212,44.4596,-2.697855250159695,-2.3827637332464313,high,-1.7080742825762885
82,high,0.0,1.0,3,74.359,2702,70.973,3.385,12879,-3.373,sample,sulfide,20220215,71.47359999999999,-3.506808210024401,-3.3929969350497613,high,-2.758716812451752
87,high,33.5,1.0,3,79.2,2888,75.59899999999999,3.6010000000000004,13748,-4.864,sample,sulfide,20220215,76.3146,-5.045693750343971,-4.967068683076647,high,-4.395751430399713
92,high,54.5,1.0,3,81.612,3046,77.908,3.705,14477,-6.431,sample,sulfide,20220215,78.72659999999999,-6.664559021728363,-6.615823313696286,high,-6.110456246244137
97,high,71.0,1.0,3,73.359,2606,70.039,3.32,12346,-15.908,sample,sulfide,20220215,70.47359999999999,-16.556927307246973,-16.424955408939525,high,-16.311953625297107
102,high,83.0,1.0,3,41.327,1491,39.465,1.8619999999999999,7025,-28.951999999999998,sample,sulfide,20220215,38.4416,-31.120728697036544,-30.777828725644916,high,-31.23894187467071
107,high,91.0,1.0,3,27.058000000000003,981,25.839000000000002,1.219,4622,-48.952,sample,sulfide,20220215,24.172600000000003,-54.78825266127764,-54.348874378430466,low,-52.61189689086186
112,high,0.0,2.0,3,68.881,2467,65.745,3.137,11758,-3.2960000000000003,sample,sulfide,20220215,65.9956,-3.437548507476256,-3.27928153996818,high,-2.6404528015669073
117,high,33.5,2.0,3,87.464,3262,83.48299999999999,3.98,15542,-4.613,sample,sulfide,20220215,84.5786,-4.768377961801213,-4.760503656267955,high,-4.180923802518674
122,high,54.5,2.0,3,83.59100000000001,2994,79.793,3.798,14243,-7.605,sample,sulfide,20220215,80.7056,-7.874804911678993,-7.816232199341645,high,-7.358881487315312
127,high,71.0,2.0,3,75.041,2770,71.641,3.4,13135,-16.985,sample,sulfide,20220215,72.15559999999999,-17.66186803629933,-17.56092053618543,high,-17.49335735763285
132,high,83.0,2.0,3,43.924,1712,41.942,1.9809999999999999,8078,-30.111,sample,sulfide,20220215,41.0386,-32.223976068384395,-31.922883365290172,high,-32.429798699901774
137,high,91.0,2.0,3,28.279,1049,27.003,1.276,4953,-48.111000000000004,sample,sulfide,20220215,25.3936,-53.57106787852058,-53.14455337053415,low,-51.43166230312347
162,high,0.0,3.0,3,57.123000000000005,2096,54.52,2.6039999999999996,10000,-3.513,sample,sulfide,20220215,54.23760000000001,-3.6967786052480194,-3.4683283954850284,high,-2.8370615313044296
167,high,33.5,3.0,3,69.938,2634,66.75399999999999,3.1830000000000003,12552,-4.925,sample,sulfide,20220215,67.0526,-5.134416119285457,-5.007741069450079,high,-4.4380507122280815
172,high,54.5,3.0,3,57.496,2118,54.883,2.613,10071,-5.836,sample,sulfide,20220215,54.610600000000005,-6.14126115223052,-5.916972751981297,high,-5.383651662060549
177,high,71.0,3.0,3,48.318000000000005,1737,46.129,2.189,8235,-17.332,sample,sulfide,20220215,45.43260000000001,-18.429032815203183,-18.13266944110188,high,-18.087976218745954
182,high,83.0,3.0,3,34.915,1316,33.34,1.575,6209,-33.061,sample,sulfide,20220215,32.0296,-36.03404710892424,-35.658041834582185,high,-36.314363507965474
187,high,91.0,3.0,3,27.311999999999998,1022,26.079,1.2329999999999999,4825,-45.06100000000001,sample,sulfide,20220215,24.426599999999997,-50.37693875856649,-49.945316575267704,low,-48.29641024376235
192,lower,0.0,1.0,3,49.951,1872,47.674,2.2769999999999997,8934,-3.194,sample,sulfide,20220215,47.0656,-3.3862267617963013,-3.1154017642567577,high,-2.4700178348270283
197,lower,33.5,1.0,3,63.358999999999995,2331,60.475,2.884,11108,-5.043,sample,sulfide,20220215,60.4736,-5.28082894486189,-5.096834427632335,high,-4.530707804737629
202,lower,54.5,1.0,3,56.303000000000004,2113,53.744,2.56,10055,-6.609,sample,sulfide,20220215,53.41760000000001,-6.962832985383094,-6.7375987193352875,high,-6.237102668108699
207,lower,71.0,1.0,3,51.355,1872,49.027,2.3280000000000003,8878,-9.818999999999999,sample,sulfide,20220215,48.4696,-10.400045498209185,-10.129220500669641,high,-9.764389320696427
212,lower,83.0,1.0,3,46.386,1716,44.293,2.093,8100,-14.912,sample,sulfide,20220215,43.500600000000006,-15.897236642253212,-15.596900631797855,high,-15.45077665706977
217,lower,91.0,1.0,3,28.986,1030,27.679000000000002,1.307,4860,-22.416,sample,sulfide,20220215,26.1006,-24.88760703891865,-24.4574982408976,low,-23.31834827607965
242,lower,0.0,2.0,3,54.338,1928,51.861000000000004,2.477,9199,-3.533,sample,sulfide,20220215,51.452600000000004,-3.7278476555120634,-3.4676163549166583,high,-2.8363210091133246
247,lower,33.5,2.0,3,60.851000000000006,2233,58.081,2.77,10641,-5.0969999999999995,sample,sulfide,20220215,57.96560000000001,-5.347807100763211,-5.145273613881415,high,-4.581084558436672
252,lower,54.5,2.0,3,63.224,2276,60.35,2.8739999999999997,10829,-6.662000000000001,sample,sulfide,20220215,60.3386,-6.977781855727512,-6.783382814713536,high,-6.284718127302078
257,lower,71.0,2.0,3,45.435,1656,43.375,2.059,7853,-9.87,sample,sulfide,20220215,42.549600000000005,-10.535345814766764,-10.223659414728402,high,-9.86260579131754
262,lower,83.0,2.0,3,45.335,1643,43.29,2.045,7754,-15.117,sample,sulfide,20220215,42.449600000000004,-16.140564228638198,-15.826418577523517,high,-15.68947532062446
267,lower,91.0,2.0,3,28.789,1029,27.491,1.298,4852,-29.451,sample,sulfide,20220215,25.9036,-32.72503201408299,-32.29473404290223,low,-30.998839362044183
272,lower,0.0,3.0,3,53.376000000000005,1887,50.943999999999996,2.431,8998,-3.635,sample,sulfide,20220215,50.49060000000001,-3.8393891195588874,-3.5714017194150953,high,-2.9442577881916994
277,lower,33.5,3.0,3,73.13,2565,69.804,3.326,12212,-5.013,sample,sulfide,20220215,70.24459999999999,-5.21651472540238,-5.076786727546546,high,-4.509858196648407
282,lower,54.5,3.0,3,59.106,2040,56.42,2.687,9703,-6.789,sample,sulfide,20220215,56.220600000000005,-7.13442998260424,-6.89538607589711,high,-6.401201518932995
287,lower,71.0,3.0,3,58.49100000000001,2021,55.84,2.6510000000000002,9588,-9.708,sample,sulfide,20220215,55.60560000000001,-10.208718695239329,-9.96608049849758,high,-9.594723718437486
292,lower,83.0,3.0,3,57.614,2089,55.013999999999996,2.6,9861,-14.502,sample,sulfide,20220215,54.7286,-15.263491634721152,-15.033717212840143,high,-14.86506590135375
297,lower,91.0,3.0,3,32.828,1188,31.348000000000003,1.48,5601,-27.573,sample,sulfide,20220215,29.942600000000002,-30.224420867927304,-29.824201429141503,high,-30.247169486307165
327,high,54.5,4.0,3,86.08200000000001,3369,82.131,3.951,16203,5.252999999999999,sample,sulfate,20220217,83.1966,5.437210723995932,5.424843501439498,high,6.411837241497079
332,high,54.5,5.0,3,83.15899999999999,3302,79.339,3.82,15888,4.692,sample,sulfate,20220217,80.27359999999999,4.862753479599769,4.863060858744357,high,5.827583293094133
337,high,54.5,6.0,3,70.57,2646,67.33800000000001,3.2319999999999998,12693,4.53,sample,sulfate,20220217,67.68459999999999,4.7256067069909555,4.850011678909733,high,5.814012146066123
342,high,83.0,4.0,3,43.486999999999995,1634,41.496,1.992,7835,3.728,sample,sulfate,20220217,40.6016,3.997089664446721,4.312937873998852,high,5.255455388958806
347,high,83.0,5.0,3,32.09,1204,30.621,1.469,5773,3.1830000000000003,sample,sulfate,20220217,29.204600000000003,3.5032552995076123,3.900447967737946,high,4.826465886447464
352,high,83.0,6.0,3,51.299,1894,48.943000000000005,2.3569999999999998,9108,2.488,sample,sulfate,20220217,48.4136,2.6397667539699587,2.9064299419957336,high,3.792687139675563
357,high,101.5,4.0,3,223.326,7747,213.09799999999998,10.228,37178,1.412,sample,sulfate,20220212,220.4406,1.4312472916513563,0.590679975854983,high,1.3843071748891824
362,high,101.5,5.0,3,182.577,6809,174.22400000000002,8.353,32629,2.8569999999999998,sample,sulfate,20220217,179.6916,2.903815140607574,2.240692248625514,high,3.100319938570535
367,high,101.5,6.0,3,76.472,2710,72.971,3.5010000000000003,12988,1.187,sample,sulfate,20220217,73.58659999999999,1.2358359228446485,1.3481338125415538,high,2.1720591650432164
397,high,295.0,4.0,3,97.542,3415,93.073,4.468,16384,-3.792,sample,sulfate,20220217,94.6566,-3.905808620635011,-3.9268778085384155,high,-3.313952920879952
