,treatment,d34S_corrected,replicate,time_h,ID,f_R,xaxis_linreg,d34S_sulfate
0,high,6.410533275939247,4.0,54,high_54_4.0,0.7233524429059239,-0.8467957794952639,6.390073200940286
1,high,5.8262793275363025,5.0,54,high_54_5.0,0.6634391153159362,-0.8088317772473722,5.809372200778013
2,high,5.8127081805082925,6.0,54,high_54_6.0,0.701217380407882,-0.8330077291934894,5.79587957400709
3,high,5.254151423400975,4.0,83,high_83_4.0,0.5144494220105886,-0.7042169379599886,5.240396528973175
4,high,4.825161920889633,5.0,83,high_83_5.0,0.47490366843144016,-0.6734646826131103,4.813558138889164
5,high,3.791383174117732,6.0,83,high_83_6.0,0.47837975000783184,-0.6762266281071336,3.7842139959517964
6,high,1.383003209331351,4.0,101,high_101_4.0,0.3125553710723349,-0.5287606327819241,1.3820477412350438
7,high,3.099015973012704,5.0,101,high_101_5.0,0.3114207574950659,-0.5276178260643688,3.094223920890291
8,high,2.1707551994853853,6.0,101,high_101_6.0,0.31421904075686846,-0.5304322999015784,2.168402514537547
9,high,-1.7093782481341204,4.0,151,high_151_4.0,0.13857335296513273,-0.3179263202141702,-1.7108409021887074
10,high,0.5134811796250649,5.0,151,high_151_5.0,0.116186836251997,-0.2829768212868912,0.5133493932753819
11,high,-0.5529723334137318,6.0,151,high_151_6.0,0.13633658093418122,-0.3145532891078464,-0.5531252790002595
12,high,-3.3152568864377834,4.0,295,high_295_4.0,0.0001,-0.0009211261498125995,-3.320764526746553
13,high,-1.4582305698994174,5.0,295,high_295_5.0,0.051759030105573145,-0.16163252424925761,-1.4592948228402325
14,high,-2.8512756980246534,6.0,295,high_295_6.0,0.06177751323580094,-0.18332744481698948,-2.8553483278803315
15,lower,-2.097486916905328,4.0,54,lower_54_4.0,0.7465521894397269,-0.8609644487585798,-2.0996897233661493
16,lower,-2.1225553627849267,5.0,54,lower_54_5.0,0.7236460745733777,-0.8469768877279545,-2.124811176043252
17,lower,-1.5208974661567694,6.0,54,lower_54_6.0,0.7207552735465974,-0.8451918577063544,-1.5220552047247502
18,lower,-1.980195898054576,4.0,83,lower_83_4.0,0.5745313274713963,-0.7483644684773755,-1.9821590780339524
19,lower,-1.9494197977369567,5.0,83,lower_83_5.0,0.5613463626492943,-0.7389224569879598,-1.9513223895464282
20,lower,-2.0582076498333883,6.0,83,lower_83_6.0,0.5492747892778018,-0.7301600114144771,-2.0603286700314123
21,lower,-2.5709699354829767,4.0,101,lower_101_4.0,0.3915114885177584,-0.6033575661671323,-2.5742805542391567
22,lower,-1.7925711597696434,5.0,101,lower_101_5.0,0.38812989148512855,-0.600343165796715,-1.7941797380658344
23,lower,-2.260615763697124,6.0,101,lower_101_6.0,0.400424896286394,-0.6112336838728176,-2.2631748129247096
24,lower,-2.2162590349886733,4.0,151,lower_151_4.0,0.24153188604997078,-0.452434761714776,-2.2187185716960087
25,lower,-2.035748518836753,5.0,151,lower_151_5.0,0.22824524737499452,-0.4369193657930602,-2.0378234713853085
26,lower,-2.4958738570854413,6.0,151,lower_151_6.0,0.23775363546785655,-0.4480676280522339,-2.498993742548941
27,lower,-2.0739378430673905,4.0,295,lower_295_4.0,0.0001,-0.0009211261498125995,-2.076091430275062
28,lower,-1.472630195428131,5.0,295,lower_295_5.0,0.03939547990686154,-0.13263427775401096,-1.4737155809862375
29,lower,-2.4388874111387002,6.0,295,lower_295_6.0,0.020855692166719897,-0.08243341162906309,-2.4418663415437645
30,medium,-0.24777129333559603,4.0,54,medium_54_4.0,0.7496008801105255,-0.862805542088477,-0.24780199371376152
31,medium,-1.1681125342105592,5.0,54,medium_54_5.0,0.7454568131811902,-0.8603017910682896,-1.168795309414159
32,medium,-1.7342723627142045,6.0,54,medium_54_6.0,0.7701203755820498,-0.8750751435130815,-1.7357779540169431
33,medium,-0.5928013590451919,4.0,83,medium_83_4.0,0.49153597195926924,-0.6865751251376887,-0.5929771352411461
34,medium,-0.8174570985011553,5.0,83,medium_83_5.0,0.5204216343447782,-0.7087385503891648,-0.8177913987515537
35,medium,-1.5784495010375237,6.0,83,medium_83_6.0,0.5422165225400399,-0.7249830033627854,-1.5796965649087908
36,medium,-2.0276377156806453,4.0,101,medium_101_4.0,0.3288472854730594,-0.5449302157066876,-2.0296961560184688
37,medium,-0.6306374976554555,5.0,101,medium_101_5.0,0.32075615309829597,-0.5369551940224226,-0.6308364331240274
38,medium,-0.9459018533845822,6.0,101,medium_101_6.0,0.34405029933991715,-0.5596320229396985,-0.9463495008520388
39,medium,-1.1698528731410152,4.0,151,medium_151_4.0,0.1452630097733203,-0.3278701581675581,-1.1705376851516713
40,medium,-1.3950530648913189,5.0,151,medium_151_5.0,0.166012127104334,-0.35744770762819694,-1.3960270573710754
41,medium,-1.602999769878959,6.0,151,medium_151_6.0,0.13233638642992385,-0.3084584751531545,-1.604285948690096
42,medium,-2.6402124912361584,4.0,295,medium_295_4.0,0.04508007982397777,-0.14631316877192788,-2.6437039991381317
43,medium,-2.1898624217317386,5.0,295,medium_295_5.0,0.032805863992222184,-0.11590485129461725,-2.1922636766972396
44,medium,-2.1699881756557917,6.0,295,medium_295_6.0,0.0001,-0.0009211261498125995,-2.172346011598686
