,treatment,d34S_corrected,replicate,time_h,ID,f_R,avg_conc,minus_ln_f_R,d34S_sulfide
0,high,-2.758716812451752,1.0,0,high_0_1.0,1.0,10.560216963843821,0.0,-2.762529084611182
1,high,-4.395751430399713,1.0,33,high_33_1.0,0.7077557896154446,7.474054695755697,0.3456561747121142,-4.405441151882869
2,high,-6.110456246244137,1.0,54,high_54_1.0,0.5363553610242582,5.664028982136948,0.6229583506045595,-6.129201484328324
3,high,-16.311953625297107,1.0,71,high_71_1.0,0.2570396710416715,2.714394694515095,1.3585248439696591,-16.446458235231386
4,high,-31.23894187467071,1.0,83,high_83_1.0,0.0554399168393639,0.5854575502811413,2.892455424113088,-31.73728354067947
5,high,-52.611896890861864,1.0,91,high_91_1.0,0.0190827092589859,0.20151755003284244,3.9589726283365305,-54.046445981993315
6,high,-2.6404528015669078,2.0,0,high_0_2.0,1.0,10.690618186439094,0.0,-2.6439449456478132
7,high,-4.180923802518674,2.0,33,high_33_2.0,0.7189219850843934,7.685720448374112,0.3300024318986526,-4.189688302106923
8,high,-7.358881487315313,2.0,54,high_54_2.0,0.5066306364895488,5.416194696262384,0.6799730685301966,-7.386091628675937
9,high,-17.49335735763285,2.0,71,high_71_2.0,0.25371435202717735,2.7123632659423524,1.37154624311699,-17.648174302423566
10,high,-32.429798699901774,2.0,83,high_83_2.0,0.055333735213717004,0.5915518359993683,2.894372516421578,-32.96729722720654
11,high,-51.43166230312347,2.0,91,high_91_2.0,0.012389272187048389,0.13244897855960355,4.390924327031888,-52.801444024367576
12,high,-2.8370615313044296,3.0,0,high_0_3.0,1.0,10.768102970879765,0.0,-2.8410936183624633
13,high,-4.4380507122280815,3.0,33,high_33_3.0,0.7046224468458947,7.587447063229848,0.3500931560094998,-4.447928094339302
14,high,-5.383651662060549,3.0,54,high_54_3.0,0.49128858992700936,5.29024612475236,0.7107235643251162,-5.398195738316405
15,high,-18.087976218745954,3.0,71,high_71_3.0,0.26490569835519673,2.852531837461573,1.3283813715908326,-18.25356345844917
16,high,-36.31436350796547,3.0,83,high_83_3.0,0.04644620798839762,0.5001375502259638,3.069460453472428,-36.990140778840825
17,high,-48.29641024376235,3.0,91,high_91_3.0,0.010036292927264424,0.10807183568669561,4.601547463253013,-49.50164796996581
18,lower,-2.4700178348270283,1.0,0,lower_0_1.0,0.9991016322948497,10.063180419748795,0.0008987714792603041,-2.473073361386296
19,lower,-4.530707804737629,1.0,33,lower_33_1.0,0.9390593820544278,9.458421126553327,0.06287656209884102,-4.541002568155563
20,lower,-6.237102668108699,1.0,54,lower_54_1.0,1.0,10.072228984987786,0.0,-6.256634650628529
21,lower,-9.764389320696427,1.0,71,lower_71_1.0,0.6950506182331283,7.000708983001395,0.36377060407935286,-9.812373583613233
22,lower,-15.450776657069769,1.0,83,lower_83_1.0,0.4857004474169822,4.892086124494864,0.7221632084511582,-15.571383835989696
23,lower,-23.31834827607965,1.0,91,lower_91_1.0,0.2914767340297485,2.9358204089440085,1.2327950910261818,-23.59452269480289
24,lower,-2.8363210091133246,2.0,0,lower_0_2.0,1.0,10.794561189957065,0.0,-2.8403509895627077
25,lower,-4.581084558436672,2.0,33,lower_33_2.0,0.9170137917343769,9.898761486911276,0.08663276677947405,-4.591609883540247
