,absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group,abs_corr,concentration,avg_conc,ID,max_conc,f_R
21,1.921,sample,,Control,1,1.0,0.0,a,1.8746666666666667,10.475172688238208,10.339101847269228,Control_0_1.0,10.437886128081407,0.9905359878810694
24,1.906,sample,,high,1,1.0,0.0,a,1.8596666666666666,10.390128412632595,10.560216963843821,high_0_1.0,10.560216963843821,1.0
27,1.849,sample,,high,1,2.0,0.0,a,1.8026666666666666,10.066960165331267,10.690618186439094,high_0_2.0,10.690618186439094,1.0
30,1.915,sample,,high,1,3.0,0.0,a,1.8686666666666667,10.441154977995964,10.768102970879765,high_0_3.0,10.768102970879765,1.0
33,1.736,sample,,medium,1,1.0,0.0,a,1.6896666666666667,9.426293289102318,9.490548964004336,medium_0_1.0,9.490548964004336,1.0
36,1.911,sample,,medium,1,2.0,0.0,a,1.8646666666666667,10.418476504501134,10.86448648323279,medium_0_2.0,10.86448648323279,1.0
39,2.006,sample,,medium,1,3.0,0.0,a,1.9596666666666664,10.957090250003345,10.923072539761101,medium_0_3.0,10.923072539761101,1.0
42,1.827,sample,,lower,1,1.0,0.0,a,1.7806666666666666,9.942228561109701,10.063180419748795,lower_0_1.0,10.072228984987786,0.9991016322948497
45,1.98,sample,,lower,1,2.0,0.0,a,1.9336666666666666,10.809680172286951,10.794561189957065,lower_0_2.0,10.794561189957065,1.0
48,1.984,sample,,lower,1,3.0,0.0,a,1.9376666666666666,10.832358645781781,11.004337069784242,lower_0_3.0,11.004337069784242,1.0
51,1.506,sample,,Control,1,1.0,54.5,a,1.4596666666666667,8.12228106314959,8.46245816557204,Control_54_1.0,10.437886128081407,0.8107444420959139
54,1.7269999999999999,sample,,Control,1,1.0,33.5,a,1.6806666666666665,9.37526672373895,9.142812370416943,Control_33_1.0,10.437886128081407,0.8759256671539765
57,1.921,sample,,Control,1,1.0,71.0,a,1.8746666666666667,10.475172688238208,10.339101847269228,Control_71_1.0,10.437886128081407,0.9905359878810694
60,1.4269999999999998,sample,,high,1,1.0,33.5,a,1.3806666666666665,7.674381211626696,7.474054695755697,high_33_1.0,10.560216963843821,0.7077557896154446
63,1.4580000000000002,sample,,high,1,2.0,33.5,a,1.4116666666666668,7.850139381211631,7.685720448374112,high_33_2.0,10.690618186439094,0.7189219850843934
66,1.355,sample,,high,1,3.0,33.5,a,1.3086666666666666,7.266168688719755,7.587447063229848,high_33_3.0,10.768102970879765,0.7046224468458947
69,1.659,sample,,medium,1,1.0,33.5,a,1.6126666666666667,8.98973267432684,8.951935218502122,medium_33_1.0,9.490548964004336,0.9432473561281793
72,1.599,sample,,medium,1,2.0,33.5,a,1.5526666666666666,8.649555571904388,8.67223404539922,medium_33_2.0,10.86448648323279,0.7982184946139071
75,1.5290000000000001,sample,,medium,1,3.0,33.5,a,1.4826666666666668,8.252682285744863,8.628766971200795,medium_33_3.0,10.923072539761101,0.7899578566187491
78,1.804,sample,,lower,1,1.0,33.5,a,1.7576666666666667,9.81182733851443,9.458421126553327,lower_33_1.0,10.072228984987786,0.9390593820544278
81,1.7369999999999999,sample,,lower,1,2.0,33.5,a,1.6906666666666665,9.431962907476025,9.898761486911276,lower_33_2.0,10.794561189957065,0.9170137917343769
84,1.851,sample,,lower,1,3.0,33.5,a,1.8046666666666666,10.078299402078683,9.532126165411526,lower_33_3.0,11.004337069784242,0.8662153935274194
108,0.555,sample,,high,1,1.0,71.0,b,0.5086666666666667,2.8606575517525425,2.714394694515095,high_71_1.0,10.560216963843821,0.2570396710416715
111,0.532,sample,,high,1,2.0,71.0,b,0.4856666666666667,2.720488980233322,2.7123632659423524,high_71_2.0,10.690618186439094,0.25371435202717735
114,0.579,sample,,high,1,3.0,71.0,b,0.5326666666666666,3.006920408989989,2.852531837461573,high_71_3.0,10.768102970879765,0.26490569835519673
117,0.8540000000000001,sample,,medium,1,1.0,71.0,b,0.8076666666666668,4.682848981502406,4.58940326715626,medium_71_1.0,9.490548964004336,0.48357616451513025
