Identifier,Time_h,Replicate,Peak_Nr,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Measurement,Date
SID9,,,1,27.764,1383,26.493,1.27,6631,0,standard,,20220212
SID9,,,2,27.869,1382,26.594,1.275,6626,-0.127,standard,,20220212
SID9,,,3,16.605,593,15.851,0.753,2813,-9.875,standard,,20220212
SID9,,,4,27.55,1383,26.29,1.26,6630,-0.23,standard,,20220212
SID9,,,5,28.213,1404,26.922,1.291,6730,-0.17,standard,,20220212
AGS_2,,,1,28.213,1406,26.922,1.291,6741,0,standard,,20220212
AGS_2,,,2,28.434,1411,27.133,1.301,6763,-0.01,standard,,20220212
AGS_2,,,3,13.093,481,12.494,0.599,2306,0.888,standard,,20220212
AGS_2,,,4,28.474,1448,27.172,1.302,6941,-0.071,standard,,20220212
AGS_2,,,5,28.995,1440,27.668,1.326,6902,-0.061,standard,,20220212
Control,0,1,1,30.898,1538,29.486,1.413,7367,0,control,sulfide,20220212
Control,0,1,2,30.983,1536,29.566,1.417,7358,-0.023,control,sulfide,20220212
Control,0,1,3,7.861,274,7.502,0.358,1309,-3.448,control,sulfide,20220212
Control,0,1,4,30.245,1517,28.862,1.383,7270,0.015,control,sulfide,20220212
Control,0,1,5,30.736,1526,29.331,1.405,7312,0.041,control,sulfide,20220212
Control,33.5,1,1,30.53,1522,29.133,1.397,7299,0,control,sulfide,20220212
Control,33.5,1,2,30.723,1524,29.317,1.406,7309,-0.07,control,sulfide,20220212
Control,33.5,1,3,11.433,415,10.911,0.521,1982,-3.924,control,sulfide,20220212
Control,33.5,1,4,30.03,1506,28.655,1.374,7222,-0.06,control,sulfide,20220212
Control,33.5,1,5,30.469,1512,29.075,1.394,7250,-0.085,control,sulfide,20220212
Control,54.5,1,1,30.246,1506,28.863,1.383,7213,0,control,sulfide,20220212
Control,54.5,1,2,30.369,1508,28.98,1.388,7221,-0.051,control,sulfide,20220212
Control,54.5,1,3,11.239,409,10.727,0.512,1949,-4.246,control,sulfide,20220212
Control,54.5,1,4,26.776,1345,25.552,1.224,6444,-0.057,control,sulfide,20220212
Control,54.5,1,5,27.255,1355,26.009,1.246,6491,-0.045,control,sulfide,20220212
Control,71,1,1,28.126,1401,26.838,1.288,6722,0,control,sulfide,20220212
Control,71,1,2,28.226,1401,26.933,1.293,6722,0.007,control,sulfide,20220212
Control,71,1,3,8.938,311,8.53,0.408,1484,-3.893,control,sulfide,20220212
Control,71,1,4,27.698,1393,26.43,1.268,6686,-0.132,control,sulfide,20220212
Control,71,1,5,28.268,1400,26.974,1.295,6720,-0.02,control,sulfide,20220212
Control,83,1,1,28.175,1403,26.886,1.289,6728,0,control,sulfide,20220212
Control,83,1,2,28.34,1406,27.044,1.297,6743,-0.039,control,sulfide,20220212
Control,83,1,3,10.134,355,9.672,0.462,1694,-3.698,control,sulfide,20220212
Control,83,1,4,27.723,1392,26.455,1.269,6673,-0.031,control,sulfide,20220212
Control,83,1,5,28.169,1396,26.88,1.289,6697,0.039,control,sulfide,20220212
Control,91,1,1,28.717,1430,27.402,1.315,6860,0,control,sulfide,20220212
Control,91,1,2,28.849,1431,27.528,1.321,6863,-0.026,control,sulfide,20220212
Control,91,1,3,9.845,350,9.396,0.449,1671,-4.25,control,sulfide,20220212
Control,91,1,4,28.482,1429,27.178,1.304,6859,-0.087,control,sulfide,20220212
Control,91,1,5,28.919,1434,27.595,1.324,6878,-0.004,control,sulfide,20220212
SW,,,1,31.928,1587,30.466,1.462,7616,0,standard,,20220212
SW,,,2,32.039,1589,30.572,1.467,7625,-0.052,standard,,20220212
SW,,,3,13.944,498,13.297,0.647,2420,15.05,standard,,20220212
SW,,,4,31.564,1583,30.119,1.445,7596,-0.083,standard,,20220212
SW,,,5,32.075,1590,30.606,1.469,7633,-0.059,standard,,20220212
SID9,,,1,31.889,1584,30.43,1.459,7596,0,standard,,20220212
SID9,,,2,32.002,1586,30.538,1.464,7602,-0.075,standard,,20220212
SID9,,,3,18.618,671,17.774,0.845,3182,-9.587,standard,,20220212
SID9,,,4,31.282,1567,29.851,1.431,7513,-0.087,standard,,20220212
SID9,,,5,31.799,1575,30.344,1.455,7552,-0.076,standard,,20220212
SW,,,1,29.908,1488,28.539,1.369,7137,0,standard,,20220212
SW,,,2,29.983,1489,28.61,1.373,7143,-0.067,standard,,20220212
SW,,,3,12.359,430,11.785,0.574,2089,15.976,standard,,20220212
