Identifier,Peak_Nr,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Date
Blank-1,1,28.257,1401,26.964,1.293,6718,0,20220212
Blank-1,2,28.304,1402,27.009,1.295,6722,-0.029,20220212
Blank-1,3,0.448,17,0.428,0.021,80,0.029,20220212
Blank-1,4,27.614,1388,26.35,1.264,6655,0.13,20220212
Blank-1,5,28.131,1394,26.844,1.287,6686,0.102,20220212
Blank-2,1,27.64,1374,26.374,1.266,6595,0,20220212
Blank-2,2,27.76,1376,26.488,1.271,6603,-0.014,20220212
Blank-2,3,0.518,18,0.494,0.024,86,1.703,20220212
Blank-2,4,27.328,1372,26.076,1.251,6586,-0.119,20220212
Blank-2,5,27.836,1382,26.561,1.275,6632,-0.108,20220212
Blank,1,30.606,1523,29.205,1.401,7306,0,20220212
Blank,2,30.651,1520,29.248,1.403,7291,-0.087,20220212
Blank,3,0.601,21,0.573,0.028,98,0.328,20220212
Blank,4,31.907,1602,30.446,1.461,7686,-0.071,20220212
Blank,5,32.515,1612,31.027,1.489,7733,-0.004,20220212
Blank,1,31.094,1545,29.67,1.424,7416,0,20220212
Blank,2,31.284,1549,29.851,1.433,7437,-0.006,20220212
Blank,3,4.985,165,4.757,0.229,792,1.619,20220212
Blank,4,30.851,1544,29.438,1.413,7408,-0.068,20220212
Blank,5,31.284,1549,29.851,1.433,7436,-0.032,20220212
Blank-2,1,29.578,1474,28.226,1.351,7055,0,20220215
Blank-2,2,29.825,1481,28.463,1.362,7087,-0.061,20220215
Blank-2,3,1.518,56,1.449,0.069,265,-0.458,20220215
Blank-2,4,29.336,1475,27.996,1.34,7061,0.06,20220215
Blank-2,5,29.976,1486,28.607,1.37,7114,0.081,20220215
Blank,1,29.79,1479,28.428,1.362,7086,0,20220215
Blank,2,29.869,1478,28.503,1.366,7083,0.017,20220215
Blank,3,1.786,65,1.705,0.082,309,-1.687,20220215
Blank,4,29.348,1467,28.006,1.342,7028,0.044,20220215
Blank,5,29.785,1475,28.423,1.362,7068,0.107,20220215
Blank,1,29.515,1464,28.165,1.35,7013,0,20220215
Blank,2,29.659,1468,28.303,1.356,7032,-0.024,20220215
Blank,3,1.847,66,1.763,0.084,313,-2.187,20220215
Blank,4,29.243,1459,27.906,1.337,6990,-0.085,20220215
Blank,5,29.648,1469,28.293,1.356,7038,-0.03,20220215
Blank,1,32.167,1599,30.696,1.471,7661,0,20220217
Blank,2,32.2,1596,30.728,1.473,7648,0.023,20220217
Blank,3,0.964,36,0.92,0.044,170,3.48,20220217
Blank,4,31.425,1572,29.988,1.437,7533,-0.042,20220217
Blank,5,31.904,1581,30.445,1.459,7577,0.099,20220217
Blank,1,31.032,1536,29.614,1.418,7352,0,20220217
Blank,2,31.064,1537,29.645,1.419,7357,-0.019,20220217
Blank,3,8.568,316,8.177,0.391,1509,-1.221,20220217
Blank,4,30.888,1534,29.477,1.411,7346,0.042,20220217
Blank,5,31.161,1538,29.737,1.424,7364,0.078,20220217
Blank,1,32.957,1630,31.449,1.508,7818,0,20220217
Blank,2,33.069,1629,31.556,1.514,7813,-0.015,20220217
Blank,3,8.493,271,8.105,0.388,1297,-2.092,20220217
Blank,4,32.612,1619,31.119,1.493,7767,-0.101,20220217
Blank,5,32.936,1623,31.428,1.507,7782,-0.077,20220217
Blank,1,33.345,1651,31.819,1.526,7919,0,20220217
Blank,2,33.504,1654,31.971,1.533,7931,-0.016,20220217
Blank,3,2.492,85,2.378,0.114,408,-1.177,20220217
Blank,4,32.799,1635,31.298,1.501,7840,-0.098,20220217
Blank,5,33.153,1636,31.636,1.517,7844,-0.03,20220217
Blank-1,1,32.489,1605,31.003,1.487,7695,0,20220218
Blank-1,2,32.56,1605,31.071,1.49,7696,-0.063,20220218
Blank-1,3,3.786,90,3.612,0.174,434,3.419,20220218
Blank-1,4,31.983,1589,30.52,1.463,7620,0.002,20220218
Blank-1,5,32.257,1592,30.781,1.476,7634,0.028,20220218
Blank,1,32.995,1635,31.487,1.508,7830,0,20220218
Blank,2,33.118,1634,31.604,1.514,7828,-0.026,20220218
Blank,3,2.421,87,2.31,0.111,414,-0.364,20220218
Blank,4,30.65,1527,29.249,1.401,7315,-0.095,20220218
Blank,5,31.107,1535,29.685,1.422,7354,-0.021,20220218
Blank,1,30.501,1511,29.108,1.392,7227,0,20220218
Blank,2,30.617,1513,29.219,1.398,7237,0.015,20220218
Blank,3,2.035,75,1.942,0.093,360,-0.775,20220218
Blank,4,30.138,1504,28.762,1.376,7193,0.218,20220218
Blank,5,30.578,1510,29.181,1.396,7226,0.271,20220218
Blank,1,32.984,1631,31.476,1.508,7810,0,20220218
Blank,2,33.178,1631,31.662,1.517,7814,-0.039,20220218
Blank,3,2.819,99,2.69,0.129,474,-1.494,20220218
Blank,4,32.479,1619,30.995,1.484,7753,-0.222,20220218
Blank,5,32.802,1623,31.303,1.499,7773,-0.24,20220218
