Identifier,Peak_Nr,Ampl_64,Ampl_66,d34S,Date
linearity,1,510,2446,-0.153,20220212
linearity,2,1729,8294,0,20220212
linearity,3,2614,12544,0.044,20220212
linearity,4,3165,15187,0.068,20220212
linearity,5,4317,20718,0.143,20220212
linearity,6,6220,29857,0.19,20220212
linearity,1,511,2451,-0.185,20220212
linearity,2,1729,8295,0,20220212
linearity,3,2610,12526,0.066,20220212
linearity,4,3160,15167,0.113,20220212
linearity,5,4309,20679,0.177,20220212
linearity,6,6210,29809,0.215,20220212
linearity,1,499,2392,-0.236,20220212
linearity,2,1711,8209,0,20220212
linearity,3,2594,12447,0.085,20220212
linearity,4,3149,15110,0.06,20220212
linearity,5,4299,20627,0.125,20220212
linearity,6,6196,29730,0.171,20220212
linearity,1,505,2422,-0.256,20220212
linearity,2,1714,8224,0,20220212
linearity,3,2594,12445,0.048,20220212
linearity,4,3148,15104,0.097,20220212
linearity,5,4293,20597,0.139,20220212
linearity,6,6197,29740,0.248,20220212
linearity,1,500,2398,-0.271,20220212
linearity,2,1707,8189,0,20220212
linearity,3,2591,12431,0.07,20220212
linearity,4,3139,15059,0.07,20220212
linearity,5,4289,20576,0.156,20220212
linearity,6,6049,29026,0.262,20220212
linearity,1,500,2399,-0.325,20220212
linearity,2,1705,8181,0,20220212
linearity,3,2586,12405,0.075,20220212
linearity,4,3145,15087,0.08,20220212
linearity,5,4291,20587,0.201,20220212
linearity,6,6185,29677,0.351,20220212
linearity,1,506,2426,-0.352,20220212
linearity,2,1715,8226,0,20220212
linearity,3,2597,12459,0.124,20220212
linearity,4,3151,15114,0.177,20220212
linearity,5,4297,20614,0.309,20220212
linearity,6,6197,29735,0.462,20220212
linearity,1,510,2446,-0.278,20220212
linearity,2,1720,8252,0,20220212
linearity,3,2602,12479,0.094,20220212
linearity,4,3156,15141,0.161,20220212
linearity,5,4308,20666,0.314,20220212
linearity,6,6203,29762,0.464,20220212
linearity,1,510,2446,-0.21,20220212
linearity,2,1720,8254,0,20220212
linearity,3,2606,12505,0.054,20220212
linearity,4,3157,15153,0.087,20220212
linearity,5,4314,20706,0.168,20220212
linearity,6,6217,29841,0.233,20220212
linearity,1,500,2399,-0.318,20220212
linearity,2,1714,8222,0,20220212
linearity,3,2608,12507,0.075,20220212
linearity,4,3169,15196,0.095,20220212
linearity,5,4334,20785,0.223,20220212
linearity,6,6238,29927,0.341,20220212
