absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group
0.982,standard,2.5,,1,,,a
0.914,standard,2.5,,2,,,a
0.896,standard,2.5,,3,,,a
0.732,standard,1.7,,1,,,a
0.601,standard,1.7,,2,,,a
0.635,standard,1.7,,3,,,a
0.463,standard,1,,1,,,a
0.463,standard,1,,2,,,a
0.484,standard,1,,3,,,a
0.307,standard,0.5,,1,,,a
0.247,standard,0.5,,2,,,a
0.308,standard,0.5,,3,,,a
0.159,standard,0.25,,1,,,a
0.161,standard,0.25,,2,,,a
0.157,standard,0.25,,3,,,a
0.103,standard,0.1,,1,,,a
0.092,standard,0.1,,2,,,a
0.101,standard,0.1,,3,,,a
0.047,standard,0,,1,,,a
0.048,standard,0,,2,,,a
0.044,standard,0,,3,,,a
1.921,sample,,Control,1,1,0,a
1.848,sample,,Control,2,1,0,a
1.922,sample,,Control,3,1,0,a
1.906,sample,,high,1,1,0,a
1.916,sample,,high,2,1,0,a
1.986,sample,,high,3,1,0,a
1.849,sample,,high,1,2,0,a
2.03,sample,,high,2,2,0,a
1.998,sample,,high,3,2,0,a
1.915,sample,,high,1,3,0,a
1.971,sample,,high,2,3,0,a
2.032,sample,,high,3,3,0,a
1.736,sample,,medium,1,1,0,a
1.735,sample,,medium,2,1,0,a
1.771,sample,,medium,3,1,0,a
1.911,sample,,medium,1,2,0,a
2.016,sample,,medium,2,2,0,a
2.042,sample,,medium,3,2,0,a
2.006,sample,,medium,1,3,0,a
1.95,sample,,medium,2,3,0,a
2.044,sample,,medium,3,3,0,a
1.827,sample,,lower,1,1,0,a
1.88,sample,,lower,2,1,0,a
1.838,sample,,lower,3,1,0,a
1.98,sample,,lower,1,2,0,a
1.985,sample,,lower,2,2,0,a
1.967,sample,,lower,3,2,0,a
1.984,sample,,lower,1,3,0,a
2.012,sample,,lower,2,3,0,a
2.047,sample,,lower,3,3,0,a
1.506,sample,,Control,1,1,54.5,a
1.522,sample,,Control,2,1,54.5,a
1.67,sample,,Control,3,1,54.5,a
1.727,sample,,Control,1,1,33.5,a
1.61,sample,,Control,2,1,33.5,a
1.721,sample,,Control,3,1,33.5,a
1.921,sample,,Control,1,1,71,a
1.848,sample,,Control,2,1,71,a
1.922,sample,,Control,3,1,71,a
1.427,sample,,high,1,1,33.5,a
1.397,sample,,high,2,1,33.5,a
1.351,sample,,high,3,1,33.5,a
1.458,sample,,high,1,2,33.5,a
1.451,sample,,high,2,2,33.5,a
1.378,sample,,high,3,2,33.5,a
1.355,sample,,high,1,3,33.5,a
1.409,sample,,high,2,3,33.5,a
1.471,sample,,high,3,3,33.5,a
1.659,sample,,medium,1,1,33.5,a
1.648,sample,,medium,2,1,33.5,a
1.65,sample,,medium,3,1,33.5,a
1.599,sample,,medium,1,2,33.5,a
1.668,sample,,medium,2,2,33.5,a
1.542,sample,,medium,3,2,33.5,a
1.529,sample,,medium,1,3,33.5,a
1.607,sample,,medium,2,3,33.5,a
1.65,sample,,medium,3,3,33.5,a
1.804,sample,,lower,1,1,33.5,a
1.658,sample,,lower,2,1,33.5,a
1.763,sample,,lower,3,1,33.5,a
1.737,sample,,lower,1,2,33.5,a
1.857,sample,,lower,2,2,33.5,a
1.864,sample,,lower,3,2,33.5,a
1.851,sample,,lower,1,3,33.5,a
1.736,sample,,lower,2,3,33.5,a
1.677,sample,,lower,3,3,33.5,a
0.828,standard,2.5,,1,,,b
0.865,standard,2.5,,2,,,b
0.858,standard,2.5,,3,,,b
0.631,standard,1.7,,1,,,b
0.729,standard,1.7,,2,,,b
0.671,standard,1.7,,3,,,b
0.414,standard,1,,1,,,b
0.447,standard,1,,2,,,b
0.465,standard,1,,3,,,b
0.302,standard,0.5,,1,,,b
0.274,standard,0.5,,2,,,b
0.301,standard,0.5,,3,,,b
0.159,standard,0.25,,1,,,b
0.169,standard,0.25,,2,,,b
0.159,standard,0.25,,3,,,b
0.142,standard,0.1,,1,,,b
0.102,standard,0.1,,2,,,b
0.099,standard,0.1,,3,,,b
0.046,standard,0,,1,,,b
0.046,standard,0,,2,,,b
0.047,standard,0,,3,,,b
0.555,sample,,high,1,1,71,b
0.505,sample,,high,2,1,71,b
0.533,sample,,high,3,1,71,b
0.532,sample,,high,1,2,71,b
0.554,sample,,high,2,2,71,b
0.506,sample,,high,3,2,71,b
0.579,sample,,high,1,3,71,b
0.529,sample,,high,2,3,71,b
0.553,sample,,high,3,3,71,b
0.854,sample,,medium,1,1,71,b
0.839,sample,,medium,2,1,71,b
0.823,sample,,medium,3,1,71,b
0.756,sample,,medium,1,2,71,b
0.813,sample,,medium,2,2,71,b
0.762,sample,,medium,3,2,71,b
0.759,sample,,medium,1,3,71,b
0.848,sample,,medium,2,3,71,b
0.819,sample,,medium,3,3,71,b
1.269,sample,,lower,1,1,71,b
1.233,sample,,lower,2,1,71,b
1.201,sample,,lower,3,1,71,b
1.271,sample,,lower,1,2,71,b
1.227,sample,,lower,2,2,71,b
1.212,sample,,lower,3,2,71,b
1.268,sample,,lower,1,3,71,b
1.212,sample,,lower,2,3,71,b
1.271,sample,,lower,3,3,71,b
1.873,sample,,Control,1,1,83,b
1.799,sample,,Control,2,1,83,b
1.723,sample,,Control,3,1,83,b
0.173,sample,,high,1,1,83,b
0.193,sample,,high,2,1,83,b
0.179,sample,,high,3,1,83,b
0.187,sample,,high,1,2,83,b
0.175,sample,,high,2,2,83,b
0.186,sample,,high,3,2,83,b
0.16,sample,,high,1,3,83,b
0.172,sample,,high,2,3,83,b
0.171,sample,,high,3,3,83,b
1.767,sample,,Control,1,1,91,b
1.736,sample,,Control,2,1,91,b
1.711,sample,,Control,3,1,91,b
0.491,sample,,medium,1,1,83,b
0.526,sample,,medium,2,1,83,b
0.51,sample,,medium,3,1,83,b
0.521,sample,,medium,1,2,83,b
0.588,sample,,medium,2,2,83,b
0.531,sample,,medium,3,2,83,b
0.515,sample,,medium,1,3,83,b
0.526,sample,,medium,2,3,83,b
0.483,sample,,medium,3,3,83,b
0.981,sample,,lower,1,1,83,b
0.881,sample,,lower,2,1,83,b
0.803,sample,,lower,3,1,83,b
1.058,sample,,lower,1,2,83,b
1.093,sample,,lower,2,2,83,b
1.158,sample,,lower,3,2,83,b
1.061,sample,,lower,1,3,83,b
1.108,sample,,lower,2,3,83,b
1.232,sample,,lower,3,3,83,b
0.121,sample,,high,1,1,91,b
0.12,sample,,high,2,1,91,b
0.115,sample,,high,3,1,91,b
0.272,sample,,medium,1,1,91,b
0.269,sample,,medium,2,1,91,b
0.276,sample,,medium,3,1,91,b
