absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group
0.982,standard,2.5,,1,,,a
0.914,standard,2.5,,2,,,a
0.896,standard,2.5,,3,,,a
0.732,standard,1.7,,1,,,a
0.601,standard,1.7,,2,,,a
0.635,standard,1.7,,3,,,a
0.463,standard,1,,1,,,a
0.463,standard,1,,2,,,a
0.484,standard,1,,3,,,a
0.307,standard,0.5,,1,,,a
0.247,standard,0.5,,2,,,a
0.308,standard,0.5,,3,,,a
0.159,standard,0.25,,1,,,a
0.161,standard,0.25,,2,,,a
0.157,standard,0.25,,3,,,a
0.103,standard,0.1,,1,,,a
0.092,standard,0.1,,2,,,a
0.101,standard,0.1,,3,,,a
0.047,standard,0,,1,,,a
0.048,standard,0,,2,,,a
0.044,standard,0,,3,,,a
1.8,sample,,high_neg_control,1,1,0,a
1.843,sample,,high_neg_control,2,1,0,a
1.986,sample,,high_neg_control,3,1,0,a
1.53,sample,,control_medium,1,1,0,a
1.753,sample,,control_medium,2,1,0,a
1.735,sample,,control_medium,3,1,0,a
1.633,sample,,control_lower,1,1,0,a
1.707,sample,,control_lower,2,1,0,a
1.74,sample,,control_lower,3,1,0,a
1.595,sample,,high,1,1,0,a
1.63,sample,,high,2,1,0,a
1.701,sample,,high,3,1,0,a
1.577,sample,,high,1,2,0,a
1.591,sample,,high,2,2,0,a
1.65,sample,,high,3,2,0,a
1.299,sample,,high,1,3,0,a
1.568,sample,,high,2,3,0,a
1.216,sample,,high,3,3,0,a
1.53,sample,,medium,1,1,0,a
1.357,sample,,medium,2,1,0,a
1.586,sample,,medium,3,1,0,a
1.316,sample,,medium,1,2,0,a
1.501,sample,,medium,2,2,0,a
1.365,sample,,medium,3,2,0,a
1.41,sample,,medium,1,3,0,a
1.323,sample,,medium,2,3,0,a
1.318,sample,,medium,3,3,0,a
1.094,sample,,lower,1,1,0,a
1.26,sample,,lower,2,1,0,a
1.062,sample,,lower,3,1,0,a
1.392,sample,,lower,1,2,0,a
1.195,sample,,lower,2,2,0,a
1.268,sample,,lower,3,2,0,a
1.202,sample,,lower,1,3,0,a
1.264,sample,,lower,2,3,0,a
1.299,sample,,lower,3,3,0,a
1.506,sample,,high_neg_control,1,1,54.5,a
1.522,sample,,high_neg_control,2,1,54.5,a
1.67,sample,,high_neg_control,3,1,54.5,a
1.727,sample,,control_medium,1,1,54.5,a
1.61,sample,,control_medium,2,1,54.5,a
1.721,sample,,control_medium,3,1,54.5,a
1.921,sample,,control_lower,1,1,54.5,a
1.848,sample,,control_lower,2,1,54.5,a
1.922,sample,,control_lower,3,1,54.5,a
1.906,sample,,high,1,1,54.5,a
1.916,sample,,high,2,1,54.5,a
1.986,sample,,high,3,1,54.5,a
1.849,sample,,high,1,2,54.5,a
2.03,sample,,high,2,2,54.5,a
1.998,sample,,high,3,2,54.5,a
1.73,sample,,high,1,3,54.5,a
1.695,sample,,high,2,3,54.5,a
1.851,sample,,high,3,3,54.5,a
1.804,sample,,medium,1,1,54.5,a
1.658,sample,,medium,2,1,54.5,a
1.763,sample,,medium,3,1,54.5,a
1.98,sample,,medium,1,2,54.5,a
1.905,sample,,medium,2,2,54.5,a
1.967,sample,,medium,3,2,54.5,a
1.884,sample,,medium,1,3,54.5,a
2.012,sample,,medium,2,3,54.5,a
2.047,sample,,medium,3,3,54.5,a
1.736,sample,,lower,1,1,54.5,a
1.535,sample,,lower,2,1,54.5,a
1.671,sample,,lower,3,1,54.5,a
1.811,sample,,lower,1,2,54.5,a
2.016,sample,,lower,2,2,54.5,a
2.042,sample,,lower,3,2,54.5,a
2.006,sample,,lower,1,3,54.5,a
1.85,sample,,lower,2,3,54.5,a
2.044,sample,,lower,3,3,54.5,a
0.828,standard,2.5,,1,,,b
0.865,standard,2.5,,2,,,b
0.858,standard,2.5,,3,,,b
0.631,standard,1.7,,1,,,b
0.729,standard,1.7,,2,,,b
0.671,standard,1.7,,3,,,b
0.414,standard,1,,1,,,b
0.447,standard,1,,2,,,b
0.465,standard,1,,3,,,b
0.302,standard,0.5,,1,,,b
0.274,standard,0.5,,2,,,b
0.301,standard,0.5,,3,,,b
0.159,standard,0.25,,1,,,b
0.169,standard,0.25,,2,,,b
0.159,standard,0.25,,3,,,b
0.142,standard,0.1,,1,,,b
0.102,standard,0.1,,2,,,b
0.099,standard,0.1,,3,,,b
0.046,standard,0,,1,,,b
0.046,standard,0,,2,,,b
0.047,standard,0,,3,,,b
1.62,sample,,high,1,1,71,b
1.644,sample,,high,2,1,71,b
1.61,sample,,high,3,1,71,b
1.365,sample,,high,1,2,71,b
1.564,sample,,high,2,2,71,b
1.492,sample,,high,3,2,71,b
1.128,sample,,high,1,3,71,b
1.174,sample,,high,2,3,71,b
1.12,sample,,high,3,3,71,b
1.469,sample,,medium,1,1,71,b
1.633,sample,,medium,2,1,71,b
1.701,sample,,medium,3,1,71,b
1.71,sample,,medium,1,2,71,b
1.727,sample,,medium,2,2,71,b
1.812,sample,,medium,3,2,71,b
1.268,sample,,medium,1,3,71,b
1.412,sample,,medium,2,3,71,b
1.471,sample,,medium,3,3,71,b
1.354,sample,,lower,1,1,71,b
1.639,sample,,lower,2,1,71,b
1.73,sample,,lower,3,1,71,b
1.556,sample,,lower,1,2,71,b
1.613,sample,,lower,2,2,71,b
1.662,sample,,lower,3,2,71,b
1.259,sample,,lower,1,3,71,b
1.348,sample,,lower,2,3,71,b
1.619,sample,,lower,3,3,71,b
1.873,sample,,high_neg_control,1,1,83,b
1.799,sample,,high_neg_control,2,1,83,b
1.723,sample,,high_neg_control,3,1,83,b
1.085,sample,,high,1,1,83,b
1.072,sample,,high,2,1,83,b
0.888,sample,,high,3,1,83,b
0.948,sample,,high,1,2,83,b
1.004,sample,,high,2,2,83,b
0.971,sample,,high,3,2,83,b
0.931,sample,,high,1,3,83,b
0.941,sample,,high,2,3,83,b
0.989,sample,,high,3,3,83,b
1.767,sample,,control_medium,1,1,83,b
1.736,sample,,control_medium,2,1,83,b
1.711,sample,,control_medium,3,1,83,b
0.981,sample,,medium,1,1,83,b
1.181,sample,,medium,2,1,83,b
1.028,sample,,medium,3,1,83,b
1.058,sample,,medium,1,2,83,b
1.093,sample,,medium,2,2,83,b
1.158,sample,,medium,3,2,83,b
1.061,sample,,medium,1,3,83,b
1.108,sample,,medium,2,3,83,b
1.232,sample,,medium,3,3,83,b
1.803,sample,,control_lower,1,1,83,b
1.804,sample,,control_lower,2,1,83,b
1.611,sample,,control_lower,3,1,83,b
0.591,sample,,lower,1,1,83,b
