Time_h,Treatment,Timepoint,Replicate,OD600,Cells_ml,Sulfide_mM,Sulfate_mM
0,High,0,1,0,1.00E+06,9.853124,0
0,High,0,1,0,1.00E+06,9.985991,0
0,High,0,1,0,1.00E+06,9.985991,0
0,High,0,2,0,1.00E+06,10.202774,0
0,High,0,2,0,1.00E+06,10.741235,0
0,High,0,2,0,1.00E+06,9.783194,0
0,High,0,3,0,1.00E+06,9.853124,0
0,High,0,3,0,1.00E+06,9.985991,0
0,High,0,3,0,1.00E+06,9.985991,0
36,High,1,1,0.0212,1.60E+07,8.657321,0
36,High,1,1,0.0212,1.60E+07,9.034943,0
36,High,1,2,0.0178,1.33E+07,8.622354,0
36,High,1,3,0.0156,1.15E+07,8.440537,0
36,High,1,3,0.0156,1.15E+07,8.874103,0
66,High,2,1,0.031,2.38E+07,0.986,0
66,High,2,1,0.031,2.38E+07,0.958028,0
66,High,2,1,0.031,2.38E+07,0.888098,0
66,High,2,2,0.034,2.62E+07,0.664322,0
66,High,2,2,0.034,2.62E+07,0.734252,0
66,High,2,2,0.034,2.62E+07,0.762224,0
66,High,2,3,0.0312,2.40E+07,0.734252,0
66,High,2,3,0.0312,2.40E+07,0.783203,0
97.5,High,3,1,0.051,3.98E+07,0.7434288,0
97.5,High,3,1,0.051,3.98E+07,0.7771824,0
97.5,High,3,2,0.054,4.22E+07,0.8221872,0
97.5,High,3,2,0.054,4.22E+07,0.75468,0
97.5,High,3,2,0.054,4.22E+07,0.8165616,0
97.5,High,3,3,0.052,4.06E+07,0.7378032,0
97.5,High,3,3,0.052,4.06E+07,0.7321776,0
114,High,,1,0.0712,5.60E+07,0.4139064,1.219851367
114,High,,1,0.0712,5.60E+07,0.3548376,1.219851367
114,High,,1,0.0712,5.60E+07,0.4223448,1.219851367
114,High,,2,0.062,4.86E+07,0.574236,1.127
114,High,,2,0.062,4.86E+07,0.5573592,1.127
114,High,,2,0.062,4.86E+07,0.4842264,1.127
114,High,,3,0.0655,5.14E+07,0.5011032,1.098
114,High,,3,0.0655,5.14E+07,0.5236056,1.098
114,High,,3,0.0655,5.14E+07,0.560172,1.098
124,High,,1,0.0911,7.19E+07,0,2.13161907
124,High,,2,0.0833,6.57E+07,0,2.435
124,High,,3,0.0918,7.25E+07,0,2.53985592
147,High,,1,0.0983,7.77E+07,0,6.59740046
147,High,,2,0.0878,6.93E+07,0,6.79216492
147,High,,3,0.0913,7.21E+07,0,6.887
170,High,,1,0.1001,7.91E+07,0,6.77010516
170,High,,2,0.0922,7.28E+07,0,6.59449786
170,High,,3,0.0888,7.01E+07,0,6.647
260,High,,1,0.0759,5.98E+07,0,6.89259488
260,High,,2,0.0776,6.11E+07,0,7.06994374
260,High,,3,0.0885,6.98E+07,0,7.02571562
0,Lower,0,1,0,1.00E+06,8.419559,0
0,Lower,0,1,0,1.00E+06,8.216762,0
0,Lower,0,2,0,1.00E+06,10.0769,0
0,Lower,0,2,0,1.00E+06,9.811166,0
0,Lower,0,3,0,1.00E+06,8.419559,0
0,Lower,0,3,0,1.00E+06,8.216762,0
66,Lower,2,1,0.0018,1.00E+06,7.59998,0
66,Lower,2,1,0.0018,1.00E+06,7.90907,0
66,Lower,2,1,0.0018,1.00E+06,7.650328,0
66,Lower,2,2,0.0014,1.00E+06,6.664316,0
66,Lower,2,2,0.0014,1.00E+06,7.412567,0
66,Lower,2,2,0.0014,1.00E+06,7.13984,0
66,Lower,2,3,0.0021,1.00E+06,8.18879,0
66,Lower,2,3,0.0021,1.00E+06,7.678301,0
66,Lower,2,3,0.0021,1.00E+06,7.846133,0
94,Lower,3,1,0.0074,4.96E+06,5.608216,0
94,Lower,3,1,0.0074,4.96E+06,5.6475952,0
94,Lower,3,1,0.0074,4.96E+06,5.3606896,0
94,Lower,3,2,0.0089,6.16E+06,5.8444912,0
94,Lower,3,2,0.0089,6.16E+06,6.073784,0
94,Lower,3,2,0.0089,6.16E+06,6.2087984,0
94,Lower,3,3,0.0099,6.96E+06,6.2382832,0
94,Lower,3,3,0.0099,6.96E+06,5.8501168,0
94,Lower,3,3,0.0099,6.96E+06,6.4281968,0
124,Lower,,1,0.0977,7.72E+07,3.539352,1.475
124,Lower,,1,0.0977,7.72E+07,3.6068592,1.475
124,Lower,,1,0.0977,7.72E+07,3.7756272,1.475
124,Lower,,2,0.1022,8.08E+07,4.3438128,1.32406145
124,Lower,,2,0.1022,8.08E+07,4.2256752,1.32406145
124,Lower,,2,0.1022,8.08E+07,4.6982256,1.32406145
124,Lower,,3,0.103,8.14E+07,4.9626288,1.23074286
124,Lower,,3,0.103,8.14E+07,4.3944432,1.23074286
124,Lower,,3,0.103,8.14E+07,5.0132592,1.23074286
140,Lower,,1,0.108,8.54E+07,3.6124848,4.095
140,Lower,,1,0.108,8.54E+07,3.8656368,4.095
