Time_h,Treatment,Replicate,OD600,Cells_ml
36,High,1,0.0212,1.82E+07
36,High,2,0.0178,1.48E+07
36,High,3,0.0156,1.28E+07
36,Medium,1,0.0233,2.04E+07
36,Medium,2,0.027,2.45E+07
36,Medium,3,0.019,1.60E+07
36,Lower,1,0.0106,8.48E+06
36,Lower,2,0.0105,8.40E+06
36,Lower,3,0.013,1.05E+07
66,High,1,0.0031,2.96E+06
66,High,2,0.0054,4.53E+06
66,High,3,0.0052,4.39E+06
66,Medium,1,0.0043,3.76E+06
66,Medium,2,0.0107,8.56E+06
66,Medium,3,0.0157,1.29E+07
66,Lower,1,0.0018,2.11E+06
66,Lower,2,0.0014,1.86E+06
66,Lower,3,0.0021,2.30E+06
97.5,High,1,0.0071,5.76E+06
97.5,High,2,0.0109,8.73E+06
97.5,High,3,0.0063,5.18E+06
89,Medium,4,0.0097,7.76E+06
89,Medium,5,0.0072,5.84E+06
89,Medium,6,0.0071,5.76E+06
74,Lower,1,0.0074,5.99E+06
74,Lower,2,0.0089,7.13E+06
74,Lower,3,0.0099,7.92E+06
114,Medium,1,0.0562,6.63E+07
114,Medium,2,0.0607,7.43E+07
114,Medium,4,0.0567,6.72E+07
114,High,4,0.0712,9.44E+07
114,High,5,0.062,7.66E+07
114,High,6,0.0655,8.32E+07
114,Lower,1,0.0726,9.73E+07
123,Medium,1,0.0742,1.01E+08
123,Medium,2,0.0773,1.07E+08
123,Medium,4,0.0799,1.13E+08
124,Lower,1,0.0977,1.55E+08
124,Lower,2,0.1022,1.67E+08
124,Lower,3,0.103,1.69E+08
124,High,4,0.0911,1.39E+08
124,High,5,0.0833,1.20E+08
124,High,6,0.0918,1.40E+08
134.5,Medium,2,0.0584,7.01E+07
134.5,Medium,5,0.0586,7.05E+07
134.5,Lower,1,0.0808,1.15E+08
134.5,Lower,2,0.0831,1.20E+08
134.5,Lower,3,0.086,1.27E+08
147,Medium,4,0.0838,1.22E+08
147,Medium,5,0.0817,1.17E+08
147,Medium,6,0.0838,1.22E+08
147,High,4,0.0983,1.57E+08
147,High,5,0.0878,1.31E+08
147,High,6,0.0913,1.39E+08
147,Lower,1,0.1044,1.73E+08
147,Lower,2,0.112,1.94E+08
147,Lower,3,0.1184,2.12E+08
170,Medium,1,0.0764,1.05E+08
170,Medium,5,0.0836,1.21E+08
170,Medium,6,0.0855,1.25E+08
170,Medium,2,0.0868,1.28E+08
170,High,4,0.1001,1.61E+08
170,High,5,0.0922,1.41E+08
170,High,6,0.0888,1.33E+08
170,Lower,1,0.098,1.56E+08
170,Lower,2,0.1246,2.31E+08
170,Lower,3,0.1117,1.93E+08
170,Lower,4,0.1104,1.89E+08
170,Lower,5,0.1042,1.72E+08
170,Lower,6,0.1094,1.86E+08
192.5,Medium,1,0.0767,1.06E+08
192.5,Medium,5,0.0854,1.25E+08
192.5,Medium,6,0.0872,1.29E+08
192.5,Lower,1,0.0995,1.60E+08
192.5,Lower,2,0.1077,1.82E+08
192.5,Lower,3,0.1217,2.22E+08
192.5,Lower,4,0.1136,1.98E+08
192.5,Lower,5,0.1092,1.86E+08
192.5,Lower,6,0.1064,1.78E+08
213,Lower,1,0.0933,1.44E+08
213,Lower,3,0.0848,1.24E+08
213,Lower,4,0.1033,1.70E+08
213,Lower,5,0.0965,1.52E+08
213,Medium,1,0.0766,1.06E+08
260,Medium,1,0.0821,1.18E+08
260,Medium,6,0.0833,1.20E+08
260,Medium,3,0.0839,1.22E+08
260,High,6,0.0759,1.04E+08
260,High,5,0.0776,1.08E+08
260,High,4,0.0885,1.32E+08
260,Lower,4,0.1075,1.81E+08
260,Lower,5,0.1085,1.84E+08
260,Lower,6,0.1105,1.89E+08
